54.,JESENICE,7.611.409,4.780.191,3.624.904,2.632.207,2.632.207,850.943,653.693,71,10.245,186.935,141.754,69.241,0,0,72.513,0,0,1.155.287,978.505,217.919,5.721,6.952,747.914,27.287,27.287,3.388,3.388,47.859,47.859,98.247,98.247,228.910,193.340,189.434,3.902,4,0,0,0,0,35.570,0,35.570,0,0,0,0,0,0,0,0,2.602.308,2.602.308,2.581.113,0,0,21.194
55.,JEZERSKO,389.572,203.301,164.593,113.758,113.758,29.770,29.740,0,29,0,21.065,0,0,0,21.065,0,0,38.708,16.199,0,492,2.187,13.520,922,922,0,0,939,939,20.648,20.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.271,186.271,165.578,20.694,0,0
56.,JURŠINCI,1.128.434,231.577,115.886,106.931,106.931,4.240,492,0,605,3.142,4.715,563,0,2.207,1.945,0,0,115.690,7.962,0,0,6.205,1.757,3.902,3.902,0,0,0,0,103.827,103.827,0,0,0,0,0,0,0,0,0,0,0,0,0,5.750,4.490,0,4.490,1.260,0,1.260,891.107,891.107,884.285,6.823,0,0
57.,KAMNIK,9.806.017,6.798.715,5.852.078,4.639.054,4.639.054,706.906,416.600,0,19.963,270.343,506.118,38.424,0,0,467.693,0,0,946.637,263.040,0,10.787,108.333,143.920,39.989,39.989,30.320,30.320,80.041,80.041,533.246,533.246,541.358,320.297,319.942,0,355,0,0,0,0,221.061,13.591,207.470,0,154.557,154.557,7.094,147.463,0,0,0,2.311.388,2.311.388,2.282.904,28.484,0,0
58.,KANAL,3.160.353,2.751.732,2.414.868,1.129.236,1.129.236,858.767,822.901,0,21.674,14.192,426.865,408.705,0,0,18.161,0,0,336.864,224.199,2.258,0,31.593,190.348,13.224,13.224,342,342,87.348,87.348,11.751,11.751,22.655,22.046,18.148,3.898,0,0,0,0,0,609,0,609,0,33.684,33.684,0,33.684,0,0,0,352.283,352.283,343.691,0,0,8.592
59.,KIDRIČEVO,2.924.061,1.426.102,1.199.808,772.046,772.046,164.109,148.010,0,2.583,13.516,263.654,1.302,0,7.081,255.270,0,0,226.294,108.166,0,0,59.481,48.686,8.805,8.805,0,0,4.311,4.311,105.012,105.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.497.959,1.497.959,1.485.503,0,0,12.456
60.,KOBARID,2.905.112,1.113.871,1.066.007,688.237,688.237,50.346,43.749,0,1.494,5.103,327.424,307.023,0,13,20.389,0,0,47.863,16.642,0,0,396,16.245,8.513,8.513,0,0,0,0,22.709,22.709,37.865,35.245,35.245,0,0,0,0,0,0,2.621,0,2.621,0,417,417,417,0,0,0,0,1.752.959,1.752.959,1.660.332,0,92.626,0
61.,KOBILJE,485.011,207.570,62.907,53.847,53.847,2.049,1.523,0,13,513,7.011,167,0,0,6.844,0,0,144.663,2.675,0,0,142,2.533,2.796,2.796,0,0,0,0,139.192,139.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.441,277.441,277.441,0,0,0
62.,KOČEVJE,7.067.831,3.370.760,2.800.380,2.289.568,2.289.568,324.837,223.510,0,5.859,95.468,185.975,11.617,0,0,174.357,0,0,570.381,380.354,0,63,62.214,318.077,23.502,23.502,150,150,26.068,26.068,140.306,140.306,170.184,114.705,114.705,0,0,0,0,0,0,55.479,0,55.479,0,4.857,4.857,684,4.173,0,0,0,3.522.029,3.522.029,3.509.756,0,0,12.273
63.,KOMEN,1.357.853,1.156.785,1.115.260,742.460,742.460,49.912,30.996,0,5.371,13.545,322.889,307.728,0,0,15.160,0,0,41.525,21.470,0,3.017,1.945,16.508,7.048,7.048,0,0,0,0,13.007,13.007,11.471,11.471,11.471,0,0,0,0,0,0,0,0,0,0,55.750,16.062,16.062,0,39.689,25.864,13.825,133.847,133.847,133.847,0,0,0
64.,KOMENDA,1.704.194,1.039.676,915.039,829.294,829.294,67.009,29.611,0,947,36.451,18.736,63,0,0,18.674,0,0,124.637,25.609,0,1.803,643,23.164,10.224,10.224,0,0,734,734,88.070,88.070,202.913,142.088,142.088,0,0,0,0,0,0,60.825,0,60.825,0,2.654,2.654,2.654,0,0,0,0,458.951,458.951,452.621,0,0,6.330
65.,KOPER (M),24.701.615,22.101.390,17.616.729,10.918.866,10.918.866,4.636.188,3.513.541,1.027,45.443,1.076.177,2.061.676,489.851,0,0,1.571.824,0,0,4.484.660,2.106.430,0,515.018,255.892,1.335.520,92.585,92.585,98.844,98.844,0,0,2.186.801,2.186.801,1.499.357,1.125.371,1.123.339,2.032,0,0,0,0,0,373.986,0,373.986,0,87.665,7.486,7.486,0,80.179,71.069,9.110,1.013.203,1.013.203,855.821,62.239,0,95.143
66.,KOSTEL,576.828,161.918,102.904,91.053,91.053,5.767,3.739,0,0,2.028,6.084,0,0,0,6.084,0,0,59.014,6.097,0,0,134,5.963,1.014,1.014,0,0,3.672,3.672,48.231,48.231,14.814,14.814,14.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.096,400.096,322.897,0,0,77.199
67.,KOZJE,1.864.405,572.784,438.996,311.709,311.709,47.325,38.145,75,2.316,6.789,79.962,1.678,0,0,78.284,0,0,133.788,872,0,0,672,200,5.738,5.738,576,576,0,0,126.602,126.602,37.264,37.264,37.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.254.357,1.254.357,1.254.357,0,0,0
68.,KRANJ (M),17.939.922,16.723.585,14.454.365,11.565.774,11.565.774,2.563.746,1.841.037,0,68.453,654.256,324.846,153.777,0,0,171.069,0,0,2.269.221,1.477.086,0,24.850,307.995,1.144.241,79.740,79.740,67.556,67.556,257.365,257.365,387.473,387.473,605.258,571.257,571.257,0,0,0,0,0,0,34.001,0,34.001,0,11.355,9.681,9.681,0,1.673,1.673,0,599.725,599.725,591.233,8.492,0,0
69.,KRANJSKA GORA,4.010.391,3.653.372,3.171.653,1.248.302,1.248.302,547.475,378.034,0,472,168.970,1.375.876,993.098,0,0,382.778,0,0,481.718,219.125,0,5.396,35.666,178.063,11.425,11.425,513,513,3.927,3.927,246.728,246.728,84.464,59.039,59.039,0,0,0,0,0,0,25.426,6.994,18.432,0,876,0,0,0,876,876,0,271.678,271.678,271.678,0,0,0
70.,KRIŽEVCI,1.610.532,730.592,541.512,399.282,399.282,21.186,14.647,0,868,5.671,121.044,1.177,0,0,119.867,0,0,189.079,61.455,0,0,49.495,11.960,5.141,5.141,0,0,29.073,29.073,93.411,93.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879.941,879.941,879.941,0,0,0
71.,KRŠKO,14.453.647,10.646.186,5.735.858,4.368.298,4.368.298,1.148.047,1.001.694,0,14.847,131.506,128.280,27.379,0,1.857,99.044,91.233,91.233,4.910.328,397.308,12.673,2.495,9.998,372.142,55.450,55.450,1.415,1.415,33.550,33.550,4.422.605,4.422.605,634.427,319.371,227.900,6.030,0,85.441,0,0,0,315.056,23.068,291.988,0,0,0,0,0,0,0,0,3.173.035,3.173.035,3.022.843,964,0,149.228
72.,KUNGOTA,1.740.653,786.463,677.779,540.352,540.352,84.581,70.147,0,1.836,12.598,52.846,1.895,0,0,50.951,0,0,108.684,46.954,3.756,0,559,42.639,8.371,8.371,505,505,0,0,52.854,52.854,167,83,83,0,0,0,0,0,0,83,0,0,83,77.575,77.575,47.530,30.045,0,0,0,876.448,876.448,831.560,44.888,0,0
73.,KUZMA,934.848,281.472,94.538,86.455,86.455,2.917,0,0,79,2.838,5.166,563,0,0,4.603,0,0,186.935,24.111,0,0,2.867,21.244,10.361,10.361,0,0,0,0,152.462,152.462,0,0,0,0,0,0,0,0,0,0,0,0,0,25.593,25.593,25.593,0,0,0,0,627.783,627.783,621.203,6.581,0,0
74.,LAŠKO,5.704.594,3.281.668,2.812.711,2.444.654,2.444.654,184.281,140.039,0,6.067,38.174,183.776,14.276,0,1.957,167.543,0,0,468.958,84.585,242,0,12.227,72.117,18.102,18.102,1.636,1.636,250.972,250.972,113.662,113.662,13.871,0,0,0,0,0,0,0,0,13.871,0,13.871,0,0,0,0,0,0,0,0,2.409.055,2.409.055,2.409.055,0,0,0
75.,LENART,4.839.597,2.374.491,1.804.907,1.313.299,1.313.299,375.179,331.059,0,2.249,41.871,116.429,10.311,0,0,106.118,0,0,569.584,150.768,0,7.899,4.156,138.712,15.569,15.569,447,447,38,38,402.762,402.762,150.355,36.876,36.701,0,175,0,0,0,0,113.479,0,113.479,0,0,0,0,0,0,0,0,2.314.751,2.314.751,2.314.751,0,0,0
76.,LENDAVA,4.962.465,2.842.989,2.623.360,1.707.127,1.707.127,95.331,49.599,21,3.021,42.689,820.902,2.166,0,0,818.736,0,0,219.629,80.012,0,0,1.723,78.288,17.560,17.560,2.863,2.863,24.766,24.766,94.429,94.429,82.328,52.641,52.641,0,0,0,175,0,175,29.511,0,29.511,0,21.132,626,626,0,20.506,0,20.506,2.016.016,2.016.016,1.980.500,0,0,35.516
77.,LITIJA,6.726.093,3.731.781,3.484.614,2.787.944,2.787.944,497.438,370.981,0,15.657,110.800,199.232,7.344,0,0,191.888,0,0,247.167,64.868,0,11.789,13.595,39.484,27.020,27.020,1.289,1.289,5.116,5.116,148.873,148.873,112.310,100.793,100.759,0,33,0,0,0,0,11.517,0,11.517,0,0,0,0,0,0,0,0,2.882.002,2.882.002,2.863.124,0,0,18.878
78.,LJUBLJANA (M),148.258.888,138.719.855,116.360.069,85.847.534,85.847.534,29.107.165,20.976.506,8.166,441.158,7.681.335,1.405.371,916.541,0,860,487.969,0,0,22.359.786,6.802.178,0,58.525,2.027.808,4.715.845,1.262.619,1.262.619,851.736,851.736,621.795,621.795,12.821.457,12.821.457,8.545.969,1.877.041,1.852.842,23.869,330,0,0,0,0,6.668.928,0,6.668.928,0,143.169,100.355,100.355,0,42.814,42.814,0,849.896,849.896,849.896,0,0,0
79.,LJUBNO,1.548.139,581.593,393.945,296.148,296.148,36.763,19.371,92,9.368,7.933,61.033,1.231,0,0,59.802,0,0,187.648,38.237,0,0,5.625,32.611,4.665,4.665,121,121,9.598,9.598,135.028,135.028,0,0,0,0,0,0,0,0,0,0,0,0,0,313,313,0,313,0,0,0,966.233,966.233,966.233,0,0,0
80.,LJUTOMER,4.875.864,2.342.113,1.778.505,1.464.063,1.464.063,151.373,107.682,0,6.163,37.527,163.070,19.867,0,0,143.202,0,0,563.608,238.591,4.657,0,37.994,195.940,13.808,13.808,0,0,24.883,24.883,286.325,286.325,125.025,785,785,0,0,0,0,0,0,124.241,0,124.241,0,0,0,0,0,0,0,0,2.408.726,2.408.726,2.216.354,192.372,0,0
81.,LOGATEC,5.102.074,3.216.508,2.792.777,1.879.661,1.879.661,734.585,505.137,-3.810,11.738,221.520,178.530,3.493,0,0,175.038,0,0,423.731,158.000,0,6.397,21.858,129.745,19.730,19.730,175,175,33.212,33.212,212.615,212.615,611.092,101.615,101.615,0,0,0,0,0,0,509.477,0,509.477,0,142,142,0,142,0,0,0,1.274.332,1.274.332,1.260.098,0,0,14.234
82.,LOŠKA DOLINA,1.717.535,897.830,825.330,637.435,637.435,115.782,100.751,0,7.933,7.098,72.112,104,0,0,72.008,0,0,72.500,45.047,0,0,4.498,40.548,7.157,7.157,0,0,513,513,19.784,19.784,1.719,0,0,0,0,0,0,0,0,1.719,0,1.719,0,20.865,20.865,0,20.865,0,0,0,797.121,797.121,797.121,0,0,0
83.,LOŠKI POTOK,1.067.685,263.090,240.194,194.525,194.525,14.359,11.142,0,8,3.209,31.309,125,0,0,31.184,0,0,22.897,3.789,0,0,3.789,0,3.509,3.509,33,33,7.620,7.620,7.945,7.945,56.105,56.105,53.184,2.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748.489,748.489,748.489,0,0,0
84.,LOVRENC NA POHORJU,1.329.194,730.258,648.907,386.017,386.017,180.942,174.161,0,1.214,5.567,81.948,334,0,0,81.614,0,0,81.351,29.761,0,0,6.539,23.222,3.322,3.322,117,117,42.860,42.860,5.291,5.291,19.567,4.987,4.987,0,0,0,0,0,0,14.580,0,14.580,0,0,0,0,0,0,0,0,579.369,579.369,516.909,58.738,0,3.722
85.,LUČE,838.792,186.062,150.981,124.378,124.378,10.103,5.074,0,914,4.115,16.500,188,0,0,16.312,0,0,35.082,20.906,0,0,1.340,19.567,2.783,2.783,0,0,0,0,11.392,11.392,4.611,3.881,3.881,0,0,0,0,0,0,730,0,730,0,0,0,0,0,0,0,0,648.118,648.118,643.828,0,0,4.290
86.,LUKOVICA,2.430.487,1.435.157,1.170.965,725.017,725.017,102.412,65.127,0,11.467,25.818,343.536,179,0,0,343.357,0,0,264.192,137.060,5.759,0,101.231,30.070,8.947,8.947,225,225,16.930,16.930,101.031,101.031,12.878,6.184,6.184,0,0,0,0,0,0,6.693,0,6.693,0,317,317,317,0,0,0,0,982.136,982.136,800.396,181.739,0,0
87.,MAJŠPERK,1.896.912,698.252,467.864,394.725,394.725,12.481,3.714,0,1.123,7.645,60.658,1.177,0,2.667,56.814,0,0,230.387,102.262,0,0,56.026,46.236,6.706,6.706,58,58,15.598,15.598,105.763,105.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.198.660,1.198.660,1.177.091,0,0,21.570
88.,MARIBOR (M),52.497.475,47.106.731,34.479.832,22.914.605,22.914.605,8.478.935,5.831.839,280,72.238,2.574.579,3.086.292,394.717,0,92,2.691.483,0,0,12.626.899,7.994.141,138.833,242.702,1.221.929,6.390.678,211.976,211.976,164.981,164.981,85.165,85.165,4.170.635,4.170.635,1.921.278,1.251.193,1.250.664,125,405,0,0,0,0,670.084,0,670.084,0,107.941,0,0,0,107.941,107.941,0,3.361.526,3.361.526,3.066.308,295.218,0,0
89.,MARKOVCI,2.149.549,1.949.316,1.823.581,386.021,386.021,1.425.772,1.420.477,0,563,4.732,11.789,4.019,0,3.802,3.968,0,0,125.734,69.221,0,0,66.992,2.228,9.598,9.598,0,0,5.041,5.041,41.875,41.875,44.859,41.729,41.729,0,0,0,0,0,0,3.130,0,3.130,0,0,0,0,0,0,0,0,155.375,155.375,155.375,0,0,0
90.,MEDVODE,5.614.054,5.175.526,4.399.399,3.235.845,3.235.845,943.524,800.810,0,309,142.405,220.030,5.099,0,0,214.931,0,0,776.127,59.356,0,0,17.806,41.550,15.699,15.699,417,417,0,0,700.655,700.655,61.496,41.729,41.729,0,0,0,0,0,0,19.767,19.767,0,0,0,0,0,0,0,0,0,377.032,377.032,14.142,362.890,0,0
91.,MENGEŠ,2.156.572,2.126.615,1.814.401,1.453.067,1.453.067,324.053,249.324,0,7.052,67.677,37.281,2.975,0,0,34.306,0,0,312.214,124.574,0,5.500,44.592,74.483,9.243,9.243,71,71,9.573,9.573,168.753,168.753,28.635,28.635,28.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.323,1.323,1.323,0,0,0
92.,METLIKA,3.781.063,1.696.415,1.434.777,1.105.350,1.105.350,191.717,145.481,0,3.948,42.288,137.711,10.624,0,0,127.086,0,0,261.638,119.700,0,0,41.525,78.176,57.065,57.065,146,146,0,0,84.727,84.727,233.467,220.994,220.994,0,0,0,0,0,0,12.473,1.419,11.054,0,0,0,0,0,0,0,0,1.851.181,1.851.181,1.650.104,70.477,0,130.600
93.,MEŽICA,1.426.832,955.951,749.804,677.241,677.241,61.805,41.625,0,597,19.584,10.758,906,0,0,9.852,0,0,206.147,88.771,0,643,4.586,83.542,4.903,4.903,0,0,99.566,99.566,12.907,12.907,14.847,6.047,5.800,0,246,0,0,0,0,8.801,0,8.801,0,54.978,54.978,0,54.978,0,0,0,401.056,401.056,355.154,0,0,45.902
94.,MIKLAVŽ NA DRAVSKEM POLJU,1.964.826,1.657.824,1.344.830,828.159,828.159,452.495,419.784,0,914,31.798,64.175,2.612,0,0,61.563,0,0,312.994,87.206,0,0,70.118,17.088,5.746,5.746,555,555,730,730,218.757,218.757,835,0,0,0,0,0,0,0,0,835,0,835,0,4.611,4.611,4.611,0,0,0,0,301.557,301.557,237.723,63.833,0,0
95.,MIREN - KOSTANJEVICA,1.822.505,1.598.677,1.552.124,965.427,965.427,101.477,52.541,0,2.479,46.457,485.220,406.668,0,0,78.551,0,0,46.553,10.053,1.506,0,4.219,4.327,5.850,5.850,21,21,0,0,30.629,30.629,3.960,0,0,0,0,0,0,0,0,3.960,0,3.960,0,0,0,0,0,0,0,0,219.867,219.867,36.196,161.313,0,22.359
96.,MIRNA PEČ,1.092.968,522.425,352.855,334.448,334.448,13.025,8.668,0,994,3.362,5.382,388,0,0,4.994,0,0,169.569,25.993,0,0,15.411,10.583,1.820,1.820,313,313,18.828,18.828,122.615,122.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.543,570.543,570.543,0,0,0
97.,MISLINJA,1.852.633,1.055.921,882.682,745.865,745.865,52.775,36.772,0,3.384,12.619,84.043,10.933,0,0,73.110,0,0,173.239,68.620,0,0,32.824,35.795,7.269,7.269,438,438,10.887,10.887,86.025,86.025,36.400,27.145,25.263,1.882,0,0,0,0,0,9.256,9.256,0,0,835,835,835,0,0,0,0,759.477,759.477,719.680,16.404,0,23.393
98.,MORAVČE,2.085.078,832.177,710.549,594.955,594.955,80.312,58.559,0,630,21.123,35.282,484,0,0,34.798,0,0,121.628,54.874,0,4.711,8.726,41.437,5.492,5.492,250,250,9.923,9.923,51.089,51.089,2.600,2.600,2.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.250.300,1.250.300,1.116.237,134.064,0,0
99.,MORAVSKE TOPLICE,3.304.962,1.367.581,941.713,638.549,638.549,104.519,82.724,0,843,20.952,198.644,14.710,0,0,183.934,0,0,425.868,38.625,0,0,14.067,24.558,14.067,14.067,0,0,11.939,11.939,361.238,361.238,0,0,0,0,0,0,0,0,0,0,0,0,0,255.225,255.225,39.501,215.724,0,0,0,1.682.157,1.682.157,1.672.037,2.066,0,8.054
100.,MOZIRJE,3.038.558,1.268.060,1.060.691,910.065,910.065,117.752,88.153,0,6.977,22.621,32.874,8.717,0,0,24.157,0,0,207.369,107.941,0,0,3.630,104.311,8.233,8.233,42,42,4,4,91.149,91.149,62.769,58.296,56.368,1.928,0,0,0,0,0,4.473,0,4.473,0,0,0,0,0,0,0,0,1.707.728,1.707.728,1.593.152,114.576,0,0
101.,MURSKA SOBOTA (M),10.357.457,7.081.155,5.942.389,4.417.597,4.417.597,737.665,588.141,0,2.946,146.578,787.127,94.291,0,0,692.835,0,0,1.138.766,283.479,0,0,103.797,179.682,39.004,39.004,18.615,18.615,34.235,34.235,763.433,763.433,226.298,59.210,58.913,296,0,0,0,0,0,167.088,0,167.088,0,0,0,0,0,0,0,0,3.050.004,3.050.004,1.260.649,554.761,0,1.234.594
102.,MUTA,1.504.724,782.991,614.150,423.181,423.181,171.357,148.005,0,1.448,21.904,19.613,8.930,0,1.031,9.652,0,0,168.841,97.555,0,0,968,96.587,5.366,5.366,54,54,1.369,1.369,64.497,64.497,56.564,56.410,56.410,0,0,0,0,0,0,154,0,154,0,0,0,0,0,0,0,0,665.169,665.169,665.169,0,0,0
103.,NAKLO,1.621.570,1.548.231,1.207.845,969.216,969.216,216.316,191.796,0,3.484,21.036,22.313,459,0,0,21.854,0,0,340.386,96.599,0,2.191,14.121,80.287,7.399,7.399,217,217,8.788,8.788,227.383,227.383,843,843,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.496,72.496,72.496,0,0,0
104.,NAZARJE,2.616.617,664.814,552.529,325.722,325.722,204.252,165.402,0,1.206,37.644,22.555,1.214,0,0,21.340,0,0,112.285,36.113,0,0,9.777,26.335,4.532,4.532,0,0,0,0,71.641,71.641,455,0,0,0,0,0,0,0,0,455,455,0,0,0,0,0,0,0,0,0,1.951.348,1.951.348,1.945.189,6.159,0,0
105.,NOVA GORICA (M),21.394.746,20.856.318,14.172.976,9.905.279,9.905.279,2.852.529,2.452.992,0,42.622,356.915,1.415.169,1.046.069,0,855,368.244,0,0,6.683.342,6.016.003,0,11.171,151.911,5.852.921,58.471,58.471,22.818,22.818,60.286,60.286,525.764,525.764,140.845,92.405,92.217,0,188,0,0,0,0,48.439,0,48.439,0,1.794,1.794,1.794,0,0,0,0,395.790,395.790,395.790,0,0,0
106.,NOVO MESTO (M),16.899.337,14.158.584,12.847.697,10.158.963,10.158.963,2.360.850,1.954.870,33,32.403,373.544,327.883,75.672,0,0,252.212,0,0,1.310.887,435.962,0,0,96.286,339.676,51.452,51.452,9.748,9.748,41.304,41.304,772.421,772.421,1.416.116,145.806,145.806,0,0,0,0,0,0,1.270.310,0,1.270.310,0,0,0,0,0,0,0,0,1.324.637,1.324.637,1.324.637,0,0,0
107.,ODRANCI,685.979,276.782,129.782,113.378,113.378,4.035,3.818,0,54,163,8.943,785,0,0,8.158,3.426,3.426,147.000,6.118,0,0,6.118,0,2.395,2.395,142,142,2.328,2.328,136.017,136.017,872,872,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.325,408.325,398.727,0,0,9.598
108.,OPLOTNICA,1.706.998,689.559,486.096,397.008,397.008,62.498,57.369,0,21,5.108,26.590,117,0,0,26.473,0,0,203.464,47.492,0,0,9.777,37.715,3.334,3.334,67,67,4.098,4.098,148.473,148.473,6.685,6.685,6.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.010.754,1.010.754,991.329,0,0,19.425
109.,ORMOŽ,8.761.288,4.380.996,3.022.379,1.812.882,1.812.882,903.797,818.215,0,6.188,79.394,305.700,26.139,0,0,279.561,0,0,1.358.617,217.493,3.080,0,29.344,185.069,26.807,26.807,2.082,2.082,62.010,62.010,1.050.225,1.050.225,34.377,18.507,18.507,0,0,0,0,0,0,15.870,0,13.783,2.086,0,0,0,0,0,0,0,4.345.915,4.345.915,4.109.890,113.612,0,122.413
110.,OSILNICA,344.596,79.720,45.706,37.540,37.540,5.638,2.654,0,8,2.975,2.529,0,0,0,2.529,0,0,34.014,14.013,0,0,1.523,12.490,1.878,1.878,0,0,0,0,18.123,18.123,35.395,35.395,34.861,0,0,534,0,0,0,0,0,0,0,1.085,1.085,1.085,0,0,0,0,228.397,228.397,228.397,0,0,0
111.,PESNICA,3.688.825,2.205.028,1.892.176,761.505,761.505,924.366,884.110,259,3.872,36.125,206.305,1.644,0,0,204.661,0,0,312.853,120.952,0,0,70.560,50.392,10.687,10.687,1.415,1.415,0,0,179.799,179.799,33.204,33.204,33.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.450.593,1.450.593,1.450.593,0,0,0
112.,PIRAN,10.119.596,9.042.718,6.538.804,4.355.033,4.355.033,1.282.545,804.453,972,20.573,456.547,901.227,95.869,0,0,805.358,0,0,2.503.914,835.149,0,32.069,78.856,724.224,35.119,35.119,32.532,32.532,22.050,22.050,1.579.064,1.579.064,334.986,151.018,151.018,0,0,0,0,0,0,183.968,0,183.968,0,12.544,0,0,0,12.544,0,12.544,729.348,729.348,348.631,147.951,0,232.766
113.,PIVKA,2.471.249,1.495.547,1.189.518,971.491,971.491,159.089,124.908,13,8.926,25.242,58.938,5.371,0,0,53.568,0,0,306.030,69.529,21,0,2.324,67.184,6.940,6.940,0,0,35.019,35.019,194.542,194.542,6.602,1.940,1.940,0,0,0,0,0,0,4.661,0,4.661,0,3.305,3.305,92,3.213,0,0,0,965.795,965.795,866.767,0,3.455,95.573
114.,PODČETRTEK,1.684.218,644.542,542.001,308.663,308.663,92.134,67.827,0,4.757,19.550,141.203,305,0,0,140.899,0,0,102.541,8.233,0,0,396,7.837,9.205,9.205,1.369,1.369,0,0,83.734,83.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.039.676,1.039.676,977.082,0,0,62.594
115.,PODLEHNIK,1.125.488,378.722,286.647,138.015,138.015,4.311,860,0,263,3.188,144.321,196,0,918,143.206,0,0,92.076,11.042,0,0,8.955,2.086,2.287,2.287,0,0,0,0,78.747,78.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746.766,746.766,746.766,0,0,0
116.,PODVELKA,1.665.744,766.195,680.859,252.166,252.166,340.035,331.823,0,5.496,2.717,88.658,2.383,0,497,85.779,0,0,85.336,47.246,0,167,6.218,40.861,3.781,3.781,96,96,0,0,34.214,34.214,209,0,0,0,0,0,0,0,0,209,0,209,0,15.569,0,0,0,15.569,0,15.569,883.771,883.771,883.771,0,0,0
117.,POLZELA,1.751.481,1.078.167,943.837,752.320,752.320,105.337,78.468,0,4.031,22.838,86.179,2.412,0,0,83.767,0,0,134.331,48.606,0,0,3.497,45.109,7.282,7.282,1.306,1.306,5.312,5.312,71.824,71.824,2.328,0,0,0,0,0,0,0,0,2.328,0,2.328,0,0,0,0,0,0,0,0,670.986,670.986,665.911,5.074,0,0
118.,POSTOJNA,5.776.415,4.591.742,4.071.783,2.929.644,2.929.644,525.292,389.054,0,9.623,126.615,616.846,352.687,0,0,264.159,0,0,519.959,289.263,0,3.272,7.457,278.534,20.885,20.885,0,0,3.864,3.864,205.946,205.946,275.488,206.322,206.322,0,0,0,0,0,0,69.166,0,69.166,0,0,0,0,0,0,0,0,909.185,909.185,870.414,27.316,0,11.455
119.,PREBOLD,1.672.350,913.637,767.351,662.460,662.460,90.194,71.399,0,1.886,16.909,14.697,1.168,0,0,13.529,0,0,146.286,76.548,0,17,11.446,65.085,5.350,5.350,92,92,16.671,16.671,47.626,47.626,53.852,53.630,53.630,0,0,0,0,0,0,221,0,221,0,0,0,0,0,0,0,0,704.861,704.861,704.861,0,0,0
120.,PREDDVOR,1.210.808,782.144,729.302,550.221,550.221,158.183,135.820,0,4.807,17.556,20.898,505,0,0,20.393,0,0,52.842,6.063,0,1.799,1.573,2.692,3.376,3.376,138,138,9.648,9.648,33.617,33.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.664,428.664,356.547,72.117,0,0
121.,PREVALJE,3.982.824,1.982.027,1.387.673,980.216,980.216,295.038,237.594,0,6.660,50.785,112.419,22.680,0,739,89.000,0,0,594.354,120.681,0,0,1.168,119.513,7.382,7.382,100,100,1.611,1.611,464.580,464.580,1.060.720,995.360,995.360,0,0,0,0,0,0,65.361,0,65.361,0,11.693,11.693,0,11.693,0,0,0,928.384,928.384,902.683,25.701,0,0
122.,PTUJ (M),10.638.487,8.776.156,6.631.526,4.223.456,4.223.456,1.958.997,1.795.618,0,7.344,156.034,449.074,141.032,0,9.598,298.444,0,0,2.144.629,1.222.471,40.936,0,153.768,1.027.767,57.470,57.470,25.785,25.785,5.291,5.291,833.613,833.613,411.905,275.547,273.022,2.525,0,0,0,0,0,136.359,0,136.359,0,0,0,0,0,0,0,0,1.450.426,1.450.426,1.291.237,71.849,0,87.339
123.,PUCONCI,3.637.243,1.183.955,625.785,579.027,579.027,22.304,488,196,2.007,19.613,24.453,2.007,0,0,22.446,0,0,558.171,71.975,0,0,59.865,12.110,14.079,14.079,0,0,0,0,472.117,472.117,29.064,29.064,26.410,2.654,0,0,0,0,0,0,0,0,0,14.609,14.609,14.609,0,0,0,0,2.409.614,2.409.614,1.596.203,237.385,0,576.027
124.,RAČE - FRAM,2.508.146,1.704.019,1.312.561,880.867,880.867,382.086,344.170,0,2.650,35.265,49.608,651,0,0,48.957,0,0,391.458,41.262,7.937,0,11.989,21.336,9.861,9.861,1.540,1.540,100.584,100.584,238.211,238.211,1.014,0,0,0,0,0,0,0,0,1.014,0,1.014,0,0,0,0,0,0,0,0,803.113,803.113,803.113,0,0,0
