118.,POSTOJNA,5.979.044 ,5.659.226 ,5.255.454 ,3.680.988 ,3.680.988 ,769.321 ,555.579 ,0 ,54.903 ,158.838 ,805.145 ,349.462 ,0 ,0 ,455.684 ,0 ,0 ,403.772 ,162.606 ,0 ,1.185 ,59.806 ,101.615 ,35.261 ,35.261 ,192 ,192 ,2.278 ,2.278 ,203.434 ,203.434 ,112.298 ,56.168 ,56.168 ,0 ,0 ,0 ,0 ,56.130 ,0 ,56.130 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,207.520 ,207.520 ,79.427 ,50.234 ,0 ,77.858 
119.,PREBOLD,1.840.235 ,1.140.715 ,980.579 ,765.198 ,765.198 ,94.746 ,68.503 ,0 ,1.415 ,24.829 ,120.635 ,15.331 ,0 ,0 ,105.304 ,0 ,0 ,160.136 ,102.591 ,0 ,1.636 ,18.023 ,82.933 ,10.240 ,10.240 ,355 ,355 ,26.431 ,26.431 ,20.518 ,20.518 ,169.609 ,167.956 ,167.956 ,0 ,0 ,0 ,0 ,1.652 ,0 ,1.652 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,529.912 ,529.912 ,529.912 ,0 ,0 ,0 
120.,PREDDVOR,2.429.561 ,991.187 ,918.590 ,684.064 ,684.064 ,120.606 ,80.725 ,0 ,880 ,39.000 ,113.921 ,255 ,0 ,0 ,113.666 ,0 ,0 ,72.596 ,17.472 ,1.039 ,338 ,3.230 ,12.865 ,8.179 ,8.179 ,2.437 ,2.437 ,12.439 ,12.439 ,32.069 ,32.069 ,138.946 ,14.605 ,14.605 ,0 ,0 ,0 ,0 ,124.341 ,0 ,124.341 ,0 ,471.411 ,1.252 ,1.252 ,0 ,470.159 ,0 ,470.159 ,828.017 ,828.017 ,662.644 ,165.373 ,0 ,0 
121.,PREVALJE,4.677.358 ,3.519.325 ,1.622.742 ,1.180.667 ,1.180.667 ,263.846 ,214.634 ,0 ,9.264 ,39.947 ,178.230 ,23.923 ,0 ,0 ,154.306 ,0 ,0 ,1.896.582 ,1.420.068 ,0 ,3.368 ,13.237 ,1.403.464 ,24.675 ,24.675 ,0 ,0 ,14.493 ,14.493 ,437.348 ,437.348 ,81.597 ,75.822 ,74.508 ,1.314 ,0 ,0 ,0 ,5.775 ,0 ,5.775 ,0 ,153.968 ,153.968 ,0 ,153.968 ,0 ,0 ,0 ,922.467 ,922.467 ,904.674 ,11.768 ,0 ,6.026 
122.,MESTNA OBČINA PTUJ,12.834.059 ,11.710.591 ,9.308.705 ,5.374.604 ,5.374.604 ,3.469.951 ,3.230.684 ,0 ,12.819 ,226.448 ,464.150 ,69.045 ,0 ,0 ,395.105 ,0 ,0 ,2.401.886 ,1.312.318 ,59.034 ,0 ,117.593 ,1.135.691 ,47.367 ,47.367 ,30.120 ,30.120 ,3.096 ,3.096 ,1.008.984 ,1.008.984 ,395.977 ,243.336 ,236.693 ,6.643 ,0 ,0 ,0 ,152.641 ,0 ,152.641 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,727.491 ,727.491 ,640.352 ,87.139 ,0 ,0 
123.,PUCONCI,4.097.367 ,1.424.132 ,980.884 ,698.523 ,698.523 ,76.148 ,60.349 ,54 ,764 ,14.981 ,206.213 ,1.678 ,0 ,0 ,204.536 ,0 ,0 ,443.248 ,54.782 ,0 ,8 ,27.679 ,27.095 ,24.082 ,24.082 ,21 ,21 ,4.423 ,4.423 ,359.940 ,359.940 ,19.463 ,19.329 ,19.329 ,0 ,0 ,0 ,0 ,134 ,0 ,134 ,0 ,34.410 ,34.410 ,20.865 ,13.545 ,0 ,0 ,0 ,2.619.362 ,2.619.362 ,1.838.604 ,681.351 ,0 ,99.407 
124.,RAČE - FRAM,2.914.989 ,2.264.196 ,1.789.580 ,1.103.272 ,1.103.272 ,544.513 ,498.744 ,0 ,12.043 ,33.726 ,141.796 ,1.419 ,0 ,0 ,140.377 ,0 ,0 ,474.616 ,55.521 ,9.602 ,0 ,5.108 ,40.811 ,15.281 ,15.281 ,396 ,396 ,198.556 ,198.556 ,204.861 ,204.861 ,1.456 ,0 ,0 ,0 ,0 ,0 ,0 ,1.456 ,1.456 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,649.337 ,649.337 ,648.293 ,1.043 ,0 ,0 
125.,RADEČE,2.318.632 ,1.335.620 ,1.028.898 ,881.777 ,881.777 ,47.688 ,25.776 ,0 ,2.278 ,19.634 ,99.432 ,1.523 ,0 ,0 ,97.909 ,0 ,0 ,306.723 ,125.321 ,0 ,138 ,3.630 ,121.553 ,11.092 ,11.092 ,6.456 ,6.456 ,25.576 ,25.576 ,138.278 ,138.278 ,92.998 ,23.452 ,20.777 ,0 ,2.675 ,0 ,0 ,69.546 ,0 ,69.546 ,0 ,8.763 ,8.763 ,8.763 ,0 ,0 ,0 ,0 ,881.251 ,881.251 ,881.251 ,0 ,0 ,0 
126.,RADENCI,2.423.302 ,1.840.611 ,1.582.599 ,1.114.459 ,1.114.459 ,226.540 ,199.040 ,0 ,2.312 ,25.188 ,241.600 ,1.390 ,0 ,0 ,240.210 ,0 ,0 ,258.012 ,31.047 ,0 ,0 ,1.223 ,29.824 ,15.064 ,15.064 ,914 ,914 ,0 ,0 ,210.987 ,210.987 ,35.307 ,8.275 ,8.275 ,0 ,0 ,0 ,0 ,27.032 ,0 ,27.032 ,0 ,20.865 ,20.865 ,0 ,20.865 ,0 ,0 ,0 ,526.519 ,526.519 ,423.231 ,0 ,0 ,103.288 
127.,RADLJE OB DRAVI,2.858.717 ,1.753.668 ,1.582.073 ,964.781 ,964.781 ,464.150 ,411.096 ,0 ,7.753 ,45.301 ,153.142 ,2.283 ,0 ,0 ,150.860 ,0 ,0 ,171.595 ,44.851 ,0 ,1.632 ,3.568 ,39.651 ,15.273 ,15.273 ,522 ,522 ,47.934 ,47.934 ,63.015 ,63.015 ,1.022 ,0 ,0 ,0 ,0 ,0 ,0 ,1.022 ,0 ,1.022 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.104.027 ,1.104.027 ,1.104.027 ,0 ,0 ,0 
128.,RADOVLJICA,8.662.623 ,7.115.916 ,6.465.085 ,4.353.405 ,4.353.405 ,1.210.946 ,946.244 ,0 ,12.686 ,252.016 ,900.734 ,99.549 ,0 ,0 ,801.185 ,0 ,0 ,650.830 ,439.968 ,0 ,10.929 ,58.959 ,370.080 ,54.690 ,54.690 ,10.270 ,10.270 ,31.097 ,31.097 ,114.806 ,114.806 ,941.416 ,541.775 ,541.583 ,0 ,192 ,0 ,0 ,399.641 ,0 ,399.641 ,0 ,18.590 ,18.590 ,3.464 ,15.127 ,0 ,0 ,0 ,586.701 ,586.701 ,524.879 ,61.822 ,0 ,0 
129.,RAVNE NA KOROŠKEM,7.809.147 ,5.914.497 ,3.596.027 ,2.575.847 ,2.575.847 ,698.585 ,482.937 ,643 ,392 ,214.614 ,321.595 ,49.837 ,0 ,0 ,271.758 ,0 ,0 ,2.318.469 ,2.109.648 ,0 ,2.454 ,10.887 ,2.096.307 ,28.580 ,28.580 ,876 ,876 ,0 ,0 ,179.365 ,179.365 ,364.522 ,91.137 ,90.824 ,313 ,0 ,0 ,0 ,273.385 ,0 ,273.385 ,0 ,6.814 ,6.814 ,3.747 ,3.067 ,0 ,0 ,0 ,1.523.314 ,1.523.314 ,1.521.374 ,0 ,0 ,1.940 
130.,RAZKRIŽJE,664.609 ,233.980 ,180.467 ,130.116 ,130.116 ,10.800 ,9.197 ,0 ,79 ,1.523 ,39.551 ,0 ,0 ,0 ,39.551 ,0 ,0 ,53.514 ,6.973 ,0 ,0 ,2.746 ,4.227 ,2.838 ,2.838 ,0 ,0 ,15.832 ,15.832 ,27.871 ,27.871 ,5.320 ,5.320 ,5.320 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,425.309 ,425.309 ,412.114 ,13.195 ,0 ,0 
131.,RIBNICA,4.376.185 ,2.439.376 ,2.109.039 ,1.584.977 ,1.584.977 ,240.507 ,114.150 ,0 ,14.501 ,111.855 ,283.555 ,16.454 ,0 ,0 ,267.101 ,0 ,0 ,330.337 ,176.081 ,0 ,0 ,39.284 ,136.797 ,25.330 ,25.330 ,1.160 ,1.160 ,66.103 ,66.103 ,61.663 ,61.663 ,77.262 ,68.307 ,68.307 ,0 ,0 ,0 ,0 ,8.955 ,0 ,8.955 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.859.548 ,1.859.548 ,1.823.857 ,33.955 ,0 ,1.736 
132.,RIBNICA NA POHORJU,649.812 ,228.422 ,175.726 ,123.097 ,123.097 ,12.786 ,8.066 ,0 ,109 ,4.611 ,39.843 ,0 ,0 ,0 ,39.843 ,0 ,0 ,52.696 ,44.316 ,0 ,334 ,4.674 ,39.309 ,3.985 ,3.985 ,25 ,25 ,501 ,501 ,3.868 ,3.868 ,572 ,572 ,572 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.586 ,1.586 ,1.586 ,0 ,0 ,0 ,0 ,419.233 ,419.233 ,398.368 ,0 ,0 ,20.865 
133.,ROGAŠKA SLATINA,5.321.937 ,3.475.242 ,3.101.056 ,1.826.052 ,1.826.052 ,746.482 ,452.091 ,13 ,10.382 ,283.997 ,528.522 ,34.043 ,0 ,0 ,494.479 ,0 ,0 ,374.186 ,226.310 ,0 ,0 ,93.987 ,132.323 ,25.467 ,25.467 ,3.635 ,3.635 ,0 ,0 ,118.774 ,118.774 ,70.940 ,34.372 ,34.372 ,0 ,0 ,0 ,0 ,36.567 ,0 ,36.567 ,0 ,246.286 ,246.286 ,15.277 ,231.009 ,0 ,0 ,0 ,1.529.469 ,1.529.469 ,1.526.548 ,0 ,0 ,2.921 
134.,ROGAŠOVCI,1.914.659 ,284.172 ,257.127 ,238.750 ,238.750 ,2.333 ,0 ,0 ,171 ,2.162 ,16.045 ,651 ,0 ,0 ,15.394 ,0 ,0 ,27.045 ,10.161 ,0 ,0 ,5.442 ,4.720 ,9.531 ,9.531 ,0 ,0 ,835 ,835 ,6.518 ,6.518 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.630.487 ,1.630.487 ,1.610.399 ,20.088 ,0 ,0 
135.,ROGATEC,2.069.579 ,882.269 ,585.908 ,402.424 ,402.424 ,105.358 ,98.660 ,0 ,630 ,6.067 ,78.126 ,3.297 ,0 ,0 ,74.829 ,0 ,0 ,296.361 ,115.469 ,0 ,0 ,2.733 ,112.736 ,12.010 ,12.010 ,647 ,647 ,1.452 ,1.452 ,166.784 ,166.784 ,59.614 ,47.571 ,47.571 ,0 ,0 ,0 ,0 ,12.043 ,0 ,12.043 ,0 ,751 ,751 ,0 ,751 ,0 ,0 ,0 ,1.126.945 ,1.126.945 ,1.126.945 ,0 ,0 ,0 
136.,RUŠE,4.203.797 ,2.724.687 ,2.422.246 ,1.303.785 ,1.303.785 ,773.014 ,687.239 ,-63 ,2.733 ,83.104 ,345.447 ,1.920 ,0 ,0 ,343.528 ,0 ,0 ,302.441 ,196.148 ,0 ,6.673 ,33.963 ,155.512 ,18.119 ,18.119 ,221 ,221 ,10.315 ,10.315 ,77.637 ,77.637 ,491.012 ,93.327 ,93.327 ,0 ,0 ,0 ,0 ,397.684 ,0 ,397.684 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,988.099 ,988.099 ,628.188 ,15.578 ,344.333 ,0 
137.,SELNICA OB DRAVI,1.965.199 ,1.254.552 ,1.145.907 ,633.711 ,633.711 ,402.956 ,376.451 ,0 ,3.711 ,22.795 ,109.240 ,1.768 ,0 ,0 ,107.472 ,0 ,0 ,108.645 ,75.590 ,0 ,4.258 ,2.583 ,68.750 ,13.431 ,13.431 ,88 ,88 ,3.350 ,3.350 ,16.185 ,16.185 ,44.693 ,723 ,723 ,0 ,0 ,0 ,0 ,43.970 ,42.564 ,1.406 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,665.954 ,665.954 ,619.718 ,1.617 ,0 ,44.619 
138.,SEMIČ,2.077.228 ,803.042 ,749.337 ,534.856 ,534.856 ,70.535 ,50.689 ,0 ,2.387 ,17.460 ,143.945 ,5.604 ,0 ,0 ,138.341 ,0 ,0 ,53.706 ,15.152 ,0 ,0 ,1.819 ,13.333 ,12.339 ,12.339 ,234 ,234 ,1.081 ,1.081 ,24.900 ,24.900 ,26.611 ,10.624 ,10.624 ,0 ,0 ,0 ,0 ,15.986 ,0 ,15.986 ,0 ,26.498 ,26.498 ,2.629 ,23.869 ,0 ,0 ,0 ,1.221.077 ,1.221.077 ,1.221.077 ,0 ,0 ,0 
139.,SEVNICA,7.629.586 ,4.266.854 ,3.562.477 ,2.863.570 ,2.863.570 ,380.638 ,291.279 ,0 ,5.429 ,83.930 ,318.269 ,3.372 ,0 ,0 ,314.897 ,0 ,0 ,704.377 ,151.619 ,0 ,2.495 ,10.378 ,138.746 ,47.580 ,47.580 ,405 ,405 ,198.711 ,198.711 ,306.063 ,306.063 ,101.511 ,93.582 ,93.499 ,0 ,83 ,0 ,0 ,7.929 ,2.633 ,5.295 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.261.221 ,3.261.221 ,3.261.221 ,0 ,0 ,0 
140.,SEŽANA,6.916.312 ,6.586.567 ,4.791.934 ,3.258.517 ,3.258.517 ,778.134 ,553.180 ,0 ,15.177 ,209.777 ,755.283 ,259.410 ,0 ,0 ,495.873 ,0 ,0 ,1.794.634 ,1.184.606 ,28.509 ,0 ,45.360 ,1.110.737 ,40.665 ,40.665 ,309 ,309 ,8.521 ,8.521 ,560.532 ,560.532 ,119.212 ,59.715 ,59.160 ,555 ,0 ,0 ,0 ,59.498 ,0 ,59.498 ,0 ,1.102 ,0 ,0 ,0 ,1.102 ,1.102 ,0 ,209.431 ,209.431 ,209.431 ,0 ,0 ,0 
141.,MESTNA OBČINA SLOVENJ GRADEC,10.135.637 ,7.322.455 ,5.460.169 ,3.665.139 ,3.665.139 ,965.753 ,828.009 ,29 ,15.857 ,121.858 ,829.277 ,26.627 ,0 ,0 ,802.650 ,0 ,0 ,1.862.285 ,1.273.698 ,37.352 ,19.116 ,217.238 ,999.992 ,62.389 ,62.389 ,47.288 ,47.288 ,20.239 ,20.239 ,458.671 ,458.671 ,413.958 ,236.851 ,236.851 ,0 ,0 ,0 ,0 ,177.107 ,0 ,177.107 ,0 ,496.424 ,88.479 ,88.479 ,0 ,407.945 ,0 ,407.945 ,1.902.800 ,1.902.800 ,1.836.730 ,66.070 ,0 ,0 
142.,SLOVENSKA BISTRICA,12.299.228 ,7.745.994 ,6.998.635 ,5.066.834 ,5.066.834 ,1.253.159 ,1.032.223 ,0 ,28.693 ,192.243 ,678.643 ,51.110 ,0 ,0 ,627.533 ,0 ,0 ,747.359 ,363.967 ,0 ,0 ,43.465 ,320.502 ,79.085 ,79.085 ,15.753 ,15.753 ,0 ,0 ,288.554 ,288.554 ,240.098 ,108.893 ,108.788 ,104 ,0 ,0 ,0 ,131.205 ,0 ,131.205 ,0 ,167 ,167 ,167 ,0 ,0 ,0 ,0 ,4.312.969 ,4.312.969 ,4.267.247 ,45.723 ,0 ,0 
143.,SLOVENSKE KONJICE,6.813.170 ,3.582.553 ,3.120.364 ,2.307.269 ,2.307.269 ,352.228 ,240.039 ,96 ,6.856 ,105.237 ,460.866 ,12.485 ,0 ,0 ,448.381 ,0 ,0 ,462.189 ,199.604 ,3.580 ,0 ,13.462 ,182.561 ,33.087 ,33.087 ,1.531 ,1.531 ,1.110 ,1.110 ,226.857 ,226.857 ,240.632 ,113.237 ,112.369 ,0 ,868 ,0 ,0 ,127.395 ,11.864 ,115.532 ,0 ,5.008 ,5.008 ,5.008 ,0 ,0 ,0 ,0 ,2.984.977 ,2.984.977 ,2.280.070 ,128.943 ,0 ,575.964 
144.,SODRAŽICA,935.194 ,450.426 ,400.768 ,316.153 ,316.153 ,22.016 ,14.184 ,0 ,313 ,7.520 ,62.598 ,576 ,0 ,0 ,62.022 ,0 ,0 ,49.658 ,16.166 ,0 ,0 ,1.477 ,14.689 ,5.320 ,5.320 ,150 ,150 ,12.101 ,12.101 ,15.920 ,15.920 ,18.236 ,0 ,0 ,0 ,0 ,0 ,0 ,18.236 ,0 ,18.236 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,466.533 ,466.533 ,441.208 ,25.038 ,0 ,288 
145.,SOLČAVA,576.114 ,96.532 ,75.188 ,52.220 ,52.220 ,3.046 ,2.662 ,0 ,50 ,334 ,19.922 ,63 ,0 ,0 ,19.859 ,0 ,0 ,21.345 ,17.322 ,0 ,0 ,384 ,16.938 ,2.679 ,2.679 ,0 ,0 ,125 ,125 ,1.218 ,1.218 ,334 ,334 ,334 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,479.248 ,479.248 ,466.859 ,313 ,0 ,12.076 
146.,STARŠE,2.326.502 ,2.319.930 ,2.116.479 ,655.154 ,655.154 ,1.358.137 ,1.350.325 ,0 ,1.652 ,6.159 ,103.188 ,1.561 ,0 ,0 ,101.627 ,0 ,0 ,203.451 ,70.464 ,5.225 ,0 ,54.649 ,10.591 ,10.699 ,10.699 ,192 ,192 ,3.021 ,3.021 ,119.074 ,119.074 ,2.099 ,1.665 ,1.665 ,0 ,0 ,0 ,0 ,434 ,0 ,0 ,434 ,188 ,188 ,188 ,0 ,0 ,0 ,0 ,4.286 ,4.286 ,0 ,4.286 ,0 ,0 
147.,SVETA ANA,1.072.918 ,420.915 ,289.768 ,185.111 ,185.111 ,56.581 ,51.394 ,0 ,409 ,4.778 ,48.076 ,730 ,0 ,0 ,47.346 ,0 ,0 ,131.147 ,35.053 ,488 ,0 ,20.539 ,14.025 ,5.951 ,5.951 ,92 ,92 ,54.632 ,54.632 ,35.420 ,35.420 ,5.575 ,3.868 ,3.868 ,0 ,0 ,0 ,0 ,1.707 ,0 ,1.707 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,646.428 ,646.428 ,646.428 ,0 ,0 ,0 
148.,SVETI ANDRAŽ V SLOVENSKIH GORICAH,630.546 ,198.690 ,120.952 ,74.695 ,74.695 ,30.834 ,27.646 ,0 ,438 ,2.750 ,15.423 ,0 ,0 ,0 ,15.423 ,0 ,0 ,77.737 ,22.776 ,0 ,0 ,20.689 ,2.086 ,3.735 ,3.735 ,0 ,0 ,0 ,0 ,51.227 ,51.227 ,34.289 ,34.289 ,34.289 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.069 ,4.069 ,3.810 ,259 ,0 ,0 ,0 ,393.499 ,393.499 ,383.550 ,0 ,0 ,9.948 
149.,SVETI JURIJ,1.483.600 ,355.325 ,276.502 ,251.331 ,251.331 ,8.404 ,676 ,0 ,129 ,7.599 ,16.767 ,175 ,0 ,0 ,16.592 ,0 ,0 ,78.822 ,46.378 ,0 ,0 ,18.106 ,28.272 ,7.553 ,7.553 ,1.014 ,1.014 ,0 ,0 ,23.877 ,23.877 ,2.858 ,0 ,0 ,0 ,0 ,0 ,0 ,2.858 ,0 ,2.858 ,0 ,31.134 ,31.134 ,3.518 ,27.616 ,0 ,0 ,0 ,1.094.283 ,1.094.283 ,1.080.709 ,0 ,0 ,13.575 
150.,ŠALOVCI,1.049.502 ,369.186 ,242.233 ,118.910 ,118.910 ,113.625 ,113.022 ,0 ,0 ,603 ,9.698 ,0 ,0 ,0 ,9.698 ,0 ,0 ,126.954 ,10.661 ,0 ,0 ,948 ,9.713 ,8.634 ,8.634 ,25 ,25 ,0 ,0 ,107.634 ,107.634 ,13.502 ,6.579 ,6.245 ,0 ,334 ,0 ,0 ,6.923 ,6.923 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,666.814 ,666.814 ,596.244 ,0 ,0 ,70.570 
151.,ŠEMPETER - VRTOJBA,5.779.866 ,5.434.421 ,4.169.237 ,2.169.373 ,2.169.373 ,786.914 ,681.175 ,0 ,14.386 ,91.353 ,1.212.950 ,2.064 ,0 ,0 ,1.210.886 ,0 ,0 ,1.265.184 ,1.148.901 ,26.312 ,0 ,120.263 ,1.002.326 ,28.847 ,28.847 ,4.815 ,4.815 ,1.463 ,1.463 ,81.159 ,81.159 ,31.169 ,25.513 ,25.513 ,0 ,0 ,0 ,0 ,5.656 ,460 ,5.196 ,0 ,50.075 ,50.075 ,0 ,50.075 ,0 ,0 ,0 ,264.201 ,264.201 ,264.201 ,0 ,0 ,0 
152.,ŠENČUR,4.791.095 ,3.526.469 ,2.607.457 ,2.070.389 ,2.070.389 ,250.313 ,137.256 ,0 ,7.386 ,105.671 ,286.755 ,3.372 ,0 ,0 ,283.383 ,0 ,0 ,919.012 ,732.177 ,0 ,3.251 ,232.123 ,496.804 ,16.888 ,16.888 ,864 ,864 ,15.728 ,15.728 ,153.355 ,153.355 ,768.077 ,0 ,0 ,0 ,0 ,0 ,0 ,768.077 ,0 ,768.077 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,496.549 ,496.549 ,496.549 ,0 ,0 ,0 
153.,ŠENTILJ,4.497.880 ,3.032.653 ,2.737.590 ,1.178.347 ,1.178.347 ,445.931 ,412.540 ,0 ,-1.769 ,35.161 ,1.113.312 ,2.583 ,0 ,0 ,1.110.729 ,0 ,0 ,295.063 ,106.013 ,0 ,3.710 ,6.526 ,95.777 ,25.730 ,25.730 ,159 ,159 ,0 ,0 ,163.161 ,163.161 ,46.082 ,44.634 ,44.634 ,0 ,0 ,0 ,0 ,1.448 ,0 ,1.448 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.419.145 ,1.419.145 ,1.253.756 ,7.265 ,0 ,158.125 
154.,ŠENTJERNEJ,3.343.252 ,1.975.972 ,1.310.028 ,933.538 ,933.538 ,178.130 ,127.074 ,0 ,4.302 ,46.753 ,198.360 ,476 ,0 ,0 ,197.884 ,0 ,0 ,665.945 ,355.166 ,0 ,651 ,37.243 ,317.272 ,17.280 ,17.280 ,1.298 ,1.298 ,0 ,0 ,292.201 ,292.201 ,81.990 ,363 ,0 ,0 ,363 ,0 ,0 ,81.627 ,14.605 ,67.021 ,0 ,15.916 ,15.916 ,15.916 ,0 ,0 ,0 ,0 ,1.269.375 ,1.269.375 ,1.269.375 ,0 ,0 ,0 
155.,ŠENTJUR,7.488.161 ,4.273.635 ,3.498.765 ,2.828.589 ,2.828.589 ,287.569 ,175.647 ,96 ,9.364 ,102.462 ,382.607 ,3.259 ,0 ,0 ,379.348 ,0 ,0 ,774.871 ,379.010 ,0 ,726 ,15.744 ,362.540 ,44.250 ,44.250 ,0 ,0 ,63 ,63 ,351.548 ,351.548 ,34.723 ,34.147 ,34.147 ,0 ,0 ,0 ,0 ,576 ,0 ,0 ,576 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.179.803 ,3.179.803 ,3.179.803 ,0 ,0 ,0 
156.,ŠKOCJAN,1.979.670 ,1.191.471 ,760.695 ,376.773 ,376.773 ,22.137 ,10.537 ,0 ,2.508 ,9.093 ,361.784 ,0 ,0 ,0 ,361.784 ,0 ,0 ,430.775 ,409.619 ,0 ,259 ,44.742 ,364.618 ,7.386 ,7.386 ,605 ,605 ,117 ,117 ,13.049 ,13.049 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,788.199 ,788.199 ,788.199 ,0 ,0 ,0 
157.,ŠKOFJA LOKA,9.834.698 ,9.203.021 ,7.469.963 ,5.469.258 ,5.469.258 ,1.188.149 ,816.683 ,1.773 ,51.936 ,317.756 ,812.556 ,533.221 ,0 ,0 ,279.336 ,0 ,0 ,1.733.058 ,1.442.998 ,7.699 ,0 ,94.788 ,1.340.511 ,55.220 ,55.220 ,16.829 ,16.829 ,15.807 ,15.807 ,202.203 ,202.203 ,174.428 ,132.858 ,115.436 ,0 ,0 ,17.422 ,35.211 ,6.360 ,0 ,6.360 ,0 ,7.720 ,0 ,0 ,0 ,7.720 ,7.720 ,0 ,449.528 ,449.528 ,449.003 ,0 ,526 ,0 
158.,ŠKOFLJICA,4.844.191 ,3.252.813 ,2.350.547 ,1.682.424 ,1.682.424 ,300.179 ,144.237 ,4 ,-4.294 ,160.232 ,367.944 ,2.337 ,0 ,0 ,365.607 ,0 ,0 ,902.266 ,358.550 ,0 ,0 ,334.331 ,24.220 ,16.621 ,16.621 ,2.057 ,2.057 ,24.382 ,24.382 ,500.655 ,500.655 ,517 ,0 ,0 ,0 ,0 ,0 ,0 ,517 ,0 ,517 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.590.861 ,1.590.861 ,77.291 ,1.501.097 ,0 ,12.473 
159.,ŠMARJE PRI JELŠAH,4.837.994 ,2.356.289 ,1.840.899 ,1.291.662 ,1.291.662 ,199.228 ,128.985 ,0 ,7.278 ,62.965 ,350.008 ,7.344 ,0 ,0 ,342.664 ,0 ,0 ,515.390 ,309.055 ,0 ,55.996 ,48.281 ,204.778 ,27.379 ,27.379 ,1.536 ,1.536 ,7.177 ,7.177 ,170.243 ,170.243 ,172.955 ,88.591 ,88.591 ,0 ,0 ,0 ,0 ,84.364 ,9.485 ,74.879 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.308.751 ,2.308.751 ,2.263.733 ,0 ,0 ,45.018 
160.,ŠMARTNO OB PAKI,1.329.711 ,883.709 ,767.080 ,575.876 ,575.876 ,70.360 ,62.156 ,0 ,1.410 ,6.794 ,120.844 ,0 ,0 ,0 ,120.844 ,0 ,0 ,116.629 ,16.688 ,0 ,0 ,4.841 ,11.847 ,6.289 ,6.289 ,305 ,305 ,0 ,0 ,93.348 ,93.348 ,86.417 ,3.468 ,3.468 ,0 ,0 ,0 ,0 ,82.949 ,0 ,82.949 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,359.585 ,359.585 ,359.585 ,0 ,0 ,0 
161.,ŠOŠTANJ,4.953.514 ,4.185.775 ,3.168.277 ,1.601.744 ,1.601.744 ,732.862 ,721.420 ,0 ,1.486 ,9.957 ,833.671 ,1.928 ,0 ,0 ,831.743 ,0 ,0 ,1.017.497 ,175.388 ,0 ,8 ,5.842 ,169.538 ,23.368 ,23.368 ,555 ,555 ,46.799 ,46.799 ,771.386 ,771.386 ,56.326 ,31.906 ,31.731 ,0 ,175 ,0 ,0 ,24.420 ,0 ,24.420 ,0 ,29.874 ,0 ,0 ,0 ,29.874 ,29.874 ,0 ,681.539 ,681.539 ,609.352 ,72.187 ,0 ,0 
162.,ŠTORE,2.078.259 ,1.012.961 ,905.980 ,557.695 ,557.695 ,157.161 ,100.451 ,79 ,209 ,56.422 ,191.124 ,906 ,0 ,0 ,190.219 ,0 ,0 ,106.981 ,18.323 ,0 ,0 ,192 ,18.131 ,20.990 ,20.990 ,209 ,209 ,1.477 ,1.477 ,65.982 ,65.982 ,358.112 ,1.148 ,0 ,33 ,1.114 ,0 ,0 ,356.965 ,0 ,356.965 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,707.186 ,707.186 ,707.186 ,0 ,0 ,0 
