102.,MUTA,1.834.614 ,288.328 ,88.558 ,12.819 ,176.281 ,40.131 ,21.445 ,18.378 ,2.441 ,2.370 ,42.931 ,238 ,0 ,4.085 ,44.262 ,8.930 ,1.306 ,0 ,7.624 ,0 ,1.740 ,1.740 ,0 ,0 ,873.348 ,23.122 ,0 ,23.122 ,228.071 ,0 ,0 ,0 ,0 ,6.051 ,222.021 ,77.925 ,77.925 ,544.229 ,0 ,0 ,5.855 ,538.374 ,0 ,603.998 ,603.998 ,67.564 ,5.604 ,6.259 ,0 ,352.554 ,42.777 ,23.131 ,0 ,106.109 ,68.941 ,68.941 ,0 ,0 ,25.505 ,0 ,0 ,0 ,4.173 ,39.263 ,0 ,-9.406 
103.,NAKLO,2.806.823 ,708.312 ,95.510 ,13.454 ,587.665 ,109.381 ,65.144 ,32.486 ,2.078 ,3.743 ,209.197 ,23.381 ,29.210 ,4.006 ,109.039 ,0 ,0 ,0 ,0 ,0 ,11.684 ,0 ,11.684 ,0 ,702.596 ,14.188 ,0 ,14.188 ,386.430 ,0 ,6.385 ,0 ,0 ,1.252 ,378.793 ,119.592 ,119.592 ,182.386 ,0 ,21.925 ,0 ,160.462 ,0 ,915.694 ,915.694 ,62.594 ,0 ,26.690 ,2.416 ,594.492 ,74.132 ,54.131 ,0 ,101.239 ,480.220 ,480.220 ,0 ,0 ,44.650 ,390.444 ,0 ,0 ,0 ,45.126 ,0 ,218.369 
104.,NAZARJE,1.196.908 ,355.846 ,74.136 ,10.795 ,236.567 ,38.099 ,0 ,27.838 ,1.114 ,405 ,115.494 ,17.777 ,0 ,3.626 ,32.215 ,31.276 ,31.276 ,0 ,0 ,0 ,3.071 ,3.071 ,0 ,0 ,482.970 ,8.926 ,0 ,8.926 ,233.016 ,0 ,0 ,1.590 ,0 ,0 ,231.426 ,39.647 ,39.647 ,201.381 ,12.043 ,13.704 ,1.673 ,173.961 ,0 ,281.898 ,281.898 ,48.953 ,0 ,3.693 ,463 ,190.999 ,0 ,27.107 ,0 ,10.683 ,76.193 ,76.193 ,0 ,0 ,38.391 ,35.211 ,0 ,0 ,0 ,2.591 ,0 ,81.602 
105.,MESTNA OBČINA NOVA GORICA,25.842.455 ,6.942.055 ,1.689.100 ,245.710 ,4.866.308 ,588.341 ,62.540 ,1.400.714 ,49.654 ,23.832 ,845.426 ,30.542 ,554.937 ,97.046 ,1.213.278 ,0 ,0 ,0 ,0 ,0 ,140.936 ,0 ,140.936 ,0 ,9.020.589 ,713.871 ,284.306 ,429.565 ,1.680.926 ,0 ,0 ,0 ,0 ,29.740 ,1.651.185 ,1.301.260 ,1.301.260 ,5.324.533 ,351.615 ,184.222 ,231.798 ,4.556.898 ,0 ,4.978.610 ,4.978.610 ,364.447 ,8.734 ,127.404 ,2.032 ,3.185.357 ,428.313 ,228.213 ,0 ,634.110 ,4.901.202 ,4.901.202 ,631.343 ,0 ,224.069 ,2.063.942 ,0 ,50.075 ,0 ,1.931.773 ,0 ,503.409 
106.,MESTNA OBČINA NOVO MESTO,23.150.931 ,6.395.606 ,1.471.562 ,216.350 ,4.210.382 ,2.031.614 ,20.201 ,858.621 ,21.649 ,16.003 ,379.014 ,69.579 ,34.143 ,79.185 ,700.371 ,430.521 ,428.434 ,2.086 ,0 ,0 ,66.792 ,66.792 ,0 ,0 ,7.420.159 ,903.964 ,599.537 ,304.427 ,1.258.250 ,5.045 ,0 ,377.328 ,0 ,6.022 ,869.855 ,173.339 ,173.339 ,5.084.606 ,94.567 ,0 ,410.649 ,4.579.390 ,0 ,8.265.273 ,8.265.273 ,255.633 ,5.262 ,659.214 ,3.263 ,5.016.796 ,1.900.075 ,102.320 ,0 ,322.709 ,1.069.892 ,1.069.892 ,61.096 ,0 ,0 ,4.398 ,0 ,517.576 ,0 ,486.822 ,0 ,-155.846 
107.,ODRANCI,839.689 ,204.419 ,65.629 ,9.560 ,119.019 ,22.642 ,944 ,34.364 ,2.750 ,3.024 ,25.092 ,0 ,1.227 ,2.002 ,26.974 ,1.865 ,1.865 ,0 ,0 ,0 ,8.346 ,3.338 ,5.008 ,0 ,230.273 ,14.883 ,0 ,14.883 ,18.844 ,188 ,0 ,193 ,0 ,0 ,18.463 ,23.437 ,23.437 ,173.108 ,4.548 ,19.263 ,300 ,148.997 ,0 ,396.996 ,396.996 ,0 ,0 ,3.710 ,0 ,390.744 ,1.832 ,709 ,0 ,0 ,8.001 ,8.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.001 ,0 ,202.942 
108.,OPLOTNICA,1.723.306 ,517.764 ,121.311 ,13.875 ,373.890 ,68.624 ,3.818 ,105.767 ,0 ,3.585 ,160.220 ,7.561 ,0 ,3.292 ,21.023 ,7.853 ,7.853 ,0 ,0 ,0 ,835 ,0 ,835 ,0 ,563.028 ,27.566 ,0 ,27.566 ,299.282 ,0 ,0 ,0 ,0 ,6.259 ,293.023 ,96.098 ,96.098 ,140.081 ,4.140 ,26.715 ,8.884 ,100.342 ,0 ,552.629 ,552.629 ,20.948 ,0 ,3.893 ,0 ,457.532 ,51.035 ,138 ,0 ,19.083 ,89.885 ,89.885 ,0 ,13.086 ,47.909 ,0 ,0 ,0 ,0 ,28.889 ,0 ,56.551 
109.,ORMOŽ,10.544.350 ,2.334.489 ,553.789 ,79.978 ,1.361.534 ,186.496 ,0 ,142.126 ,21.198 ,7.006 ,652.771 ,29.240 ,234 ,23.005 ,299.458 ,34.969 ,8.838 ,0 ,26.131 ,0 ,304.219 ,47.087 ,0 ,257.132 ,4.798.894 ,1.057.457 ,942.430 ,115.027 ,2.018.557 ,2.725 ,0 ,0 ,0 ,99.579 ,1.916.254 ,432.703 ,432.703 ,1.290.177 ,307.570 ,140.557 ,0 ,842.051 ,0 ,2.453.593 ,2.453.593 ,0 ,0 ,179.544 ,53.852 ,1.871.503 ,181.543 ,18.478 ,0 ,148.673 ,957.374 ,957.374 ,64.063 ,0 ,35.866 ,653.413 ,0 ,0 ,0 ,204.031 ,0 ,112.210 
110.,OSILNICA,300.317 ,170.122 ,107.123 ,18.428 ,44.571 ,10.854 ,6.802 ,5.800 ,4.035 ,2.633 ,2.045 ,0 ,5.275 ,2.024 ,5.103 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,51.469 ,0 ,0 ,0 ,16.604 ,0 ,0 ,0 ,0 ,0 ,16.604 ,1.081 ,1.081 ,33.784 ,0 ,3.409 ,0 ,30.375 ,0 ,78.726 ,78.726 ,0 ,0 ,2.529 ,0 ,12.861 ,0 ,0 ,0 ,63.337 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7.382 
111.,PESNICA,4.191.450 ,1.111.171 ,233.200 ,29.957 ,843.482 ,46.107 ,23.832 ,52.712 ,104.619 ,2.804 ,446.328 ,1.110 ,0 ,9.765 ,156.205 ,2.445 ,2.445 ,0 ,0 ,0 ,2.086 ,0 ,0 ,2.086 ,1.112.727 ,71.628 ,0 ,71.628 ,30.199 ,0 ,4.932 ,2.850 ,0 ,0 ,22.417 ,38.111 ,38.111 ,972.788 ,626 ,111.183 ,321 ,860.658 ,0 ,1.846.511 ,1.846.511 ,0 ,0 ,17.255 ,13.570 ,1.228.117 ,463.057 ,0 ,0 ,124.512 ,121.040 ,121.040 ,0 ,0 ,112.414 ,0 ,0 ,0 ,0 ,8.625 ,0 ,935.361 
112.,PIRAN,16.155.295 ,5.665.173 ,1.287.001 ,186.234 ,4.039.655 ,344.329 ,36.008 ,996.783 ,51.114 ,10.407 ,324.328 ,123.560 ,1.112.899 ,69.308 ,970.919 ,75.584 ,75.584 ,0 ,0 ,0 ,76.698 ,1.586 ,75.113 ,0 ,5.885.324 ,164.430 ,0 ,164.430 ,2.014.251 ,0 ,0 ,171.102 ,0 ,0 ,1.843.148 ,1.027.938 ,1.027.938 ,2.678.706 ,1.669 ,160.487 ,73.560 ,2.442.989 ,0 ,3.190.832 ,3.190.832 ,231.748 ,1.957 ,114.776 ,14.267 ,2.235.845 ,121.182 ,294.304 ,0 ,176.753 ,1.413.967 ,1.413.967 ,0 ,0 ,65.861 ,410.053 ,0 ,0 ,37.168 ,883.550 ,17.334 ,3.907.991 
113.,PIVKA,3.510.136 ,935.887 ,209.435 ,29.953 ,648.740 ,72.993 ,597 ,80.166 ,11.392 ,6.451 ,368.219 ,6.560 ,5.091 ,9.076 ,88.195 ,0 ,0 ,0 ,0 ,0 ,47.759 ,47.759 ,0 ,0 ,1.149.912 ,75.058 ,0 ,75.058 ,215.144 ,0 ,13.979 ,2.813 ,0 ,0 ,198.352 ,143.111 ,143.111 ,716.600 ,28.534 ,28.046 ,27.579 ,632.440 ,0 ,1.197.037 ,1.197.037 ,0 ,11.259 ,27.345 ,0 ,753.989 ,302.270 ,12.682 ,0 ,89.493 ,227.299 ,227.299 ,22.876 ,0 ,18.937 ,147.388 ,0 ,0 ,0 ,38.099 ,0 ,-10.445 
114.,PODČETRTEK,1.756.339 ,446.303 ,127.374 ,17.906 ,283.329 ,58.926 ,14.384 ,9.448 ,3.025 ,5.325 ,101.081 ,21.290 ,0 ,5.012 ,64.839 ,2.813 ,83 ,1.773 ,956 ,0 ,14.881 ,2.450 ,12.431 ,0 ,772.559 ,0 ,0 ,0 ,250.142 ,0 ,0 ,396 ,0 ,0 ,249.745 ,52.925 ,52.925 ,469.492 ,80.312 ,39.693 ,0 ,349.487 ,0 ,205.596 ,205.596 ,0 ,0 ,8.842 ,2.270 ,188.274 ,0 ,2.345 ,0 ,3.864 ,331.881 ,331.881 ,76.143 ,0 ,12.185 ,122.496 ,0 ,0 ,0 ,121.057 ,0 ,123.185 
115.,PODLEHNIK,2.180.229 ,495.848 ,89.013 ,13.712 ,389.601 ,272.187 ,40.114 ,17.230 ,3.493 ,0 ,12.131 ,2.946 ,0 ,3.831 ,37.669 ,3.522 ,0 ,3.522 ,0 ,0 ,0 ,0 ,0 ,0 ,379.548 ,73.802 ,66.082 ,7.720 ,143.757 ,1.548 ,0 ,0 ,0 ,0 ,142.209 ,32.908 ,32.908 ,129.081 ,0 ,40.127 ,0 ,88.954 ,0 ,1.304.832 ,1.304.832 ,0 ,0 ,0 ,0 ,1.137.227 ,149.825 ,0 ,0 ,17.781 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,98.761 
116.,PODVELKA,1.613.095 ,224.153 ,71.470 ,10.432 ,135.278 ,32.820 ,9.719 ,21.929 ,3.050 ,7.603 ,17.138 ,1.456 ,835 ,2.541 ,38.186 ,0 ,0 ,0 ,0 ,0 ,6.973 ,0 ,6.973 ,0 ,640.415 ,20.335 ,0 ,20.335 ,160.023 ,0 ,0 ,36.380 ,0 ,0 ,123.644 ,56.718 ,56.718 ,403.338 ,7.065 ,0 ,12.798 ,383.475 ,0 ,624.407 ,624.407 ,18.152 ,16.984 ,3.560 ,0 ,370.134 ,179.957 ,7.073 ,0 ,28.547 ,124.120 ,124.120 ,1.223 ,0 ,7.248 ,37.619 ,0 ,0 ,34.418 ,43.611 ,0 ,-4.198 
117.,POLZELA,2.298.631 ,528.009 ,119.780 ,17.593 ,373.790 ,59.927 ,13.883 ,53.372 ,3.522 ,3.835 ,178.768 ,0 ,0 ,6.426 ,54.056 ,2.107 ,0 ,0 ,2.107 ,0 ,14.739 ,6.393 ,8.346 ,0 ,941.600 ,21.929 ,0 ,21.929 ,493.077 ,0 ,2.838 ,0 ,0 ,0 ,490.240 ,97.379 ,97.379 ,329.215 ,60.048 ,40.957 ,2.758 ,225.451 ,0 ,554.895 ,554.895 ,0 ,0 ,7.503 ,0 ,347.413 ,36.133 ,54.273 ,0 ,109.573 ,274.128 ,274.128 ,0 ,0 ,26.135 ,179.332 ,0 ,0 ,0 ,68.661 ,0 ,405 
118.,POSTOJNA,6.786.192 ,1.969.855 ,440.982 ,62.477 ,1.439.113 ,132.353 ,107.812 ,195.802 ,4.753 ,1.782 ,768.077 ,2.379 ,34.573 ,19.584 ,172.000 ,27.283 ,20.485 ,0 ,6.798 ,0 ,0 ,0 ,0 ,0 ,3.094.571 ,117.055 ,0 ,117.055 ,1.385.812 ,0 ,14.605 ,8.746 ,0 ,23.427 ,1.339.034 ,521.290 ,521.290 ,1.070.414 ,260.186 ,87.828 ,68.741 ,653.660 ,0 ,1.290.953 ,1.290.953 ,0 ,0 ,133.087 ,43.023 ,834.172 ,49.528 ,20.239 ,0 ,210.904 ,430.813 ,430.813 ,118.403 ,1.227 ,66.099 ,201.035 ,0 ,0 ,3.171 ,40.878 ,0 ,-126.698 
119.,PREBOLD,2.432.561 ,448.477 ,84.335 ,13.929 ,332.303 ,57.924 ,6.935 ,45.184 ,3.388 ,2.312 ,129.932 ,430 ,0 ,4.878 ,81.318 ,0 ,0 ,0 ,0 ,0 ,17.910 ,11.476 ,6.435 ,0 ,743.357 ,24.850 ,0 ,24.850 ,425.083 ,0 ,0 ,4.853 ,0 ,0 ,420.230 ,94.529 ,94.529 ,198.894 ,0 ,44.233 ,8.258 ,146.403 ,0 ,1.184.193 ,1.184.193 ,0 ,0 ,12.473 ,1.041.988 ,0 ,87.869 ,0 ,0 ,41.863 ,56.535 ,56.535 ,0 ,3.067 ,14.605 ,37.940 ,0 ,0 ,0 ,922 ,0 ,-171.211 
120.,PREDDVOR,2.026.523 ,400.768 ,86.980 ,13.178 ,297.225 ,57.657 ,3.735 ,29.377 ,2.220 ,2.303 ,85.937 ,0 ,0 ,4.252 ,111.743 ,0 ,0 ,0 ,0 ,0 ,3.384 ,3.384 ,0 ,0 ,439.230 ,11.868 ,0 ,11.868 ,172.204 ,0 ,1.920 ,0 ,0 ,0 ,170.285 ,56.610 ,56.610 ,198.548 ,0 ,16.441 ,0 ,182.106 ,0 ,1.050.058 ,1.050.058 ,0 ,0 ,243.636 ,0 ,661.117 ,5.446 ,38.174 ,6.259 ,95.426 ,136.467 ,136.467 ,0 ,0 ,19.680 ,116.788 ,0 ,0 ,0 ,0 ,0 ,-170.706 
121.,PREVALJE,4.516.454 ,1.424.716 ,286.342 ,42.944 ,1.070.881 ,76.156 ,39.288 ,73.297 ,8.429 ,5.471 ,425.956 ,56.497 ,4.740 ,17.647 ,363.399 ,12.031 ,12.031 ,0 ,0 ,0 ,12.519 ,0 ,12.519 ,0 ,1.194.250 ,45.376 ,0 ,45.376 ,515.736 ,0 ,0 ,0 ,0 ,0 ,515.736 ,130.425 ,130.425 ,502.712 ,13.771 ,44.629 ,3.555 ,440.757 ,0 ,1.047.492 ,1.047.492 ,65.803 ,4.060 ,40.361 ,0 ,757.716 ,0 ,23.247 ,0 ,156.305 ,849.996 ,849.996 ,120.097 ,0 ,0 ,599.679 ,0 ,0 ,0 ,130.220 ,0 ,-852.554 
122.,MESTNA OBČINA PTUJ,16.559.952 ,4.529.632 ,1.144.809 ,164.054 ,2.876.865 ,227.024 ,9.940 ,263.203 ,23.022 ,21.582 ,1.330.850 ,16.066 ,235.119 ,58.404 ,691.654 ,9.677 ,9.677 ,0 ,0 ,0 ,334.226 ,0 ,0 ,334.226 ,5.374.107 ,25.634 ,0 ,25.634 ,2.253.497 ,14.267 ,0 ,0 ,0 ,10.153 ,2.229.077 ,526.920 ,526.920 ,2.568.056 ,147.872 ,225.517 ,0 ,2.194.667 ,0 ,5.138.370 ,5.138.370 ,25.363 ,10.199 ,214.597 ,1.377 ,4.181.877 ,176.515 ,174.065 ,2.554 ,351.824 ,1.517.843 ,1.517.843 ,0 ,0 ,29.210 ,126.118 ,0 ,959.911 ,0 ,402.604 ,0 ,-228.171 
123.,PUCONCI,4.681.156 ,1.609.771 ,208.448 ,29.851 ,586.843 ,70.137 ,59.990 ,88.956 ,6.526 ,2.747 ,255.883 ,283 ,566 ,8.467 ,93.288 ,37.044 ,26.777 ,0 ,10.267 ,0 ,747.584 ,0 ,16.692 ,730.893 ,1.390.500 ,75.600 ,0 ,75.600 ,504.184 ,0 ,0 ,0 ,0 ,742 ,503.442 ,170.087 ,170.087 ,640.629 ,0 ,87.947 ,0 ,552.682 ,0 ,1.437.652 ,1.437.652 ,199.151 ,0 ,21.976 ,3.975 ,885.018 ,293.320 ,3.913 ,0 ,30.300 ,243.233 ,243.233 ,0 ,0 ,8.708 ,0 ,0 ,5.412 ,2.429 ,226.685 ,0 ,-22.397 
124.,RAČE - FRAM,3.114.589 ,739.142 ,190.966 ,26.627 ,520.226 ,68.311 ,0 ,125.380 ,9.861 ,6.084 ,249.533 ,0 ,0 ,7.457 ,53.601 ,71 ,71 ,0 ,0 ,0 ,1.252 ,0 ,1.252 ,0 ,1.105.921 ,111.396 ,0 ,111.396 ,162.060 ,0 ,0 ,5.542 ,0 ,0 ,156.518 ,124.733 ,124.733 ,707.732 ,3.130 ,57.031 ,0 ,647.571 ,0 ,1.192.956 ,1.192.956 ,0 ,0 ,5.834 ,0 ,730.408 ,397.730 ,0 ,0 ,58.984 ,76.569 ,76.569 ,9.694 ,0 ,0 ,0 ,0 ,0 ,0 ,66.875 ,0 ,151.552 
125.,RADEČE,2.183.609 ,372.546 ,166.863 ,26.264 ,165.678 ,48.368 ,4.039 ,21.662 ,1.748 ,1.231 ,36.317 ,0 ,0 ,5.103 ,47.208 ,11.459 ,11.459 ,0 ,0 ,0 ,2.283 ,0 ,2.283 ,0 ,991.233 ,0 ,0 ,0 ,188.445 ,0 ,714 ,668 ,0 ,0 ,187.064 ,96.762 ,96.762 ,706.026 ,16.692 ,28.831 ,0 ,660.503 ,0 ,224.311 ,224.311 ,59.681 ,0 ,13.186 ,0 ,55.446 ,1.365 ,38.591 ,0 ,56.042 ,595.518 ,595.518 ,0 ,0 ,39.288 ,393.720 ,0 ,0 ,0 ,162.510 ,0 ,20.865 
126.,RADENCI,2.429.780 ,704.161 ,129.348 ,18.705 ,542.397 ,61.504 ,0 ,171.618 ,1.945 ,1.970 ,164.977 ,0 ,11.806 ,5.662 ,122.915 ,13.711 ,13.711 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,994.895 ,36.342 ,0 ,36.342 ,219.080 ,3.796 ,0 ,0 ,0 ,1.941 ,213.343 ,145.618 ,145.618 ,593.855 ,71.260 ,41.022 ,2.710 ,478.863 ,0 ,526.176 ,526.176 ,0 ,0 ,29.409 ,1.581 ,150.676 ,288.403 ,4.931 ,0 ,51.177 ,204.549 ,204.549 ,165.387 ,0 ,4.173 ,0 ,0 ,0 ,0 ,34.989 ,0 ,46.821 
127.,RADLJE OB DRAVI,3.174.024 ,867.130 ,180.037 ,25.296 ,637.152 ,60.190 ,18.812 ,70.255 ,7.657 ,584 ,372.350 ,7.169 ,8.171 ,7.073 ,84.890 ,8.855 ,3.209 ,5.646 ,0 ,0 ,15.790 ,0 ,15.790 ,0 ,1.380.921 ,44.446 ,0 ,44.446 ,330.483 ,11.183 ,0 ,1.619 ,0 ,8.091 ,309.589 ,171.027 ,171.027 ,834.965 ,62.344 ,52.137 ,29.432 ,691.053 ,0 ,792.013 ,792.013 ,20.835 ,0 ,10.854 ,0 ,401.778 ,220.581 ,8.884 ,0 ,129.081 ,133.959 ,133.959 ,0 ,5.016 ,36.722 ,0 ,0 ,0 ,0 ,92.222 ,0 ,-16.345 
128.,RADOVLJICA,9.706.664 ,1.530.646 ,522.496 ,76.244 ,899.812 ,281.247 ,513 ,158.584 ,13.203 ,2.850 ,25.693 ,259 ,3.351 ,28.802 ,385.311 ,15.736 ,15.736 ,0 ,0 ,0 ,16.358 ,16.358 ,0 ,0 ,4.130.295 ,247.697 ,133.605 ,114.092 ,787.823 ,0 ,18.903 ,62.986 ,0 ,7.278 ,698.656 ,569.780 ,569.780 ,2.524.996 ,248.794 ,0 ,0 ,2.276.202 ,0 ,2.446.582 ,2.446.582 ,193.102 ,14.605 ,111.985 ,0 ,1.513.291 ,230.408 ,135.290 ,0 ,247.901 ,1.599.140 ,1.599.140 ,338.687 ,0 ,298.026 ,713.203 ,0 ,84.143 ,4.861 ,160.220 ,0 ,-411.747 
129.,RAVNE NA KOROŠKEM,7.646.516 ,1.906.147 ,460.900 ,65.081 ,1.287.535 ,65.023 ,50.568 ,86.192 ,4.377 ,5.041 ,552.316 ,8.767 ,125 ,24.190 ,490.936 ,49.833 ,49.833 ,0 ,0 ,0 ,42.798 ,7.924 ,34.873 ,0 ,2.633.025 ,18.386 ,0 ,18.386 ,453.856 ,0 ,0 ,8.968 ,0 ,3.693 ,441.195 ,358.755 ,358.755 ,1.802.028 ,70.890 ,98.489 ,7.532 ,1.625.117 ,0 ,2.046.874 ,2.046.874 ,107.507 ,0 ,115.482 ,0 ,554.039 ,900.509 ,25.872 ,0 ,343.465 ,1.060.470 ,1.060.470 ,249.791 ,0 ,22.834 ,496.632 ,0 ,0 ,0 ,291.212 ,0 ,-1.446.653 
130.,RAZKRIŽJE,599.833 ,142.725 ,49.420 ,7.061 ,80.208 ,8.399 ,0 ,23.231 ,3.963 ,3.170 ,18.522 ,0 ,0 ,0 ,22.923 ,2.399 ,0 ,2.399 ,0 ,0 ,3.637 ,3.036 ,601 ,0 ,283.158 ,24.041 ,4.074 ,19.967 ,40.284 ,0 ,0 ,0 ,0 ,0 ,40.284 ,21.457 ,21.457 ,197.376 ,0 ,14.729 ,403 ,182.244 ,0 ,148.363 ,148.363 ,0 ,0 ,28.825 ,5.852 ,102.355 ,0 ,7.783 ,0 ,3.548 ,25.587 ,25.587 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.587 ,0 ,-41.739 
131.,RIBNICA,5.039.664 ,1.400.388 ,339.868 ,46.211 ,942.952 ,126.494 ,13.420 ,128.847 ,151.369 ,9.122 ,453.630 ,4.903 ,0 ,16.859 ,38.307 ,44.817 ,44.817 ,0 ,0 ,0 ,26.540 ,26.540 ,0 ,0 ,1.727.854 ,75.780 ,0 ,75.780 ,173.886 ,0 ,0 ,0 ,0 ,6.551 ,167.334 ,0 ,0 ,1.478.188 ,44.967 ,32.136 ,8.534 ,1.392.551 ,0 ,1.725.255 ,1.725.255 ,0 ,0 ,93.444 ,31.885 ,1.516.028 ,2.754 ,1.452 ,0 ,79.690 ,186.167 ,186.167 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,186.167 ,0 ,-101.857 
132.,RIBNICA NA POHORJU,788.921 ,232.303 ,34.389 ,4.891 ,180.412 ,16.934 ,3.756 ,10.979 ,484 ,2.324 ,114.326 ,117 ,0 ,1.252 ,30.241 ,0 ,0 ,0 ,0 ,0 ,12.611 ,3.409 ,9.201 ,0 ,249.779 ,11.826 ,1.385 ,10.441 ,51.181 ,0 ,0 ,1.335 ,0 ,0 ,49.846 ,36.142 ,36.142 ,150.630 ,897 ,9.310 ,115.507 ,24.917 ,0 ,306.839 ,306.839 ,0 ,0 ,1.832 ,12.882 ,121.086 ,156.364 ,0 ,0 ,14.676 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-19.684 
133.,ROGAŠKA SLATINA,4.964.885 ,641.825 ,324.896 ,44.204 ,206.201 ,63.524 ,20.168 ,28.480 ,6.781 ,7.198 ,12.744 ,0 ,0 ,16.829 ,50.476 ,23.610 ,0 ,23.610 ,0 ,0 ,42.914 ,16.446 ,26.469 ,0 ,2.967.480 ,45.084 ,0 ,45.084 ,392.839 ,27.324 ,0 ,118.311 ,0 ,0 ,247.204 ,222.062 ,222.062 ,2.307.495 ,264.226 ,116.379 ,0 ,1.926.890 ,0 ,1.355.579 ,1.355.579 ,91.846 ,0 ,8.242 ,7.177 ,1.172.738 ,75.576 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,279.628 
134.,ROGAŠOVCI,1.326.924 ,322.584 ,47.154 ,6.597 ,260.270 ,22.129 ,2.700 ,50.997 ,1.231 ,5.721 ,126.694 ,1.744 ,0 ,1.757 ,47.296 ,7.728 ,463 ,0 ,7.265 ,0 ,835 ,0 ,835 ,0 ,554.836 ,0 ,0 ,0 ,263.099 ,0 ,0 ,0 ,0 ,0 ,263.099 ,44.667 ,44.667 ,247.071 ,12.519 ,29.064 ,2.041 ,203.447 ,0 ,425.146 ,425.146 ,0 ,0 ,1.198 ,4.298 ,408.183 ,0 ,1.494 ,0 ,9.973 ,24.357 ,24.357 ,17.443 ,0 ,6.497 ,0 ,0 ,0 ,0 ,417 ,0 ,47.046 
135.,ROGATEC,2.022.863 ,394.972 ,117.071 ,14.839 ,241.487 ,63.057 ,10.391 ,51.769 ,7.353 ,4.219 ,58.129 ,3.906 ,2.504 ,4.231 ,35.929 ,11.142 ,689 ,0 ,10.453 ,0 ,10.432 ,2.086 ,0 ,8.346 ,681.097 ,13.954 ,0 ,13.954 ,111.705 ,0 ,0 ,0 ,0 ,0 ,111.705 ,75.830 ,75.830 ,479.607 ,0 ,30.371 ,36.897 ,412.339 ,0 ,722.509 ,722.509 ,20.865 ,0 ,20.426 ,0 ,577.625 ,30.287 ,13.333 ,0 ,59.973 ,224.286 ,224.286 ,19.796 ,0 ,39.472 ,51.794 ,0 ,0 ,0 ,113.224 ,0 ,-6.297 
136.,RUŠE,4.623.268 ,1.805.512 ,817.989 ,108.404 ,849.783 ,177.308 ,8.976 ,229.582 ,24.716 ,7.774 ,263.737 ,0 ,0 ,15.169 ,122.521 ,6.218 ,0 ,0 ,6.218 ,0 ,23.118 ,0 ,23.118 ,0 ,1.677.858 ,9.201 ,0 ,9.201 ,366.733 ,0 ,3.839 ,0 ,0 ,0 ,362.894 ,171.683 ,171.683 ,1.130.241 ,68.928 ,74.328 ,329.373 ,657.611 ,0 ,872.041 ,872.041 ,95.790 ,4.619 ,37.131 ,0 ,564.501 ,42.151 ,91.675 ,0 ,36.175 ,267.856 ,267.856 ,0 ,0 ,53.171 ,16.483 ,0 ,0 ,0 ,198.201 ,0 ,129 
137.,SELNICA OB DRAVI,2.156.601 ,826.003 ,229.235 ,31.902 ,543.941 ,77.068 ,2.143 ,60.489 ,3.753 ,4.196 ,285.745 ,9.467 ,0 ,9.614 ,91.466 ,20.925 ,20.925 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,892.201 ,55.135 ,0 ,55.135 ,279.462 ,0 ,0 ,0 ,0 ,0 ,279.462 ,75.144 ,75.144 ,482.460 ,0 ,50.187 ,611 ,431.663 ,0 ,201.133 ,201.133 ,42.163 ,0 ,4.722 ,0 ,0 ,129.172 ,0 ,0 ,25.076 ,237.264 ,237.264 ,0 ,0 ,8.346 ,80.699 ,0 ,0 ,0 ,148.220 ,0 ,33.831 
138.,SEMIČ,2.274.270 ,496.708 ,135.691 ,18.716 ,329.131 ,42.931 ,0 ,34.485 ,5.003 ,5.166 ,144.771 ,15.765 ,0 ,6.673 ,74.337 ,6.906 ,4.828 ,0 ,2.078 ,0 ,6.264 ,0 ,6.264 ,0 ,751.506 ,46.925 ,2.562 ,44.362 ,447.964 ,417 ,0 ,872 ,0 ,6.076 ,440.598 ,125.451 ,125.451 ,131.168 ,605 ,21.173 ,1.043 ,108.346 ,0 ,823.736 ,823.736 ,0 ,0 ,13.896 ,1.235 ,772.626 ,4.144 ,17 ,0 ,31.819 ,202.320 ,202.320 ,51.127 ,0 ,0 ,54.799 ,0 ,0 ,0 ,96.395 ,0 ,35.282 
