,,VIII.  50,500,5001,5002,5003,5004,IX.  55,550,5501,5502,5503,5504,X.,XI.,ST.,FI.
152.,ŠENČUR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,493.227 ,552.971 ,0 
153.,ŠENTILJ,0 ,0 ,0 ,0 ,0 ,0 ,35.048 ,35.048 ,35.048 ,0 ,0 ,0 ,-35.048 ,219.396 ,0 ,0 
154.,ŠENTJERNEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43.240 ,159.573 ,-39.376 
155.,ŠENTJUR,0 ,0 ,0 ,0 ,0 ,0 ,177.938 ,177.938 ,0 ,177.938 ,0 ,0 ,-177.938 ,0 ,0 ,0 
156.,ŠKOCJAN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54.945 ,227.278 ,0 
157.,ŠKOFJA LOKA,0 ,0 ,0 ,0 ,0 ,0 ,46.874 ,46.874 ,0 ,0 ,46.874 ,0 ,-46.874 ,185.608 ,4.273 ,0 
158.,ŠKOFLJICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17.468 ,317.843 ,0 
159.,ŠMARJE PRI JELŠAH,0 ,0 ,0 ,0 ,0 ,0 ,32.515 ,32.515 ,32.515 ,0 ,0 ,0 ,-32.515 ,95.026 ,21.745 ,0 
160.,ŠMARTNO OB PAKI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32.582 ,392 ,0 
161.,ŠOŠTANJ,20.865 ,20.865 ,0 ,20.865 ,0 ,0 ,20.865 ,20.865 ,0 ,20.865 ,0 ,0 ,0 ,-87.256 ,0 ,0 
162.,ŠTORE,232.094 ,232.094 ,166.500 ,0 ,65.594 ,0 ,269.421 ,269.421 ,210.086 ,0 ,59.335 ,0 ,-37.327 ,-1.106 ,5.295 ,0 
163.,TABOR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.561 ,0 ,0 
164.,TIŠINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-34.030 ,34.306 ,0 
165.,TOLMIN,0 ,0 ,0 ,0 ,0 ,0 ,106.881 ,106.881 ,91.637 ,0 ,15.244 ,0 ,-106.881 ,5.291 ,16.354 ,0 
166.,TRBOVLJE,72.342 ,72.342 ,0 ,0 ,72.342 ,0 ,2.796 ,2.796 ,0 ,0 ,2.796 ,0 ,69.546 ,-75.739 ,171.157 ,0 
167.,TREBNJE,0 ,0 ,0 ,0 ,0 ,0 ,5.103 ,5.103 ,0 ,0 ,5.103 ,0 ,-5.103 ,700.618 ,26.915 ,0 
168.,TRNOVSKA VAS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-13.575 ,67.330 ,0 
169.,TRZIN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,496.025 ,0 ,0 
170.,TRŽIČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,167.330 ,105.850 ,0 
171.,TURNIŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-174.090 ,0 ,0 
172.,VELENJE (M),187.782 ,187.782 ,0 ,0 ,187.782 ,0 ,71.073 ,71.073 ,0 ,0 ,71.073 ,0 ,116.708 ,369.104 ,0 ,0 
173.,VELIKA POLANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32.361 ,0 ,0 
174.,VELIKE LAŠČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,63 ,22.759 ,0 
175.,VERŽEJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-25.801 ,43.987 ,0 
176.,VIDEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-80.408 ,84.389 ,0 
177.,VIPAVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,193.574 ,739.530 ,0 
178.,VITANJE,61.321 ,61.321 ,61.321 ,0 ,0 ,0 ,12.619 ,12.619 ,12.619 ,0 ,0 ,0 ,48.702 ,-1.836 ,28.163 ,0 
179.,VODICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-277.775 ,219.496 ,0 
180.,VOJNIK,328.326 ,328.326 ,283.759 ,0 ,44.567 ,0 ,330.166 ,330.166 ,283.759 ,1.840 ,44.567 ,0 ,-1.840 ,8.863 ,2.504 ,0 
181.,VRANSKO,369.304 ,369.304 ,369.304 ,0 ,0 ,0 ,148.139 ,148.139 ,148.139 ,0 ,0 ,0 ,221.165 ,-1.719 ,0 ,0 
182.,VRHNIKA,659.322 ,659.322 ,659.322 ,0 ,0 ,0 ,270.873 ,270.873 ,250.376 ,20.497 ,0 ,0 ,388.449 ,54.140 ,19.575 ,0 
183.,VUZENICA,150.225 ,150.225 ,150.225 ,0 ,0 ,0 ,45.902 ,45.902 ,45.902 ,0 ,0 ,0 ,104.323 ,-7.866 ,121.966 ,0 
184.,ZAGORJE OB SAVI,0 ,0 ,0 ,0 ,0 ,0 ,4.206 ,4.206 ,0 ,0 ,4.073 ,134 ,-4.206 ,67.764 ,34.431 ,0 
185.,ZAVRČ,20.865 ,20.865 ,20.865 ,0 ,0 ,0 ,20.865 ,20.865 ,20.865 ,0 ,0 ,0 ,0 ,-63.946 ,83.413 ,0 
186.,ZREČE,0 ,0 ,0 ,0 ,0 ,0 ,80.174 ,80.174 ,52.737 ,0 ,27.437 ,0 ,-80.174 ,38.362 ,6.430 ,0 
187.,ŽALEC,364.714 ,364.714 ,364.714 ,0 ,0 ,0 ,101.114 ,101.114 ,97.367 ,0 ,3.747 ,0 ,263.600 ,256.852 ,289.326 ,0 
188.,ŽELEZNIKI,0 ,0 ,0 ,0 ,0 ,0 ,65.753 ,65.753 ,65.753 ,0 ,0 ,0 ,-65.753 ,421.420 ,257.532 ,0 
189.,ŽETALE,153.146 ,153.146 ,153.146 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,153.146 ,-87.248 ,130.220 ,0 
190.,ŽIRI,0 ,0 ,0 ,0 ,0 ,0 ,16.521 ,16.521 ,0 ,0 ,16.521 ,0 ,-16.521 ,-2.049 ,9.180 ,0 
191.,ŽIROVNICA,0 ,0 ,0 ,0 ,0 ,0 ,3.280 ,3.280 ,0 ,0 ,3.280 ,0 ,-3.280 ,-405 ,170.986 ,19.713 
192.,ŽUŽEMBERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-155.880 ,0 ,0 
,SKUPAJ,7.421.157 ,7.421.157 ,5.335.174 ,358.872 ,1.727.112 ,0 ,8.112.085 ,8.112.085 ,4.165.540 ,339.459 ,2.579.740 ,1.027.345 ,-690.928 ,3.124.132 ,65.400.433 ,216.825 
