32,DOMŽALE,10.913.262 ,2.243.795 ,518.878 ,68.106 ,1.558.650 ,230.492 ,38.428 ,75.321 ,6.163 ,6.026 ,87.081 ,3.405 ,230.174 ,881.560 ,43.912 ,24.620 ,19.291 ,0 ,0 ,54.248 ,3.368.720 ,1.850.563 ,1.663.474 ,187.089 ,174.453 ,0 ,0 ,64.739 ,0 ,51.711 ,58.004 ,474.278 ,474.278 ,869.425 ,159.815 ,0 ,0 ,709.610 ,4.618.090 ,4.618.090 ,0 ,6.001 ,71.741 ,1.811 ,2.960.624 ,1.100.626 ,198.694 ,0 ,278.593 ,682.657 ,682.657 ,195.543 ,0 ,29.194 ,67.184 ,0 ,0 ,0 ,390.736 ,0 ,-532.219 
33,DORNAVA,1.141.387 ,172.313 ,51.156 ,7.173 ,100.563 ,10.261 ,0 ,12.873 ,0 ,1.269 ,46.720 ,0 ,0 ,29.440 ,8.496 ,2.061 ,6.435 ,0 ,0 ,4.924 ,288.495 ,3.747 ,0 ,3.747 ,144.892 ,0 ,0 ,1.018 ,0 ,0 ,143.874 ,64.609 ,64.609 ,75.246 ,44.538 ,0 ,0 ,30.709 ,680.579 ,680.579 ,0 ,0 ,27.320 ,0 ,633.980 ,1.156 ,4.590 ,0 ,13.533 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-146.449 
34,DRAVOGRAD,3.021.370 ,997.805 ,188.933 ,29.340 ,737.752 ,37.177 ,2.270 ,44.204 ,4.953 ,4.427 ,489.968 ,2.053 ,0 ,152.700 ,19.120 ,12.114 ,0 ,7.006 ,0 ,22.659 ,1.118.878 ,22.964 ,0 ,22.964 ,263.608 ,0 ,17.368 ,20.410 ,0 ,0 ,225.830 ,176.110 ,176.110 ,656.197 ,45.769 ,0 ,0 ,610.428 ,479.490 ,479.490 ,0 ,0 ,9.281 ,88 ,317.021 ,29.206 ,46.941 ,0 ,76.953 ,425.196 ,425.196 ,0 ,154 ,20.660 ,34.627 ,0 ,0 ,30.408 ,339.347 ,0 ,381.301 
35,DUPLEK,1.649.266 ,278.217 ,102.571 ,14.814 ,142.042 ,44.037 ,4.532 ,45.973 ,972 ,8.171 ,2.562 ,0 ,0 ,35.795 ,9.164 ,9.164 ,0 ,0 ,0 ,9.627 ,788.015 ,16.771 ,0 ,16.771 ,380.479 ,0 ,0 ,0 ,0 ,0 ,380.479 ,51.148 ,51.148 ,339.618 ,0 ,33.454 ,0 ,306.163 ,530.771 ,530.771 ,0 ,0 ,5.546 ,0 ,485.520 ,31.806 ,109 ,0 ,7.791 ,52.262 ,52.262 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,52.262 ,0 ,392.510 
36,GORENJA VAS - POLJANE,2.840.916 ,274.967 ,73.201 ,10.574 ,156.080 ,41.274 ,14.697 ,18.169 ,0 ,2.783 ,4.707 ,3.067 ,0 ,71.382 ,6.022 ,5.346 ,0 ,676 ,0 ,29.089 ,884.844 ,41.233 ,0 ,41.233 ,451.193 ,0 ,0 ,6.568 ,0 ,0 ,444.625 ,58.400 ,58.400 ,334.018 ,159.535 ,0 ,0 ,174.483 ,1.267.426 ,1.267.426 ,0 ,0 ,238.704 ,0 ,805.863 ,143.494 ,48.185 ,0 ,31.180 ,413.679 ,413.679 ,368.620 ,0 ,4.461 ,0 ,0 ,21.445 ,14.530 ,4.624 ,0 ,-273.322 
37,GORIŠNICA,2.636.250 ,423.577 ,78.017 ,9.639 ,335.921 ,59.669 ,0 ,9.798 ,0 ,8.688 ,1.310 ,0 ,0 ,256.456 ,0 ,0 ,0 ,0 ,0 ,0 ,747.338 ,83.634 ,0 ,83.634 ,317.268 ,0 ,0 ,0 ,0 ,0 ,317.268 ,178.660 ,178.660 ,167.777 ,0 ,52.529 ,0 ,115.248 ,1.381.305 ,1.381.305 ,0 ,0 ,9.552 ,1.719 ,1.149.612 ,151.974 ,45.310 ,0 ,23.139 ,84.030 ,84.030 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,84.030 ,0 ,2.016 
38,GORNJA RADGONA,4.084.289 ,918.165 ,306.030 ,42.626 ,541.921 ,17.760 ,3.505 ,380.846 ,3.710 ,3.247 ,14.288 ,0 ,0 ,118.565 ,0 ,0 ,0 ,0 ,0 ,27.587 ,1.685.007 ,84.890 ,0 ,84.890 ,207.620 ,0 ,0 ,0 ,0 ,1.586 ,206.034 ,326.327 ,326.327 ,1.066.170 ,114.755 ,100.472 ,0 ,850.943 ,1.250.292 ,1.250.292 ,0 ,14.530 ,0 ,0 ,910.896 ,286.334 ,7.077 ,0 ,31.456 ,230.825 ,230.825 ,18.778 ,0 ,0 ,0 ,0 ,22.951 ,0 ,189.096 ,0 ,235.278 
39,GORNJI GRAD,1.012.139 ,365.628 ,71.991 ,10.190 ,274.115 ,36.843 ,7.465 ,35.507 ,2.433 ,3.055 ,152.508 ,2.049 ,0 ,34.256 ,9.331 ,8.605 ,726 ,0 ,0 ,0 ,314.355 ,27.954 ,0 ,27.954 ,185.837 ,0 ,0 ,13.074 ,0 ,0 ,172.763 ,50.993 ,50.993 ,49.570 ,13.245 ,7.791 ,0 ,28.534 ,326.527 ,326.527 ,0 ,0 ,6.297 ,0 ,275.242 ,16.450 ,7.140 ,0 ,21.399 ,5.629 ,5.629 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.629 ,0 ,11.676 
40,GORNJI PETROVCI,1.154.039 ,176.669 ,41.905 ,5.279 ,127.066 ,45.114 ,1.068 ,21.307 ,15.774 ,5.458 ,11.446 ,0 ,526 ,26.373 ,2.420 ,2.420 ,0 ,0 ,0 ,0 ,375.246 ,41.946 ,0 ,41.946 ,144.308 ,63.186 ,0 ,534 ,0 ,0 ,80.588 ,91.788 ,91.788 ,97.204 ,8.605 ,11.880 ,1.807 ,74.912 ,590.569 ,590.569 ,12.965 ,835 ,70.372 ,0 ,190.411 ,302.571 ,7.929 ,0 ,5.487 ,11.555 ,11.555 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.555 ,0 ,-18.962 
41,GRAD,921.027 ,219.191 ,52.783 ,4.724 ,159.160 ,12.957 ,292 ,27.554 ,3.021 ,1.047 ,98.669 ,588 ,0 ,15.031 ,2.525 ,2.525 ,0 ,0 ,0 ,0 ,349.854 ,1.849 ,0 ,1.849 ,145.193 ,0 ,0 ,9.301 ,0 ,0 ,135.891 ,187.231 ,187.231 ,15.582 ,0 ,0 ,3.797 ,11.784 ,296.749 ,296.749 ,0 ,0 ,7.912 ,3.276 ,266.721 ,18.599 ,0 ,0 ,242 ,55.233 ,55.233 ,0 ,0 ,0 ,0 ,0 ,43.691 ,0 ,11.542 ,0 ,149.094 
42,GROSUPLJE,6.787.268 ,819.291 ,346.566 ,41.909 ,410.370 ,80.525 ,75.079 ,44.776 ,18.820 ,426 ,22.392 ,32.290 ,0 ,136.062 ,10.825 ,0 ,0 ,10.825 ,0 ,9.623 ,2.441.312 ,8.346 ,0 ,8.346 ,194.667 ,3.171 ,0 ,0 ,0 ,2.796 ,188.700 ,270.677 ,270.677 ,1.967.622 ,438.817 ,44.421 ,12.406 ,1.471.979 ,3.209.460 ,3.209.460 ,418.949 ,0 ,58.947 ,1.189 ,2.103.568 ,332.040 ,29.127 ,0 ,265.640 ,317.205 ,317.205 ,36.659 ,0 ,107.424 ,0 ,0 ,0 ,25.505 ,147.617 ,0 ,-226.678 
43,HAJDINA,935.946 ,248.999 ,35.378 ,4.907 ,208.713 ,22.438 ,417 ,31.284 ,1.594 ,889 ,65.014 ,2.437 ,184 ,84.456 ,0 ,0 ,0 ,0 ,0 ,0 ,507.278 ,32.783 ,0 ,32.783 ,116.274 ,0 ,0 ,0 ,0 ,0 ,116.274 ,118.720 ,118.720 ,239.501 ,1.043 ,15.131 ,0 ,223.327 ,171.945 ,171.945 ,0 ,0 ,64.534 ,0 ,0 ,77.487 ,11.651 ,0 ,18.273 ,7.724 ,7.724 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.724 ,0 ,43.603 
44,HOČE - SLIVNICA,2.116.809 ,257.766 ,113.875 ,15.494 ,127.692 ,33.655 ,0 ,12.757 ,0 ,4.407 ,6.143 ,0 ,0 ,70.731 ,705 ,705 ,0 ,0 ,0 ,0 ,1.233.066 ,52.833 ,12.519 ,40.315 ,116.295 ,0 ,0 ,0 ,0 ,0 ,116.295 ,150.835 ,150.835 ,913.103 ,5.905 ,34.961 ,0 ,872.238 ,409.619 ,409.619 ,0 ,0 ,0 ,38.337 ,95.698 ,222.041 ,0 ,0 ,53.543 ,216.358 ,216.358 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,216.358 ,0 ,546.415 
45,HODOŠ,171.257 ,44.992 ,6.218 ,801 ,37.974 ,14.814 ,8 ,2.107 ,71 ,2.746 ,9.005 ,0 ,0 ,9.222 ,0 ,0 ,0 ,0 ,0 ,0 ,68.674 ,1.915 ,0 ,1.915 ,23.097 ,5.112 ,0 ,1.077 ,0 ,0 ,16.909 ,13.207 ,13.207 ,30.454 ,16.324 ,0 ,0 ,14.130 ,56.965 ,56.965 ,0 ,15.544 ,6.009 ,0 ,668 ,15.932 ,0 ,0 ,18.812 ,626 ,626 ,0 ,0 ,0 ,0 ,0 ,0 ,626 ,0 ,0 ,33.383 
46,HORJUL,725.939 ,205.604 ,25.855 ,2.871 ,172.550 ,31.314 ,0 ,26.782 ,1.294 ,1.260 ,85.941 ,0 ,83 ,25.876 ,0 ,0 ,0 ,0 ,0 ,4.327 ,323.911 ,8.709 ,0 ,8.709 ,219.967 ,0 ,5.842 ,0 ,0 ,0 ,214.125 ,37.218 ,37.218 ,58.016 ,0 ,4.140 ,0 ,53.877 ,185.825 ,185.825 ,0 ,0 ,7.394 ,822 ,52.470 ,62.485 ,59.894 ,0 ,2.758 ,10.599 ,10.599 ,0 ,0 ,10.599 ,0 ,0 ,0 ,0 ,0 ,0 ,56.531 
47,HRASTNIK,4.654.690 ,1.080.563 ,292.297 ,41.917 ,718.165 ,200.759 ,2.771 ,74.311 ,3.322 ,6.593 ,336.534 ,2.191 ,1.611 ,90.073 ,5.905 ,0 ,0 ,5.905 ,0 ,22.279 ,1.521.140 ,43.778 ,13.082 ,30.696 ,630.558 ,0 ,0 ,2.758 ,0 ,13.554 ,614.246 ,158.358 ,158.358 ,688.445 ,0 ,0 ,170.001 ,518.444 ,1.870.247 ,1.870.247 ,25.572 ,0 ,135.061 ,6.572 ,1.315.444 ,236.980 ,36.442 ,0 ,114.175 ,182.741 ,182.741 ,0 ,43.499 ,0 ,10.432 ,0 ,5.567 ,154 ,123.089 ,0 ,-197.400 
48,HRPELJE - KOZINA,1.673.444 ,295.956 ,85.474 ,12.010 ,171.161 ,29.290 ,3.810 ,12.147 ,0 ,3.927 ,22.279 ,117 ,0 ,99.591 ,2.249 ,2.195 ,0 ,54 ,0 ,25.063 ,786.092 ,40.098 ,13.454 ,26.644 ,224.437 ,1.156 ,0 ,30.078 ,0 ,0 ,193.202 ,94.496 ,94.496 ,427.061 ,41.212 ,0 ,2.491 ,383.358 ,591.395 ,591.395 ,0 ,12.331 ,44.333 ,0 ,493.348 ,14.359 ,2.712 ,0 ,24.311 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.286 
49,IDRIJA,4.281.844 ,792.551 ,233.196 ,33.567 ,488.696 ,46.236 ,138 ,13.658 ,3.196 ,3.822 ,99.583 ,249.078 ,0 ,72.984 ,6.915 ,6.915 ,0 ,0 ,0 ,30.179 ,2.961.668 ,3.860 ,0 ,3.860 ,11.246 ,1.511 ,0 ,0 ,0 ,4.365 ,5.371 ,8.834 ,8.834 ,2.937.727 ,482.248 ,0 ,0 ,2.455.479 ,180.946 ,180.946 ,59.602 ,0 ,8.350 ,0 ,0 ,112.994 ,0 ,0 ,0 ,346.678 ,346.678 ,207.340 ,0 ,0 ,0 ,0 ,0 ,0 ,139.338 ,0 ,47.187 
50,IG,1.436.192 ,456.614 ,74.750 ,10.015 ,365.240 ,57.282 ,12.231 ,81.965 ,926 ,3.359 ,136.985 ,1.093 ,0 ,71.399 ,0 ,0 ,0 ,0 ,0 ,6.610 ,648.869 ,0 ,0 ,0 ,421.090 ,0 ,0 ,50.334 ,0 ,0 ,370.756 ,83.404 ,83.404 ,144.375 ,0 ,13.762 ,0 ,130.613 ,248.126 ,248.126 ,0 ,0 ,25.522 ,0 ,212.677 ,7.207 ,2.721 ,0 ,0 ,82.582 ,82.582 ,0 ,0 ,52.646 ,0 ,0 ,0 ,0 ,29.937 ,0 ,17.864 
51,ILIRSKA BISTRICA,4.325.605 ,1.326.732 ,204.290 ,28.893 ,1.076.373 ,88.524 ,0 ,187.765 ,5.112 ,2.132 ,456.493 ,1.924 ,0 ,334.422 ,17.176 ,10.303 ,0 ,6.873 ,0 ,0 ,1.924.132 ,97.713 ,50.242 ,47.471 ,482.286 ,0 ,0 ,0 ,0 ,2.533 ,479.753 ,76.607 ,76.607 ,1.267.526 ,101.719 ,0 ,24.449 ,1.141.358 ,996.077 ,996.077 ,0 ,0 ,47.254 ,0 ,707.198 ,143.741 ,0 ,0 ,97.884 ,78.664 ,78.664 ,78.664 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.228.852 
52,IVANČNA GORICA,4.105.333 ,763.299 ,154.887 ,21.824 ,547.964 ,49.612 ,3.927 ,10.870 ,3.672 ,918 ,237.264 ,9.155 ,0 ,232.545 ,14.977 ,14.155 ,0 ,822 ,0 ,23.648 ,1.511.613 ,61.405 ,0 ,61.405 ,628.493 ,0 ,0 ,3.213 ,0 ,0 ,625.280 ,205.095 ,205.095 ,616.621 ,122.025 ,37.732 ,0 ,456.864 ,1.721.153 ,1.721.153 ,33.383 ,15.882 ,36.158 ,15.991 ,1.318.561 ,100.455 ,124.887 ,0 ,75.835 ,109.268 ,109.268 ,2.504 ,0 ,63.750 ,0 ,0 ,0 ,0 ,43.015 ,0 ,570.088 
53,IZOLA,6.902.966 ,1.871.589 ,697.978 ,94.087 ,1.021.108 ,150.609 ,16.257 ,138.783 ,25.107 ,22.442 ,158.147 ,13.692 ,35.614 ,460.456 ,16.412 ,0 ,0 ,16.412 ,0 ,42.005 ,2.405.205 ,55.998 ,0 ,55.998 ,153.558 ,0 ,0 ,0 ,0 ,0 ,153.558 ,199.884 ,199.884 ,1.995.766 ,7.816 ,76.368 ,36.943 ,1.874.639 ,1.985.523 ,1.985.523 ,149.835 ,4.159 ,43.804 ,2.419 ,1.314.462 ,194.340 ,139.573 ,0 ,136.931 ,640.649 ,640.649 ,0 ,0 ,10.850 ,210.449 ,0 ,1.719 ,15.449 ,402.184 ,0 ,1.255.218 
54,JESENICE,7.196.466 ,992.280 ,475.901 ,65.632 ,391.662 ,169.112 ,134 ,54.469 ,7.645 ,8.650 ,38.846 ,2.754 ,0 ,110.053 ,14.822 ,0 ,0 ,14.822 ,0 ,44.262 ,4.231.785 ,112.356 ,0 ,112.356 ,429.953 ,0 ,0 ,148.727 ,0 ,2.591 ,278.635 ,63.558 ,63.558 ,3.625.918 ,32.674 ,0 ,0 ,3.593.244 ,212.677 ,212.677 ,0 ,5.291 ,17.668 ,13.474 ,10.620 ,31.163 ,129.094 ,0 ,5.366 ,1.759.723 ,1.759.723 ,9.055 ,0 ,0 ,0 ,0 ,0 ,0 ,1.750.668 ,0 ,-367.939 
55,JEZERSKO,291.016 ,72.217 ,6.606 ,997 ,47.914 ,16.229 ,3.046 ,3.560 ,772 ,1.264 ,797 ,13 ,0 ,22.233 ,0 ,0 ,0 ,0 ,0 ,16.700 ,124.499 ,1.924 ,0 ,1.924 ,31.877 ,0 ,0 ,0 ,0 ,0 ,31.877 ,12.101 ,12.101 ,78.597 ,0 ,584 ,0 ,78.013 ,94.300 ,94.300 ,0 ,0 ,5.788 ,309 ,87.719 ,484 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.966 
56,JURŠINCI,813.821 ,231.735 ,39.104 ,5.300 ,184.009 ,19.045 ,718 ,9.752 ,321 ,3.138 ,100.697 ,0 ,0 ,50.338 ,0 ,0 ,0 ,0 ,0 ,3.322 ,251.849 ,25.497 ,0 ,25.497 ,150.129 ,0 ,0 ,3.422 ,0 ,0 ,146.708 ,31.030 ,31.030 ,45.193 ,0 ,26.114 ,0 ,19.079 ,328.142 ,328.142 ,897 ,0 ,2.683 ,1.214 ,292.005 ,0 ,2.024 ,0 ,29.319 ,2.095 ,2.095 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.095 ,0 ,4.448 
57,KAMNIK,8.856.514 ,1.067.501 ,475.088 ,68.607 ,444.905 ,129.273 ,17.184 ,55.946 ,5.437 ,4.703 ,26.557 ,10.875 ,0 ,194.930 ,8.826 ,8.826 ,0 ,0 ,0 ,70.076 ,4.835.211 ,283.417 ,0 ,283.417 ,509.585 ,0 ,0 ,0 ,0 ,0 ,509.585 ,353.751 ,353.751 ,3.688.458 ,31.794 ,110.482 ,86.350 ,3.459.831 ,194.150 ,194.150 ,0 ,0 ,50.472 ,0 ,34.335 ,61.592 ,0 ,0 ,47.751 ,2.759.652 ,2.759.652 ,0 ,0 ,9.180 ,150.200 ,0 ,0 ,0 ,2.600.271 ,0 ,-297.542 
58,KANAL,2.422.957 ,656.969 ,162.252 ,22.367 ,412.206 ,26.202 ,1.886 ,87.339 ,8.492 ,6.143 ,192.622 ,726 ,968 ,87.828 ,46.002 ,0 ,0 ,46.002 ,0 ,14.142 ,773.894 ,17.142 ,0 ,17.142 ,216.946 ,0 ,0 ,0 ,0 ,0 ,216.946 ,151.381 ,151.381 ,388.424 ,24.595 ,29.252 ,10.850 ,323.727 ,824.633 ,824.633 ,0 ,0 ,15.043 ,0 ,683.830 ,87.752 ,2.413 ,0 ,35.595 ,167.461 ,167.461 ,4.016 ,0 ,41.095 ,0 ,0 ,0 ,0 ,122.350 ,0 ,371.802 
59,KIDRIČEVO,2.204.778 ,468.423 ,115.386 ,16.416 ,325.772 ,28.643 ,14.455 ,139.726 ,2.416 ,2.374 ,6.234 ,0 ,384 ,131.539 ,0 ,0 ,0 ,0 ,0 ,10.850 ,759.143 ,47.601 ,0 ,47.601 ,108.993 ,0 ,0 ,0 ,0 ,0 ,108.993 ,126.340 ,126.340 ,476.210 ,0 ,37.456 ,0 ,438.754 ,832.048 ,832.048 ,18.745 ,0 ,3.088 ,7.253 ,664.914 ,71.324 ,29.202 ,0 ,37.523 ,145.164 ,145.164 ,0 ,0 ,20.764 ,26.582 ,0 ,0 ,0 ,97.818 ,0 ,-207.336 
60,KOBARID,2.184.748 ,789.693 ,254.332 ,40.440 ,478.839 ,31.673 ,0 ,117.864 ,1.123 ,3.388 ,81.835 ,16.600 ,0 ,226.356 ,6.042 ,6.042 ,0 ,0 ,0 ,10.040 ,651.565 ,27.925 ,17.318 ,10.608 ,137.890 ,0 ,1.461 ,14.772 ,0 ,4.340 ,117.318 ,106.105 ,106.105 ,379.644 ,60.182 ,15.657 ,0 ,303.806 ,183.062 ,183.062 ,0 ,0 ,7.407 ,722 ,0 ,149.370 ,11.350 ,0 ,14.213 ,560.428 ,560.428 ,0 ,0 ,0 ,348.239 ,0 ,0 ,0 ,212.189 ,0 ,-63.199 
61,KOBILJE,405.099 ,95.606 ,28.017 ,3.422 ,52.479 ,9.385 ,3.205 ,9.251 ,0 ,2.287 ,23.281 ,0 ,0 ,5.070 ,9.802 ,9.802 ,0 ,0 ,0 ,1.886 ,102.420 ,0 ,0 ,0 ,15.536 ,0 ,0 ,0 ,0 ,0 ,15.536 ,15.277 ,15.277 ,71.607 ,0 ,1.552 ,14.305 ,55.750 ,207.073 ,207.073 ,10.432 ,0 ,1.093 ,0 ,155.066 ,37.081 ,3.401 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-27.591 
62,KOČEVJE,6.214.772 ,1.411.021 ,333.776 ,46.265 ,986.572 ,75.864 ,61.805 ,106.768 ,5.120 ,3.764 ,593.544 ,0 ,5.896 ,133.809 ,200 ,200 ,0 ,0 ,0 ,44.208 ,2.070.322 ,7.929 ,0 ,7.929 ,401.227 ,0 ,4.173 ,1.185 ,250 ,19.663 ,375.956 ,199.595 ,199.595 ,1.461.572 ,55.658 ,94.738 ,43.649 ,1.267.526 ,2.429.599 ,2.429.599 ,18.949 ,0 ,39.476 ,2.086 ,1.921.345 ,271.382 ,25.225 ,0 ,151.135 ,303.831 ,303.831 ,32.123 ,121.015 ,41.637 ,18.332 ,0 ,0 ,0 ,90.724 ,0 ,-91.153 
63,KOMEN,1.312.535 ,333.813 ,57.390 ,8.171 ,225.668 ,24.925 ,0 ,59.869 ,0 ,2.383 ,77.354 ,0 ,0 ,61.138 ,35.699 ,0 ,0 ,35.699 ,0 ,6.885 ,568.607 ,9.690 ,5.859 ,3.831 ,252.091 ,0 ,0 ,1.519 ,0 ,0 ,250.572 ,65.849 ,65.849 ,240.978 ,101.360 ,8.696 ,0 ,130.921 ,405.942 ,405.942 ,0 ,0 ,5.158 ,0 ,274.483 ,24.291 ,0 ,0 ,102.011 ,4.173 ,4.173 ,0 ,0 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,36.405 
64,KOMENDA,1.396.549 ,236.968 ,92.664 ,24.320 ,102.742 ,22.947 ,334 ,12.152 ,1.302 ,960 ,10.082 ,396 ,0 ,54.569 ,0 ,0 ,0 ,0 ,0 ,17.243 ,558.963 ,36.705 ,0 ,36.705 ,75.338 ,0 ,0 ,0 ,0 ,0 ,75.338 ,61.037 ,61.037 ,385.883 ,0 ,15.373 ,1.273 ,369.237 ,58.262 ,58.262 ,0 ,0 ,26.148 ,71 ,23.118 ,0 ,8.926 ,0 ,0 ,542.355 ,542.355 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,542.355 ,0 ,-67.593 
65,KOPER (M),22.349.132 ,2.771.257 ,1.206.030 ,169.158 ,1.148.535 ,366.863 ,24.570 ,94.187 ,37.235 ,15.177 ,116.567 ,743 ,34.685 ,458.509 ,110.432 ,29.373 ,0 ,81.059 ,0 ,137.101 ,10.064.835 ,1.891.483 ,1.824.508 ,66.975 ,1.193.006 ,0 ,0 ,0 ,0 ,0 ,1.193.006 ,1.535.499 ,1.535.499 ,5.444.846 ,451.895 ,166.917 ,0 ,4.826.035 ,8.693.666 ,8.693.666 ,83.062 ,6.092 ,544.162 ,14.034 ,6.756.080 ,348.201 ,448.322 ,0 ,493.711 ,819.375 ,819.375 ,31.768 ,58.421 ,269.513 ,0 ,0 ,76.114 ,0 ,383.559 ,0 ,500.976 
66,KOSTEL,376.202 ,112.723 ,52.116 ,1.840 ,58.630 ,24.174 ,835 ,11.334 ,0 ,1.511 ,9.481 ,1.160 ,0 ,10.136 ,138 ,0 ,0 ,138 ,0 ,0 ,88.007 ,0 ,0 ,0 ,61.087 ,0 ,0 ,200 ,0 ,0 ,60.887 ,7.257 ,7.257 ,19.663 ,0 ,0 ,0 ,19.663 ,175.472 ,175.472 ,0 ,0 ,9.001 ,1.415 ,165.056 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17.848 
67,KOZJE,1.482.019 ,109.923 ,62.197 ,5.279 ,42.447 ,2.404 ,14.843 ,7.399 ,0 ,2.120 ,4.348 ,0 ,0 ,11.334 ,0 ,0 ,0 ,0 ,0 ,0 ,607.591 ,25.764 ,19.008 ,6.756 ,113.954 ,28.889 ,0 ,82.102 ,0 ,0 ,2.963 ,65.573 ,65.573 ,402.299 ,52.370 ,0 ,0 ,349.929 ,575.622 ,575.622 ,0 ,0 ,4.469 ,0 ,307.607 ,255.471 ,0 ,0 ,8.075 ,188.883 ,188.883 ,0 ,0 ,0 ,0 ,0 ,0 ,78.731 ,110.153 ,0 ,53.564 
68,KRANJ (M),16.147.050 ,4.351.886 ,951.185 ,134.364 ,3.098.635 ,495.860 ,67.001 ,426.552 ,15.427 ,31.714 ,1.497.308 ,54.202 ,14.213 ,496.357 ,0 ,0 ,0 ,0 ,0 ,167.702 ,8.431.848 ,254.265 ,0 ,254.265 ,2.863.650 ,0 ,0 ,0 ,0 ,10.820 ,2.852.829 ,1.671.190 ,1.671.190 ,3.642.743 ,255.350 ,119.550 ,168.019 ,3.099.825 ,2.584.602 ,2.584.602 ,133.375 ,30.771 ,64.317 ,0 ,186.096 ,1.823.635 ,278.743 ,0 ,67.664 ,778.714 ,778.714 ,233.813 ,0 ,8.317 ,0 ,0 ,0 ,0 ,536.584 ,0 ,22.425 
69,KRANJSKA GORA,3.204.248 ,1.148.097 ,240.515 ,34.927 ,834.439 ,66.166 ,139.004 ,33.771 ,4.494 ,19.671 ,417.998 ,28.130 ,5.204 ,120.001 ,3.847 ,0 ,0 ,3.847 ,0 ,34.368 ,976.957 ,44.659 ,0 ,44.659 ,558.538 ,0 ,176.878 ,2.758 ,0 ,0 ,378.902 ,154.540 ,154.540 ,219.221 ,12.072 ,0 ,0 ,207.148 ,821.632 ,821.632 ,40.310 ,0 ,26.114 ,0 ,572.275 ,10.474 ,113.107 ,0 ,59.352 ,257.561 ,257.561 ,0 ,7.728 ,114.271 ,49.616 ,0 ,0 ,0 ,85.946 ,0 ,150.313 
70,KRIŽEVCI,773.719 ,130.212 ,49.236 ,6.622 ,62.410 ,11.150 ,1.548 ,13.900 ,630 ,797 ,11.576 ,885 ,0 ,21.925 ,3.973 ,3.973 ,0 ,0 ,0 ,7.970 ,471.941 ,36.968 ,3.605 ,33.363 ,103.126 ,0 ,0 ,0 ,0 ,1.385 ,101.740 ,23.711 ,23.711 ,308.137 ,0 ,15.523 ,0 ,292.614 ,132.357 ,132.357 ,0 ,0 ,7.933 ,355 ,108.121 ,0 ,12.064 ,0 ,3.885 ,39.209 ,39.209 ,8.346 ,0 ,12.185 ,4.173 ,0 ,0 ,893 ,13.612 ,0 ,627.253 
71,KRŠKO,11.299.182 ,3.002.454 ,653.831 ,92.343 ,2.165.068 ,168.194 ,34.614 ,222.125 ,32.549 ,6.405 ,791.529 ,27.466 ,318.791 ,563.395 ,41.496 ,41.496 ,0 ,0 ,0 ,49.716 ,4.786.213 ,594.575 ,81.405 ,513.170 ,2.115.006 ,355 ,0 ,4.757 ,0 ,34.410 ,2.075.484 ,599.829 ,599.829 ,1.476.803 ,261.204 ,123.243 ,53.472 ,1.038.883 ,2.848.848 ,2.848.848 ,15.932 ,21.637 ,21.023 ,0 ,2.286.421 ,189.960 ,76.915 ,0 ,236.960 ,661.668 ,661.668 ,126.753 ,0 ,0 ,47.513 ,0 ,16.145 ,0 ,471.257 ,0 ,-903.476 
72,KUNGOTA,1.646.979 ,182.470 ,65.736 ,11.559 ,89.651 ,33.897 ,0 ,8.000 ,0 ,2.800 ,622 ,0 ,0 ,44.333 ,1.064 ,0 ,0 ,1.064 ,0 ,14.459 ,683.751 ,2.011 ,2.011 ,0 ,208.367 ,44.559 ,1.143 ,0 ,0 ,0 ,162.665 ,26.427 ,26.427 ,446.945 ,124.470 ,52.107 ,52.838 ,217.530 ,291.103 ,291.103 ,42 ,15.081 ,13.716 ,8.388 ,0 ,245.656 ,0 ,0 ,8.221 ,489.655 ,489.655 ,489.655 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,44.884 
