,,,,,,,,,,,- V EUR,,,,,- V EUR
,,,50,500,5001,5002,5003,55,550,5501,5502,5503,IX.,X.,XI.,XII.
,,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA
,,,,,,,,,,,,,,,,
,,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),
,,,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,
45.,32 ,OBČINA GROSUPLJE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","629.766,83 ","629.766,83 ","616.378,71 ","0,00 ","13.388,12 ","284.165,38 ","-629.766,83 ","-883.550,70 ","1.463.558,84 "
46.,159 ,OBČINA HAJDINA,"200.000,00 ","200.000,00 ","200.000,00 ","0,00 ","0,00 ","173.807,85 ","173.807,85 ","173.807,85 ","0,00 ","0,00 ","18.612,79 ","26.192,15 ","7.579,36 ","16.571,00 "
47.,160 ,OBČINA HOČE-SLIVNICA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","285.714,24 ","285.714,24 ","285.714,24 ","0,00 ","0,00 ","-1.322.149,41 ","-285.714,24 ","1.036.435,17 ","1.257.092,00 "
48.,161 ,OBČINA HODOŠ,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.620,01 ","19.620,01 ","19.620,01 ","0,00 ","0,00 ","-16.497,90 ","-19.620,01 ","-3.122,11 ","20.537,82 "
49.,162 ,OBČINA HORJUL,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","309.922,99 ","0,00 ","-309.922,99 ","2.173.624,04 "
50.,34 ,OBČINA HRASTNIK,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","119.242,36 ","119.242,36 ","56.140,32 ","0,00 ","63.102,04 ","29.326,10 ","-119.242,36 ","-143.196,13 ","1.765.942,98 "
51.,35 ,OBČINA HRPELJE-KOZINA,"391.957,04 ","391.957,04 ","0,00 ","391.957,04 ","0,00 ","212.522,00 ","212.522,00 ","150.000,00 ","62.522,00 ","0,00 ","45.084,56 ","179.435,04 ","134.350,48 ","32.103,00 "
52.,36 ,OBČINA IDRIJA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","384.158,75 ","384.158,75 ","384.158,75 ","0,00 ","0,00 ","-50.250,86 ","-384.158,75 ","-318.373,49 ","-17.623,00 "
53.,37 ,OBČINA IG,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","225.714,44 ","225.714,44 ","225.714,44 ","0,00 ","0,00 ","-344.263,77 ","-225.714,44 ","118.549,33 ","2.856.616,53 "
54.,38 ,OBČINA ILIRSKA BISTRICA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","328.170,61 ","328.170,61 ","313.951,24 ","0,00 ","14.219,37 ","-434.199,40 ","-328.170,61 ","74.405,09 ","496.296,68 "
55.,39 ,OBČINA IVANČNA GORICA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.778,90 ","6.778,90 ","0,00 ","0,00 ","6.778,90 ","1.354.809,73 ","-6.778,90 ","-1.359.539,17 ","4.064.705,23 "
56.,40 ,OBČINA IZOLA,"1.500.000,00 ","1.500.000,00 ","1.500.000,00 ","0,00 ","0,00 ","513.089,72 ","513.089,72 ","448.767,45 ","0,00 ","64.322,27 ","-250.755,72 ","986.910,28 ","1.284.399,41 ","498.050,24 "
57.,41 ,OBČINA JESENICE,"2.600.000,00 ","2.600.000,00 ","2.600.000,00 ","0,00 ","0,00 ","307.773,59 ","307.773,59 ","215.419,83 ","0,00 ","92.353,76 ","931.574,66 ","2.292.226,41 ","1.360.651,75 ","4.027.649,63 "
58.,163 ,OBČINA JEZERSKO,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","103.000,99 ","0,00 ","-102.048,42 ","663.502,72 "
59.,42 ,OBČINA JURŠINCI,"200.000,00 ","200.000,00 ","200.000,00 ","0,00 ","0,00 ","98.496,36 ","98.496,36 ","98.496,36 ","0,00 ","0,00 ","34.123,80 ","101.503,64 ","67.379,84 ","12.464,28 "
60.,43 ,OBČINA KAMNIK,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","725.041,17 ","0,00 ","-975.041,17 ","1.946.419,89 "
61.,44 ,OBČINA KANAL,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.487,49 ","4.487,49 ","0,00 ","0,00 ","4.487,49 ","55.007,42 ","-4.487,49 ","-59.494,91 ","177.680,00 "
62.,45 ,OBČINA KIDRIČEVO,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","192.725,52 ","192.725,52 ","192.725,52 ","0,00 ","0,00 ","-47.112,91 ","-192.725,52 ","-145.992,87 ","884.900,86 "
63.,46 ,OBČINA KOBARID,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","50.184,00 ","50.184,00 ","50.184,00 ","0,00 ","0,00 ","3.555,52 ","-50.184,00 ","-53.739,52 ","330.200,04 "
64.,47 ,OBČINA KOBILJE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","16.305,39 ","16.305,39 ","16.305,39 ","0,00 ","0,00 ","29.913,12 ","-16.305,39 ","-46.218,51 ","2.197,18 "
65.,48 ,OBČINA KOČEVJE,"1.000.000,00 ","1.000.000,00 ","1.000.000,00 ","0,00 ","0,00 ","319.337,85 ","319.337,85 ","319.337,85 ","0,00 ","0,00 ","438.640,34 ","680.662,15 ","261.777,32 ","232.747,28 "
66.,49 ,OBČINA KOMEN,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","129.996,00 ","129.996,00 ","129.996,00 ","0,00 ","0,00 ","-254.445,06 ","-129.996,00 ","124.449,06 ","463.315,41 "
67.,164 ,OBČINA KOMENDA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","176.944,00 ","176.944,00 ","176.944,00 ","0,00 ","0,00 ","207.316,65 ","-176.944,00 ","-384.260,65 ","554.945,00 "
68.,50 ,MESTNA OBČINA KOPER,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.000.000,00 ","2.000.000,00 ","2.000.000,00 ","0,00 ","0,00 ","7.016.825,18 ","-2.000.000,00 ","-8.942.863,29 ","5.126.018,99 "
69.,197 ,OBČINA KOSTANJEVICA NA KRKI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-26.118,26 ","0,00 ","26.118,26 ","72.657,76 "
70.,165 ,OBČINA KOSTEL,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","71.546,50 ","71.546,50 ","71.546,50 ","0,00 ","0,00 ","2.009,98 ","-71.546,50 ","-73.556,48 ","6.320,00 "
71.,51 ,OBČINA KOZJE,"1.000.000,00 ","1.000.000,00 ","1.000.000,00 ","0,00 ","0,00 ","64.029,00 ","64.029,00 ","59.710,00 ","0,00 ","4.319,00 ","1.041.237,00 ","935.971,00 ","-106.550,00 ","177.653,00 "
72.,52 ,MESTNA OBČINA KRANJ,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.106.666,66 ","1.106.666,66 ","1.106.666,66 ","0,00 ","0,00 ","-1.872.345,08 ","-1.106.666,66 ","971.168,56 ","10.272.759,47 "
73.,53 ,OBČINA KRANJSKA GORA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-1.544.330,21 ","0,00 ","1.544.330,21 ","2.222.601,51 "
74.,166 ,OBČINA KRIŽEVCI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","39.079,84 ","39.079,84 ","18.163,92 ","0,00 ","20.915,92 ","-12.370,29 ","-39.079,84 ","-26.709,55 ","1.069.280,00 "
75.,54 ,OBČINA KRŠKO,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.547.030,97 ","1.547.030,97 ","1.522.067,40 ","0,00 ","24.963,57 ","-1.272.087,25 ","-1.547.030,97 ","-274.943,72 ","2.875.073,20 "
