,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,- V EUR,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR
101.,75 ,OBČINA MIREN-KOSTANJEVICA,"348.018,09 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","348.018,09 ","0,00 ","348.018,09 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","229.386,98 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","116.639,89 ","116.639,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","71.318,44 ","71.318,44 ","41.428,65 ","41.428,65 ","168.296,14 ","30.575,33 ","30.575,33 ","137.070,83 ","137.070,83 ","0,00 ","0,00 ","649,98 ","649,98 ","0,00 ","0,00 ","196.606,97 ","25.000,00 ","25.000,00 ","55.052,58 ","55.052,58 ","111.030,32 ","111.030,32 ","5.524,07 ","5.524,07 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","629.393,77 ","1.820,89 ","1.820,89 ","627.572,88 ","627.572,88 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.571.701,95 "
102.,170 ,OBČINA MIRNA PEČ,"20.879,87 ","16.025,08 ","16.025,08 ","0,00 ","0,00 ","0,00 ","0,00 ","4.854,79 ","0,00 ","4.854,79 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","481.508,94 ","3.458,51 ","3.458,51 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.800,00 ","0,00 ","4.800,00 ","0,00 ","442.374,17 ","442.374,17 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","30.876,26 ","30.876,26 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","983.593,24 ","13.890,00 ","13.890,00 ","260.581,78 ","260.581,78 ","709.121,46 ","709.121,46 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","50.838,24 ","50.838,24 ","0,00 ","50.838,24 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.536.820,29 "
103.,76 ,OBČINA MISLINJA,"33.737,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","33.737,00 ","0,00 ","33.737,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.800,00 ","4.800,00 ","4.800,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","826.859,00 ","0,00 ","0,00 ","0,00 ","1.826,00 ","1.826,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","825.033,00 ","825.033,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","531.280,00 ","569,00 ","569,00 ","530.711,00 ","530.711,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","47.357,00 ","13.644,00 ","13.644,00 ","29.470,00 ","29.470,00 ","2.081,00 ","2.081,00 ","2.162,00 ","2.162,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","117.937,00 ","2.552,00 ","2.552,00 ","115.385,00 ","115.385,00 ","0,00 ","0,00 ","0,00 ","0,00 ","40.570,00 ","40.570,00 ","0,00 ","40.570,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.602.540,00 "
104.,199 ,OBČINA MOKRONOG-TREBELNO,"170.417,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","170.417,00 ","0,00 ","170.417,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","763.440,00 ","0,00 ","0,00 ","0,00 ","15.559,00 ","0,00 ","15.559,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","735.965,00 ","735.965,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","11.916,00 ","11.916,00 ","0,00 ","0,00 ","42.518,00 ","4.035,00 ","4.035,00 ","38.483,00 ","38.483,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","164.600,00 ","8.819,00 ","8.819,00 ","35.482,00 ","35.482,00 ","90.293,00 ","90.293,00 ","30.006,00 ","30.006,00 ","38.055,00 ","0,00 ","0,00 ","38.055,00 ","38.055,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","328.925,00 ","0,00 ","0,00 ","328.925,00 ","328.925,00 ","0,00 ","0,00 ","0,00 ","0,00 ","69.392,00 ","69.392,00 ","0,00 ","69.392,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.577.347,00 "
105.,77 ,OBČINA MORAVČE,"11.335,00 ","11.335,00 ","11.335,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","787.559,00 ","0,00 ","0,00 ","0,00 ","165,00 ","0,00 ","165,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","782.141,00 ","782.141,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.253,00 ","5.253,00 ","141.458,00 ","129,00 ","129,00 ","141.329,00 ","141.329,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","158.307,00 ","237,00 ","237,00 ","46.739,00 ","46.739,00 ","105.946,00 ","105.946,00 ","5.385,00 ","5.385,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","14.971,00 ","1.597,00 ","1.597,00 ","13.374,00 ","13.374,00 ","0,00 ","0,00 ","0,00 ","0,00 ","138.412,00 ","138.412,00 ","18.638,00 ","119.774,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","54.858,00 ","0,00 ","0,00 ","0,00 ","0,00 ","54.858,00 ","54.858,00 ","0,00 ","0,00 ","1.306.900,00 "
106.,78 ,OBČINA MORAVSKE TOPLICE,"189.508,25 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","150.773,59 ","0,00 ","150.773,59 ","0,00 ","0,00 ","32.168,98 ","32.168,98 ","0,00 ","0,00 ","6.565,68 ","6.565,68 ","3.492,91 ","3.492,91 ","3.492,91 ","9.932,53 ","0,00 ","0,00 ","9.932,53 ","9.932,53 ","4.298.435,08 ","0,00 ","0,00 ","0,00 ","35.928,25 ","24.144,49 ","11.783,76 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.760.089,66 ","2.760.089,66 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.439.157,18 ","1.439.157,18 ","63.259,99 ","63.259,99 ","153.265,04 ","0,00 ","0,00 ","153.265,04 ","153.265,04 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","119.439,51 ","4.948,05 ","4.948,05 ","50.836,81 ","50.836,81 ","63.654,65 ","63.654,65 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","155.650,92 ","3.510,14 ","3.510,14 ","6.410,00 ","6.410,00 ","0,00 ","0,00 ","145.730,78 ","145.730,78 ","835.622,12 ","835.622,12 ","238.155,58 ","597.466,54 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.765.346,36 "
107.,79 ,OBČINA MOZIRJE,"127.985,20 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","127.985,20 ","0,00 ","127.985,20 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.327.574,72 ","0,00 ","0,00 ","0,00 ","22.724,87 ","0,00 ","22.724,87 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.304.849,85 ","1.304.849,85 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","55.116,91 ","0,00 ","0,00 ","55.116,91 ","55.116,91 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","103.700,87 ","3.652,67 ","3.652,67 ","53.530,26 ","53.530,26 ","46.517,94 ","46.517,94 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","555.120,82 ","555.120,82 ","0,00 ","555.120,82 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.169.498,52 "
108.,80 ,MESTNA OBČINA MURSKA SOBOTA,"2.720.194,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.709.479,11 ","0,00 ","2.709.479,11 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","10.714,99 ","10.714,99 ","24.209,60 ","24.209,60 ","24.209,60 ","4.757,73 ","4.757,73 ","4.757,73 ","0,00 ","0,00 ","1.320.349,80 ","0,00 ","0,00 ","0,00 ","30.142,53 ","30.142,53 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.207.068,81 ","1.207.068,81 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","83.138,46 ","83.138,46 ","169.454,15 ","0,00 ","0,00 ","119.271,01 ","119.271,01 ","50.183,14 ","50.183,14 ","0,00 ","0,00 ","0,00 ","0,00 ","383.481,12 ","0,00 ","0,00 ","256.814,47 ","256.814,47 ","60.604,43 ","60.604,43 ","66.062,22 ","66.062,22 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","122.739,48 ","25.845,30 ","25.845,30 ","96.894,18 ","96.894,18 ","0,00 ","0,00 ","0,00 ","0,00 ","1.478.878,72 ","1.478.878,72 ","0,00 ","1.478.878,72 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.224.064,70 "
109.,81 ,OBČINA MUTA,"79.946,26 ","1.104,00 ","1.104,00 ","0,00 ","0,00 ","0,00 ","0,00 ","78.842,26 ","0,00 ","78.842,26 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","591.409,36 ","27.107,93 ","27.107,93 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","554.399,92 ","554.399,92 ","0,00 ","0,00 ","0,00 ","1.079,00 ","1.079,00 ","8.822,51 ","8.822,51 ","0,00 ","0,00 ","393.889,05 ","18.785,95 ","18.785,95 ","375.103,10 ","375.103,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","72.692,73 ","0,00 ","0,00 ","50.950,56 ","50.950,56 ","15.640,29 ","15.640,29 ","6.101,88 ","6.101,88 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","90.497,02 ","77.759,21 ","77.759,21 ","12.737,81 ","12.737,81 ","0,00 ","0,00 ","0,00 ","0,00 ","79.967,74 ","79.967,74 ","0,00 ","79.967,74 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.308.402,16 "
110.,82 ,OBČINA NAKLO,"29.207,63 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","29.207,63 ","0,00 ","29.207,63 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.180,00 ","3.180,00 ","3.180,00 ","0,00 ","0,00 ","83.351,53 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","21.348,30 ","21.348,30 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","62.003,23 ","62.003,23 ","421.808,96 ","1.279,50 ","1.279,50 ","420.529,46 ","420.529,46 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","122.908,10 ","0,00 ","0,00 ","83.445,16 ","83.445,16 ","39.462,94 ","39.462,94 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.666.570,62 ","0,00 ","0,00 ","0,00 ","0,00 ","1.666.570,62 ","1.666.570,62 ","0,00 ","0,00 ","2.327.026,84 "
111.,83 ,OBČINA NAZARJE,"411.988,82 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","411.988,82 ","0,00 ","411.988,82 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","284.982,58 ","0,00 ","0,00 ","0,00 ","2.500,00 ","2.500,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","282.482,58 ","282.482,58 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.627,92 ","0,00 ","0,00 ","1.876,80 ","1.876,80 ","0,00 ","0,00 ","751,12 ","751,12 ","0,00 ","0,00 ","105.953,22 ","0,00 ","0,00 ","96.813,22 ","96.813,22 ","0,00 ","0,00 ","9.140,00 ","9.140,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","80.887,79 ","80.887,79 ","0,00 ","80.887,79 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","886.440,33 "
112.,84 ,MESTNA OBČINA NOVA GORICA,"1.143.709,74 ","432,82 ","432,82 ","0,00 ","0,00 ","0,00 ","0,00 ","1.125.461,14 ","0,00 ","1.125.461,14 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","17.815,78 ","17.815,78 ","36.401,24 ","36.401,24 ","36.401,24 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.824.863,39 ","521.725,43 ","521.725,43 ","0,00 ","26.138,60 ","26.138,60 ","0,00 ","0,00 ","18.000,00 ","0,00 ","0,00 ","18.000,00 ","2.732.143,82 ","2.732.143,82 ","0,00 ","0,00 ","0,00 ","89.956,99 ","89.956,99 ","34.446,64 ","34.446,64 ","402.451,91 ","402.451,91 ","1.997.293,44 ","497.579,55 ","497.579,55 ","1.471.865,25 ","1.471.865,25 ","0,00 ","0,00 ","0,00 ","0,00 ","27.848,64 ","27.848,64 ","1.404.165,62 ","0,00 ","0,00 ","353.242,46 ","353.242,46 ","975.808,73 ","975.808,73 ","75.114,43 ","75.114,43 ","164.807,62 ","0,00 ","0,00 ","164.807,62 ","164.807,62 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","540.093,66 ","471.838,29 ","471.838,29 ","0,00 ","0,00 ","0,00 ","0,00 ","68.255,37 ","68.255,37 ","979.562,40 ","607.386,40 ","478,24 ","606.908,16 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","371.956,00 ","371.956,00 ","220,00 ","220,00 ","0,00 ","0,00 ","192,00 ","192,00 ","192,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","10.091.089,11 "
113.,85 ,MESTNA OBČINA NOVO MESTO,"1.011.563,18 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","293.694,85 ","0,00 ","293.694,85 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","717.868,33 ","717.868,33 ","8.366,93 ","8.366,93 ","8.366,93 ","44.936,07 ","0,00 ","0,00 ","44.936,07 ","44.936,07 ","2.694.433,74 ","257.079,81 ","257.079,81 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","35.137,29 ","0,00 ","35.137,29 ","0,00 ","2.263.134,24 ","2.263.134,24 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","139.082,40 ","139.082,40 ","1.497.848,71 ","23.536,10 ","23.536,10 ","1.474.312,61 ","1.474.312,61 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.420.814,96 ","4.568,92 ","4.568,92 ","182.859,17 ","182.859,17 ","1.233.386,87 ","1.233.386,87 ","0,00 ","0,00 ","1.680,00 ","0,00 ","0,00 ","1.680,00 ","1.680,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.498.310,79 ","639.040,84 ","639.040,84 ","859.269,95 ","859.269,95 ","0,00 ","0,00 ","0,00 ","0,00 ","790.897,87 ","790.897,87 ","664.937,45 ","125.960,42 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","214.000,00 ","214.000,00 ","214.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","9.182.852,25 "
114.,86 ,OBČINA ODRANCI,"38.787,37 ","3.960,00 ","3.960,00 ","0,00 ","0,00 ","0,00 ","0,00 ","34.827,37 ","0,00 ","34.827,37 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.238,36 ","0,00 ","0,00 ","8.238,36 ","8.238,36 ","240.997,67 ","222.194,42 ","222.194,42 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","10.494,00 ","10.494,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.309,25 ","8.309,25 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","46.386,64 ","0,00 ","0,00 ","4.426,64 ","4.426,64 ","41.960,00 ","41.960,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","157.481,68 ","148.001,68 ","148.001,68 ","9.480,00 ","9.480,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","491.891,72 "
115.,171 ,OBČINA OPLOTNICA,"162.752,91 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","162.752,91 ","0,00 ","162.752,91 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","831,60 ","831,60 ","831,60 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","480.364,65 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","476.680,96 ","476.680,96 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.683,69 ","3.683,69 ","46.369,13 ","38.630,67 ","38.630,67 ","7.738,46 ","7.738,46 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","843,20 ","0,00 ","0,00 ","180,00 ","180,00 ","0,00 ","0,00 ","663,20 ","663,20 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","544.495,27 ","0,00 ","0,00 ","540.550,75 ","540.550,75 ","0,00 ","0,00 ","3.944,52 ","3.944,52 ","698.195,30 ","698.195,30 ","13.128,50 ","685.066,80 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.933.852,06 "
116.,87 ,OBČINA ORMOŽ,"159.453,54 ","2.733,91 ","2.733,91 ","0,00 ","0,00 ","0,00 ","0,00 ","153.629,05 ","0,00 ","153.629,05 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.090,58 ","3.090,58 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.634.468,54 ","9.802,85 ","9.802,85 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.460.592,76 ","2.385.086,87 ","0,00 ","75.505,89 ","0,00 ","0,00 ","0,00 ","16.639,30 ","16.639,30 ","147.433,63 ","147.433,63 ","670.755,29 ","50.720,15 ","50.720,15 ","614.438,34 ","614.438,34 ","5.596,80 ","5.596,80 ","0,00 ","0,00 ","0,00 ","0,00 ","2.241.994,40 ","0,00 ","0,00 ","62.790,67 ","62.790,67 ","2.143.133,28 ","2.143.133,28 ","36.070,45 ","36.070,45 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","222.133,33 ","7.601,76 ","7.601,76 ","214.531,57 ","214.531,57 ","0,00 ","0,00 ","0,00 ","0,00 ","353.665,96 ","353.665,96 ","0,00 ","353.665,96 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.282.471,06 "
117.,88 ,OBČINA OSILNICA,"6.199,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.199,41 ","0,00 ","6.199,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.421,56 ","0,00 ","0,00 ","2.421,56 ","2.421,56 ","260.530,87 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","246.591,65 ","246.591,65 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","13.939,22 ","13.939,22 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","13.425,92 ","13.425,92 ","0,00 ","13.425,92 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","282.577,76 "
