,,VIII.  50,500,5001,5002,5003,5004,IX.  55,550,5501,5502,5503,5504,X.,XI.,ST.,FI.
,,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,NETO ZADOLŽEVANJE  ,POVEČANJE (ZMANJŠANJE)  SREDSTEV NA RAČUNIH                                                                  ,STANJE SREDSTEV NA RAČUNIH OB KONCU                   PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE  IZRAVNAVE IZ PRETEKLEGA LETA
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,(VIII.-IX.),(III.+VI.+X) = (I.+IV.+VIII.) - (II.+V.+IX.),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,Odplačila glavnice vrednostnih papirjev,,,,
Zap. št.,OBČINA,,,,,,,,,,,,,,,,
85,LUČE,250.376 ,250.376 ,0 ,0 ,250.376 ,0 ,250.376 ,250.376 ,0 ,0 ,250.376 ,0 ,0 ,626 ,664 ,0 
86,LUKOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-74.412 ,1.000.259 ,0 
87,MAJŠPERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,133.680 ,0 ,0 
88,MARIBOR (M),0 ,0 ,0 ,0 ,0 ,0 ,54.624 ,54.624 ,54.624 ,0 ,0 ,0 ,-54.624 ,1.154.035 ,10.561.993 ,0 
89,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,135.482 ,0 ,0 
90,MEDVODE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-16.287 ,98.310 ,0 
91,MENGEŠ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,100.747 ,0 ,492.134 
92,METLIKA,46.950 ,46.950 ,46.950 ,0 ,0 ,0 ,4.745 ,4.745 ,4.745 ,0 ,0 ,0 ,42.205 ,157.023 ,43.778 ,0 
93,MEŽICA,0 ,0 ,0 ,0 ,0 ,0 ,5.621 ,5.621 ,1.481 ,0 ,4.140 ,0 ,-5.621 ,9.969 ,7.369 ,0 
94,MIKLAVŽ NA DRAVSKEM POLJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,444.392 ,0 ,0 
95,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2.783 ,0 ,0 
96,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,86.601 ,30.091 ,0 
97,MISLINJA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-47.167 ,183.542 ,0 
98,MORAVČE,0 ,0 ,0 ,0 ,0 ,0 ,2.003 ,2.003 ,2.003 ,0 ,0 ,0 ,-2.003 ,-199.566 ,296.553 ,0 
99,MORAVSKE TOPLICE,584.210 ,584.210 ,0 ,0 ,584.210 ,0 ,23.531 ,23.531 ,0 ,0 ,23.531 ,0 ,560.679 ,-49.917 ,140.498 ,0 
100,MOZIRJE,81.372 ,81.372 ,81.372 ,0 ,0 ,0 ,143.565 ,143.565 ,72.626 ,0 ,70.940 ,0 ,-62.193 ,25.088 ,13.362 ,0 
101,MURSKA SOBOTA (M),1.009.848 ,1.009.848 ,801.202 ,0 ,208.646 ,0 ,42.455 ,42.455 ,29.619 ,0 ,12.836 ,0 ,967.393 ,1.888.846 ,46.570 ,0 
102,MUTA,0 ,0 ,0 ,0 ,0 ,0 ,6.873 ,6.873 ,1.185 ,0 ,5.688 ,0 ,-6.873 ,46.011 ,1.673 ,18.653 
103,NAKLO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24.491 ,26.849 ,0 
104,NAZARJE,0 ,0 ,0 ,0 ,0 ,0 ,54.248 ,54.248 ,54.248 ,0 ,0 ,0 ,-54.248 ,-15.185 ,20.452 ,0 
105,NOVA GORICA (M),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,909.464 ,183.625 ,0 
