69.,KRANJSKA GORA,5.157.136 ,1.667.238 ,294.283 ,42.180 ,1.319.337 ,452.963 ,173.727 ,49.612 ,3.605 ,11.000 ,470.059 ,31.251 ,622 ,14.526 ,111.972 ,0 ,0 ,0 ,0 ,0 ,11.438 ,1.303.493 ,58.166 ,0 ,58.166 ,660.265 ,0 ,267.651 ,0 ,0 ,0 ,392.614 ,217.885 ,217.885 ,367.176 ,11.763 ,0 ,0 ,355.412 ,0 ,884.260 ,884.260 ,0 ,0 ,15.736 ,0 ,662.702 ,3.105 ,56.940 ,2.454 ,143.323 ,1.302.145 ,1.302.145 ,20.243 ,0 ,125.004 ,1.136.375 ,0 ,0 ,0 ,20.522 ,0 ,168.607 
70.,KRIŽEVCI,2.203.184 ,159.543 ,68.820 ,9.460 ,73.565 ,16.758 ,438 ,19.166 ,1.110 ,3.322 ,6.539 ,0 ,0 ,3.021 ,23.210 ,1.022 ,964 ,0 ,58 ,0 ,6.677 ,895.552 ,70.689 ,7.390 ,63.299 ,410.645 ,0 ,0 ,0 ,0 ,1.456 ,409.189 ,44.229 ,44.229 ,369.988 ,28.096 ,18.223 ,426 ,323.243 ,0 ,1.029.336 ,1.029.336 ,0 ,0 ,12.602 ,0 ,866.975 ,114.718 ,13.883 ,0 ,21.157 ,118.753 ,118.753 ,16.333 ,0 ,4.160 ,19.225 ,0 ,1.940 ,0 ,77.095 ,0 ,-382.040 
71.,KRŠKO,16.187.611 ,3.505.166 ,891.229 ,126.523 ,2.230.700 ,238.675 ,41.713 ,306.589 ,34.368 ,14.367 ,1.124.962 ,27.082 ,20.577 ,42.280 ,380.087 ,188.262 ,188.082 ,0 ,179 ,0 ,68.453 ,7.096.858 ,1.226.131 ,147.075 ,1.079.056 ,3.099.616 ,0 ,0 ,0 ,0 ,5.642 ,3.093.974 ,697.801 ,697.801 ,2.073.310 ,385.236 ,214.292 ,26.381 ,1.447.400 ,0 ,2.908.342 ,2.908.342 ,24.211 ,43.027 ,239.280 ,9.819 ,1.884.560 ,336.546 ,30.250 ,0 ,340.648 ,2.677.245 ,2.677.245 ,176.302 ,0 ,159.114 ,0 ,0 ,41.049 ,0 ,2.300.780 ,0 ,-439.213 
72.,KUNGOTA,1.912.373 ,220.410 ,86.304 ,11.960 ,114.205 ,41.420 ,0 ,10.683 ,0 ,4.177 ,0 ,0 ,0 ,3.171 ,54.753 ,7.941 ,0 ,0 ,7.941 ,0 ,0 ,840.068 ,8.208 ,0 ,8.208 ,317.610 ,95.652 ,0 ,4.198 ,0 ,0 ,217.760 ,53.889 ,53.889 ,460.361 ,25.280 ,61.730 ,41.107 ,332.244 ,0 ,123.494 ,123.494 ,0 ,1.148 ,19.600 ,3.893 ,0 ,70.397 ,6.485 ,0 ,21.970 ,728.401 ,728.401 ,728.401 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38.036 
73.,KUZMA,904.519 ,258.283 ,72.283 ,22.742 ,153.818 ,28.050 ,5.091 ,23.026 ,5.091 ,3.180 ,75.513 ,0 ,0 ,0 ,13.867 ,0 ,0 ,0 ,0 ,0 ,9.439 ,241.345 ,2.796 ,0 ,2.796 ,142.159 ,0 ,0 ,14.601 ,0 ,0 ,127.558 ,48.256 ,48.256 ,48.135 ,0 ,0 ,1.590 ,46.545 ,0 ,383.609 ,383.609 ,0 ,0 ,6.526 ,4.490 ,292.384 ,60.741 ,0 ,0 ,19.467 ,21.282 ,21.282 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21.282 ,0 ,-56.543 
74.,LAŠKO,5.356.464 ,1.071.269 ,403.184 ,55.379 ,505.091 ,71.011 ,0 ,32.895 ,14.601 ,14.359 ,38.616 ,62.285 ,0 ,17.706 ,253.618 ,68.824 ,0 ,0 ,29.148 ,39.676 ,38.792 ,2.978.247 ,0 ,0 ,0 ,1.492.760 ,0 ,0 ,0 ,0 ,0 ,1.492.760 ,180.700 ,180.700 ,1.304.786 ,215.340 ,82.620 ,37.769 ,969.058 ,0 ,1.224.007 ,1.224.007 ,0 ,0 ,54.841 ,18.060 ,825.655 ,147.813 ,53.301 ,0 ,124.337 ,82.941 ,82.941 ,0 ,0 ,68.098 ,2.612 ,0 ,0 ,0 ,12.231 ,0 ,357.695 
75.,LENART,5.499.962 ,962.665 ,291.087 ,40.214 ,559.231 ,105.700 ,3.451 ,139.251 ,9.418 ,10.954 ,175.242 ,4.715 ,0 ,11.872 ,98.627 ,49.082 ,32.319 ,0 ,16.763 ,0 ,23.051 ,1.736.926 ,119.300 ,0 ,119.300 ,951.703 ,0 ,0 ,0 ,0 ,0 ,951.703 ,226.093 ,226.093 ,439.831 ,114.714 ,43.073 ,29.774 ,252.270 ,0 ,437.160 ,437.160 ,198.181 ,0 ,6.535 ,0 ,92.810 ,11.113 ,112.757 ,15.765 ,0 ,2.363.211 ,2.363.211 ,0 ,0 ,0 ,0 ,0 ,0 ,5.412 ,2.357.799 ,0 ,-195.109 
76.,LENDAVA,4.686.284 ,1.393.315 ,449.428 ,64.192 ,861.476 ,94.767 ,58.822 ,82.319 ,126.627 ,17.017 ,299.261 ,13.391 ,0 ,22.914 ,146.357 ,14.046 ,14.046 ,0 ,0 ,0 ,4.173 ,1.986.597 ,22.367 ,0 ,22.367 ,146.415 ,0 ,0 ,0 ,0 ,6.497 ,139.918 ,212.210 ,212.210 ,1.605.604 ,173.410 ,114.330 ,62.093 ,1.255.771 ,0 ,600.910 ,600.910 ,0 ,12.510 ,32.828 ,0 ,144.546 ,211.179 ,86.705 ,0 ,113.141 ,705.462 ,705.462 ,155.963 ,0 ,73.569 ,0 ,0 ,301.657 ,0 ,174.274 ,0 ,589.914 
77.,LITIJA,7.674.111 ,1.096.453 ,333.880 ,46.128 ,673.539 ,105.700 ,43.945 ,117.180 ,5.930 ,3.731 ,68.912 ,88.533 ,24.474 ,14.029 ,201.106 ,13.696 ,13.696 ,0 ,0 ,0 ,29.210 ,4.032.945 ,199.566 ,0 ,199.566 ,1.065.903 ,0 ,43.098 ,0 ,0 ,0 ,1.022.805 ,280.283 ,280.283 ,2.487.193 ,143.999 ,111.634 ,78.288 ,2.153.272 ,0 ,1.593.090 ,1.593.090 ,0 ,0 ,6.660 ,0 ,1.261.409 ,8.329 ,103.480 ,0 ,213.211 ,951.623 ,951.623 ,27.258 ,0 ,127.274 ,34.998 ,0 ,0 ,0 ,762.093 ,0 ,-116.921 
78.,MESTNA OBČINA LJUBLJANA,180.995.059 ,44.781.514 ,8.747.496 ,1.212.807 ,33.686.818 ,2.513.529 ,1.478.597 ,1.248.807 ,184.084 ,193.002 ,16.862.339 ,445.673 ,7.047.475 ,402.600 ,3.310.712 ,0 ,0 ,0 ,0 ,0 ,1.134.393 ,61.000.551 ,3.264.701 ,2.673.602 ,591.099 ,29.114.484 ,0 ,0 ,35.215 ,5.738 ,188.529 ,28.885.003 ,7.749.328 ,7.749.328 ,20.872.037 ,46.190 ,1.518.478 ,2.931.134 ,16.376.235 ,0 ,53.710.466 ,53.710.466 ,1.946.132 ,121.616 ,3.326.874 ,85.691 ,17.957.707 ,13.521.094 ,13.463.141 ,0 ,3.288.211 ,21.502.529 ,21.502.529 ,0 ,7.456.869 ,384.581 ,7.828.923 ,0 ,0 ,0 ,5.832.157 ,0 ,-20.021.461 
79.,LJUBNO,2.036.071 ,345.568 ,73.485 ,10.249 ,261.834 ,15.181 ,1.002 ,28.009 ,0 ,2.979 ,169.546 ,0 ,0 ,2.070 ,43.048 ,0 ,0 ,0 ,0 ,0 ,0 ,489.697 ,85.207 ,3.701 ,81.506 ,101.148 ,0 ,4.791 ,0 ,0 ,0 ,96.357 ,99.362 ,99.362 ,203.981 ,0 ,10.887 ,2.708 ,190.386 ,0 ,1.157.031 ,1.157.031 ,2.362 ,0 ,3.263 ,0 ,1.131.977 ,0 ,0 ,0 ,19.429 ,43.774 ,43.774 ,0 ,0 ,35.428 ,0 ,0 ,8.346 ,0 ,0 ,0 ,-248.339 
80.,LJUTOMER,5.717.852 ,854.198 ,410.966 ,57.140 ,344.446 ,47.325 ,3.393 ,70.218 ,5.675 ,4.799 ,29.991 ,4.582 ,39.906 ,13.166 ,125.392 ,8.262 ,0 ,0 ,8.262 ,0 ,33.383 ,2.855.951 ,525.388 ,1.089 ,524.299 ,355.679 ,0 ,2.028 ,6.289 ,0 ,8.984 ,338.378 ,200.480 ,200.480 ,1.774.403 ,266.763 ,79.286 ,18.799 ,1.409.556 ,0 ,1.074.879 ,1.074.879 ,0 ,15.957 ,44.909 ,2.137 ,729.223 ,11.555 ,11.325 ,0 ,259.773 ,932.824 ,932.824 ,0 ,146.378 ,28.868 ,460.908 ,0 ,22.667 ,0 ,274.003 ,0 ,275.668 
81.,LOGATEC,5.393.761 ,594.408 ,301.527 ,43.052 ,231.138 ,57.470 ,0 ,48.882 ,11.676 ,2.708 ,12.957 ,7.841 ,0 ,15.156 ,74.449 ,6.948 ,0 ,0 ,6.948 ,0 ,11.743 ,2.339.196 ,72.709 ,0 ,72.709 ,527.842 ,0 ,0 ,0 ,0 ,4.140 ,523.702 ,253.217 ,253.217 ,1.485.428 ,88.579 ,30.980 ,33.834 ,1.332.036 ,0 ,2.367.305 ,2.367.305 ,41.320 ,6.226 ,15.014 ,0 ,1.747.296 ,370.965 ,144.863 ,0 ,41.621 ,92.852 ,92.852 ,0 ,12.114 ,0 ,0 ,0 ,0 ,0 ,80.738 ,0 ,-67.660 
82.,LOŠKA DOLINA,2.156.589 ,590.644 ,141.575 ,20.477 ,418.190 ,43.540 ,17.664 ,56.960 ,4.327 ,1.657 ,254.115 ,0 ,1.632 ,0 ,38.295 ,0 ,0 ,0 ,0 ,0 ,10.403 ,536.672 ,5.588 ,0 ,5.588 ,99.700 ,0 ,0 ,0 ,0 ,0 ,99.700 ,74.796 ,74.796 ,356.589 ,1.769 ,8.204 ,2.516 ,344.099 ,0 ,987.961 ,987.961 ,0 ,0 ,43.056 ,204 ,885.916 ,19.396 ,3.184 ,0 ,36.204 ,41.312 ,41.312 ,0 ,0 ,25.872 ,0 ,0 ,0 ,0 ,15.440 ,0 ,-135.941 
83.,LOŠKI POTOK,960.299 ,151.515 ,64.989 ,9.452 ,72.939 ,17.184 ,0 ,26.819 ,2.429 ,2.228 ,2.316 ,0 ,0 ,2.379 ,19.584 ,3.292 ,0 ,0 ,3.292 ,0 ,843 ,323.660 ,4.244 ,0 ,4.244 ,33.922 ,0 ,0 ,0 ,417 ,313 ,33.191 ,21.353 ,21.353 ,264.142 ,0 ,5.070 ,1.523 ,257.549 ,0 ,480.725 ,480.725 ,0 ,0 ,0 ,0 ,326.486 ,87.531 ,0 ,0 ,66.708 ,4.398 ,4.398 ,0 ,0 ,2.086 ,0 ,0 ,0 ,0 ,2.312 ,0 ,17.668 
84.,LOVRENC NA POHORJU,1.493.131 ,603.313 ,161.576 ,22.997 ,410.532 ,73.544 ,0 ,48.456 ,3.359 ,8.842 ,231.898 ,467 ,0 ,6.226 ,37.740 ,1.531 ,0 ,0 ,1.531 ,0 ,6.677 ,500.138 ,21.186 ,0 ,21.186 ,128.505 ,0 ,0 ,0 ,0 ,0 ,128.505 ,69.646 ,69.646 ,280.800 ,0 ,23.385 ,1.035 ,256.380 ,0 ,333.204 ,333.204 ,1.690 ,0 ,5.896 ,0 ,160.637 ,86.980 ,66.266 ,0 ,11.734 ,56.476 ,56.476 ,0 ,0 ,40.740 ,0 ,0 ,0 ,0 ,15.736 ,0 ,-29.000 
85.,LUČE,901.077 ,258.600 ,62.936 ,8.663 ,180.671 ,11.012 ,2.470 ,29.223 ,7.482 ,113 ,109.489 ,897 ,209 ,1.557 ,18.219 ,1.114 ,0 ,0 ,1.114 ,0 ,5.216 ,239.251 ,30.579 ,3.839 ,26.740 ,80.621 ,0 ,0 ,0 ,0 ,0 ,80.621 ,47.367 ,47.367 ,80.684 ,0 ,6.301 ,1.869 ,72.513 ,0 ,317.718 ,317.718 ,2.061 ,0 ,3.685 ,1.965 ,290.565 ,0 ,643 ,0 ,18.799 ,85.507 ,85.507 ,0 ,0 ,64.680 ,380 ,0 ,0 ,0 ,20.447 ,0 ,-3.718 
86.,LUKOVICA,2.411.384 ,760.261 ,199.633 ,28.526 ,517.497 ,116.825 ,1.928 ,45.673 ,29.778 ,2.036 ,255.229 ,0 ,0 ,10.157 ,55.871 ,0 ,0 ,0 ,0 ,0 ,14.605 ,847.025 ,36.200 ,0 ,36.200 ,346.249 ,0 ,43.699 ,10.257 ,0 ,11.563 ,280.729 ,100.505 ,100.505 ,364.071 ,85.082 ,22.705 ,4.240 ,252.045 ,0 ,758.947 ,758.947 ,0 ,28.046 ,29.181 ,0 ,534.907 ,0 ,98.047 ,0 ,68.766 ,45.151 ,45.151 ,3.839 ,0 ,4.173 ,0 ,0 ,0 ,0 ,37.139 ,0 ,181.514 
87.,MAJŠPERK,2.249.892 ,385.249 ,88.992 ,11.718 ,284.539 ,35.808 ,16.387 ,28.217 ,4.728 ,3.998 ,140.018 ,0 ,0 ,3.334 ,52.049 ,0 ,0 ,0 ,0 ,0 ,0 ,569.141 ,8.454 ,0 ,8.454 ,253.447 ,0 ,3.338 ,0 ,0 ,0 ,250.109 ,42.364 ,42.364 ,264.876 ,0 ,37.014 ,801 ,227.061 ,0 ,1.095.189 ,1.095.189 ,59.902 ,0 ,1.961 ,0 ,952.358 ,32.132 ,38.888 ,0 ,9.948 ,200.313 ,200.313 ,0 ,0 ,187.260 ,0 ,0 ,0 ,13.053 ,0 ,0 ,-68.403 
88.,MESTNA OBČINA MARIBOR,59.283.780 ,9.031.268 ,3.502.687 ,498.986 ,4.885.211 ,1.725.659 ,19.609 ,1.093.607 ,64.142 ,41.404 ,392.439 ,214.847 ,677.024 ,165.836 ,490.644 ,2.712 ,480 ,0 ,2.011 ,221 ,141.671 ,34.226.398 ,933.638 ,0 ,933.638 ,1.679.945 ,0 ,0 ,163 ,0 ,0 ,1.679.782 ,2.375.280 ,2.375.280 ,29.236.868 ,381.735 ,591.354 ,2.416.596 ,25.847.183 ,668 ,4.290.557 ,4.290.557 ,208.646 ,842.464 ,639.276 ,7.578 ,839.192 ,626.181 ,453.138 ,46.019 ,628.063 ,11.735.558 ,11.735.558 ,44.354 ,1.885.036 ,176.181 ,6.087.043 ,0 ,870.848 ,44.279 ,2.627.817 ,0 ,1.006.581 
89.,MARKOVCI,2.182.407 ,330.141 ,69.917 ,28.343 ,231.247 ,40.886 ,238 ,32.490 ,0 ,8.855 ,5.129 ,0 ,0 ,0 ,143.649 ,0 ,0 ,0 ,0 ,0 ,634 ,905.846 ,39.534 ,0 ,39.534 ,197.959 ,2.291 ,0 ,0 ,0 ,4.173 ,191.496 ,154.315 ,154.315 ,514.038 ,264.138 ,32.048 ,0 ,217.852 ,0 ,861.768 ,861.768 ,0 ,0 ,99.253 ,0 ,502.324 ,137.540 ,48.606 ,0 ,74.044 ,84.652 ,84.652 ,0 ,0 ,67.309 ,0 ,0 ,2.504 ,0 ,14.839 ,0 ,441.879 
90.,MEDVODE,5.452.399 ,1.299.666 ,229.866 ,32.766 ,988.587 ,88.600 ,34.548 ,119.262 ,5.187 ,5.558 ,358.600 ,0 ,0 ,11.163 ,365.669 ,0 ,0 ,0 ,0 ,0 ,48.448 ,2.090.223 ,87.452 ,33.383 ,54.069 ,181.330 ,0 ,0 ,0 ,0 ,0 ,181.330 ,290.978 ,290.978 ,1.530.462 ,124.478 ,65.920 ,0 ,1.340.064 ,0 ,1.441.567 ,1.441.567 ,167.576 ,7.958 ,69.162 ,0 ,809.831 ,7.741 ,257.378 ,0 ,121.920 ,620.944 ,620.944 ,0 ,0 ,88.095 ,0 ,0 ,0 ,0 ,532.849 ,0 ,-115.002 
91.,MENGEŠ,2.358.688 ,809.193 ,196.566 ,27.929 ,567.364 ,72.338 ,16.809 ,79.799 ,1.598 ,2.608 ,187.352 ,5.421 ,0 ,0 ,201.440 ,0 ,0 ,0 ,0 ,0 ,17.334 ,1.012.427 ,37.661 ,0 ,37.661 ,597.838 ,0 ,0 ,0 ,0 ,12.039 ,585.800 ,168.206 ,168.206 ,208.721 ,33 ,24.024 ,7.745 ,176.920 ,0 ,457.432 ,457.432 ,0 ,0 ,69.492 ,1.077 ,193.127 ,93.069 ,24.700 ,0 ,75.968 ,79.636 ,79.636 ,0 ,0 ,12.744 ,42.885 ,0 ,0 ,0 ,24.007 ,0 ,139.922 
92.,METLIKA,3.866.784 ,1.033.955 ,157.307 ,22.509 ,801.598 ,474.892 ,138 ,174.478 ,6.735 ,2.646 ,57.407 ,175 ,0 ,8.379 ,76.748 ,28.317 ,28.317 ,0 ,0 ,0 ,24.224 ,1.300.050 ,27.896 ,0 ,27.896 ,275.609 ,0 ,0 ,126.398 ,0 ,701 ,148.510 ,104.019 ,104.019 ,892.526 ,117.906 ,35.453 ,0 ,739.167 ,0 ,1.466.921 ,1.466.921 ,0 ,0 ,108.822 ,0 ,397.455 ,414.430 ,56.172 ,0 ,490.043 ,65.857 ,65.857 ,5.717 ,20.865 ,0 ,0 ,0 ,0 ,0 ,39.276 ,0 ,203.672 
93.,MEŽICA,1.473.903 ,429.423 ,84.418 ,12.268 ,332.261 ,44.375 ,33.100 ,40.419 ,5.225 ,1.953 ,138.295 ,6.264 ,1.390 ,3.025 ,58.216 ,0 ,0 ,0 ,0 ,0 ,476 ,629.173 ,2.800 ,2.800 ,0 ,110.320 ,0 ,0 ,15.373 ,1.502 ,0 ,93.444 ,141.245 ,141.245 ,374.808 ,0 ,17.134 ,1.527 ,356.147 ,0 ,154.236 ,154.236 ,0 ,0 ,5.537 ,150 ,108.045 ,0 ,1.077 ,0 ,39.426 ,261.071 ,261.071 ,0 ,0 ,0 ,193.265 ,0 ,0 ,0 ,67.806 ,0 ,38.120 
94.,MIKLAVŽ NA DRAVSKEM POLJU,2.780.550 ,768.832 ,178.292 ,29.098 ,561.204 ,114.584 ,1.632 ,70.481 ,2.020 ,2.925 ,214.497 ,3.589 ,1.728 ,8.943 ,140.807 ,25 ,0 ,0 ,25 ,0 ,213 ,703.655 ,39.004 ,0 ,39.004 ,182.799 ,0 ,0 ,2.846 ,0 ,0 ,179.953 ,63.579 ,63.579 ,418.273 ,0 ,17.155 ,4.123 ,396.995 ,0 ,1.199.428 ,1.199.428 ,0 ,0 ,6.994 ,9.873 ,1.095.502 ,31.689 ,0 ,0 ,55.371 ,108.634 ,108.634 ,4.807 ,0 ,15.840 ,0 ,0 ,0 ,0 ,87.986 ,0 ,59.160 
95.,MIREN - KOSTANJEVICA,2.151.285 ,440.636 ,125.008 ,17.364 ,289.459 ,26.665 ,138 ,63.257 ,7.161 ,2.587 ,106.097 ,2.762 ,0 ,3.735 ,77.057 ,0 ,0 ,0 ,0 ,0 ,8.805 ,737.803 ,25.213 ,0 ,25.213 ,176.398 ,0 ,1.135 ,19.780 ,0 ,0 ,155.483 ,78.017 ,78.017 ,458.175 ,34.402 ,18.273 ,35.207 ,370.293 ,0 ,827.516 ,827.516 ,32.132 ,0 ,10.704 ,0 ,669.675 ,0 ,32.061 ,0 ,82.945 ,145.331 ,145.331 ,57.006 ,0 ,18.361 ,3.614 ,0 ,0 ,0 ,66.350 ,0 ,18.069 
96.,MIRNA PEČ,1.151.269 ,261.534 ,62.611 ,8.008 ,184.656 ,12.648 ,0 ,17.368 ,0 ,1.093 ,77.516 ,41.587 ,0 ,1.920 ,32.524 ,0 ,0 ,0 ,0 ,0 ,6.259 ,620.577 ,194.279 ,0 ,194.279 ,97.684 ,0 ,0 ,0 ,0 ,0 ,97.684 ,33.150 ,33.150 ,295.464 ,0 ,7.770 ,0 ,287.694 ,0 ,253.418 ,253.418 ,0 ,0 ,18.081 ,0 ,85.420 ,80.934 ,434 ,0 ,68.549 ,15.740 ,15.740 ,0 ,0 ,1.022 ,0 ,0 ,0 ,0 ,14.718 ,0 ,93.344 
97.,MISLINJA,1.817.001 ,499.704 ,87.243 ,12.744 ,398.076 ,38.174 ,2.187 ,25.542 ,5.654 ,1.235 ,258.696 ,3.981 ,21 ,2.712 ,59.873 ,776 ,0 ,0 ,776 ,0 ,864 ,712.448 ,15.344 ,0 ,15.344 ,359.873 ,0 ,0 ,693 ,0 ,0 ,359.180 ,72.354 ,72.354 ,264.876 ,0 ,12.339 ,13.575 ,238.963 ,0 ,593.165 ,593.165 ,0 ,0 ,11.930 ,0 ,443.570 ,5.529 ,46.674 ,0 ,85.462 ,11.684 ,11.684 ,0 ,0 ,8.346 ,0 ,0 ,0 ,0 ,3.338 ,0 ,142.693 
98.,MORAVČE,1.782.979 ,471.094 ,151.106 ,21.808 ,284.464 ,51.753 ,3.931 ,41.784 ,8.070 ,4.482 ,114.906 ,2.667 ,0 ,7.207 ,49.666 ,5.371 ,5.371 ,0 ,0 ,0 ,8.346 ,614.221 ,64.739 ,2.278 ,62.460 ,343.315 ,0 ,0 ,22.722 ,0 ,0 ,320.593 ,57.344 ,57.344 ,148.823 ,0 ,15.060 ,0 ,133.763 ,0 ,324.295 ,324.295 ,0 ,0 ,14.839 ,0 ,281.393 ,4.190 ,0 ,0 ,23.873 ,373.368 ,373.368 ,0 ,0 ,44.475 ,0 ,0 ,12.485 ,0 ,316.408 ,0 ,38.249 
99.,MORAVSKE TOPLICE,3.061.597 ,998.118 ,172.747 ,24.462 ,740.244 ,174.387 ,11.559 ,100.167 ,3.827 ,6.589 ,373.602 ,221 ,0 ,9.001 ,60.891 ,47.684 ,0 ,0 ,47.684 ,0 ,12.982 ,1.063.174 ,43.924 ,6.380 ,37.544 ,252.975 ,0 ,0 ,14.246 ,0 ,1.406 ,237.323 ,145.840 ,145.840 ,620.435 ,26.832 ,43.899 ,10.683 ,539.021 ,0 ,894.467 ,894.467 ,0 ,0 ,20.681 ,6.994 ,467.305 ,273.360 ,38.579 ,538 ,87.010 ,105.838 ,105.838 ,4.394 ,0 ,92.205 ,0 ,0 ,0 ,0 ,9.239 ,0 ,210.941 
100.,MOZIRJE,2.533.254 ,572.580 ,162.118 ,23.068 ,333.463 ,46.737 ,11.405 ,53.735 ,1.135 ,1.365 ,131.397 ,12.289 ,8.020 ,8.534 ,58.847 ,39.113 ,39.113 ,0 ,0 ,0 ,14.818 ,1.075.880 ,60.361 ,309 ,60.053 ,171.102 ,0 ,2.712 ,0 ,0 ,0 ,168.390 ,120.159 ,120.159 ,724.257 ,65.515 ,20.184 ,13.600 ,624.958 ,0 ,781.965 ,781.965 ,0 ,0 ,24.645 ,0 ,648.656 ,79.377 ,3.059 ,0 ,26.227 ,102.829 ,102.829 ,2.562 ,0 ,61.234 ,0 ,0 ,13.562 ,2.504 ,22.968 ,0 ,39.417 
101.,MESTNA OBČINA MURSKA SOBOTA,11.031.577 ,2.139.113 ,685.666 ,97.229 ,1.219.513 ,161.363 ,5.337 ,238.391 ,19.275 ,24.483 ,536.638 ,37.719 ,0 ,31.113 ,165.194 ,90.440 ,79.340 ,0 ,11.100 ,0 ,46.265 ,4.938.124 ,415.945 ,0 ,415.945 ,282.207 ,0 ,0 ,0 ,0 ,23.681 ,258.525 ,795.510 ,795.510 ,3.444.463 ,525.534 ,164.259 ,383.968 ,2.370.702 ,0 ,3.126.298 ,3.126.298 ,11.818 ,0 ,125.839 ,0 ,2.609.535 ,172.797 ,94.362 ,0 ,111.947 ,828.042 ,828.042 ,0 ,0 ,137.707 ,83.459 ,0 ,0 ,0 ,606.877 ,0 ,-1.381.810 
102.,MUTA,1.620.881 ,231.698 ,66.817 ,9.464 ,140.127 ,43.870 ,10.653 ,20.856 ,267 ,3.409 ,7.190 ,134 ,0 ,0 ,53.747 ,11.451 ,3.781 ,0 ,7.670 ,0 ,3.839 ,654.578 ,18.599 ,0 ,18.599 ,350.204 ,0 ,0 ,0 ,0 ,5.901 ,344.304 ,67.397 ,67.397 ,218.378 ,0 ,0 ,0 ,218.378 ,0 ,643.494 ,643.494 ,8.496 ,0 ,21.019 ,476 ,495.397 ,65.048 ,8.759 ,0 ,44.300 ,91.112 ,91.112 ,0 ,0 ,24.140 ,0 ,0 ,0 ,22.788 ,44.183 ,0 ,23.848 
103.,NAKLO,2.136.930 ,508.742 ,88.220 ,12.339 ,388.666 ,74.729 ,28.126 ,29.394 ,1.081 ,3.864 ,184.243 ,20.748 ,0 ,3.055 ,43.428 ,0 ,0 ,0 ,0 ,0 ,19.517 ,627.750 ,36.113 ,0 ,36.113 ,333.079 ,0 ,4.044 ,17.518 ,0 ,0 ,311.517 ,130.396 ,130.396 ,128.163 ,0 ,0 ,0 ,128.163 ,0 ,865.657 ,865.657 ,0 ,0 ,34.836 ,288 ,322.137 ,313.883 ,152.412 ,0 ,42.101 ,134.781 ,134.781 ,0 ,0 ,11.684 ,72.175 ,0 ,0 ,0 ,50.922 ,0 ,321.269 
104.,NAZARJE,1.391.500 ,343.119 ,62.919 ,9.155 ,216.733 ,19.780 ,0 ,23.185 ,1.143 ,1.002 ,84.811 ,21.357 ,0 ,3.046 ,62.410 ,53.205 ,53.205 ,0 ,0 ,0 ,1.106 ,326.773 ,9.936 ,0 ,9.936 ,58.292 ,0 ,0 ,3.192 ,0 ,0 ,55.099 ,30.633 ,30.633 ,227.913 ,12.598 ,8.613 ,2.220 ,204.482 ,0 ,715.444 ,715.444 ,118.799 ,0 ,20.568 ,4.699 ,493.432 ,76.231 ,0 ,0 ,1.715 ,6.163 ,6.163 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.163 ,0 ,3.893 
105.,MESTNA OBČINA NOVA GORICA,23.507.424 ,6.079.344 ,1.280.145 ,183.062 ,4.489.947 ,518.703 ,142.560 ,1.408.112 ,65.757 ,16.404 ,1.081.714 ,197.016 ,190.340 ,62.356 ,806.985 ,234 ,234 ,0 ,0 ,0 ,125.956 ,7.634.844 ,596.219 ,235.098 ,361.121 ,830.608 ,0 ,0 ,0 ,0 ,16.103 ,814.505 ,1.156.047 ,1.156.047 ,5.051.970 ,393.365 ,127.942 ,245.781 ,4.284.881 ,0 ,4.155.129 ,4.155.129 ,39.576 ,20.844 ,125.972 ,32.232 ,2.445.255 ,213.616 ,643.244 ,0 ,634.389 ,5.638.107 ,5.638.107 ,610.633 ,463.195 ,465.799 ,2.143.983 ,0 ,0 ,0 ,1.954.498 ,0 ,1.253.021 
106.,MESTNA OBČINA NOVO MESTO,20.914.029 ,4.207.215 ,1.153.355 ,168.599 ,2.572.751 ,236.947 ,10.416 ,670.610 ,13.337 ,19.517 ,163.704 ,15.085 ,27.274 ,0 ,1.415.861 ,221.294 ,221.294 ,0 ,0 ,0 ,91.216 ,9.329.035 ,1.511.980 ,518.227 ,993.753 ,1.162.949 ,29.432 ,0 ,244.371 ,0 ,13.958 ,875.188 ,95.093 ,95.093 ,6.559.014 ,901.732 ,0 ,343.787 ,5.313.495 ,0 ,7.373.398 ,7.373.398 ,0 ,0 ,333.780 ,16.692 ,5.359.556 ,783.909 ,410.499 ,0 ,468.962 ,4.382 ,4.382 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.382 ,0 ,-1.877.199 
107.,ODRANCI,772.701 ,191.379 ,55.154 ,6.764 ,127.554 ,22.576 ,4.315 ,31.785 ,993 ,3.455 ,34.009 ,659 ,1.365 ,1.390 ,27.007 ,1.907 ,835 ,1.072 ,0 ,0 ,0 ,291.675 ,110.716 ,0 ,110.716 ,9.710 ,0 ,0 ,3.134 ,0 ,0 ,6.577 ,37.335 ,37.335 ,133.913 ,0 ,13.758 ,6.347 ,113.808 ,0 ,289.647 ,289.647 ,0 ,0 ,5.784 ,0 ,185.215 ,14.163 ,69.108 ,0 ,15.377 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-17.259 
