,, 50, 500, 5001, 5002, 5003, 5004, 55, 550, 5501, 5502, 5503, 5504, IX., X., XI., FI
,,,,,,,,,,,,,,,,STANJE SREDSTEV NA RAČUNIH OB KONCU PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE IZRAVNAVE IZ PRETEKLEGA LETA
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,
48.,HRPELJE - KOZINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,101.815 ,-101.815 ,0 ,0 
49.,IDRIJA,0 ,0 ,0 ,0 ,0 ,0 ,15.444 ,15.444 ,12.773 ,0 ,2.671 ,0 ,-24.620 ,17.530 ,409.072 ,0 
50.,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.268.173 ,-1.268.173 ,23.222 ,0 
51.,ILIRSKA BISTRICA,0 ,0 ,0 ,0 ,0 ,0 ,65.540 ,65.540 ,56.785 ,0 ,8.755 ,0 ,-178.272 ,228.368 ,1.713.053 ,0 
52.,IVANČNA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,12.197 ,12.197 ,0 ,0 ,12.197 ,0 ,570.885 ,-533.943 ,397.354 ,0 
53.,IZOLA,0 ,0 ,0 ,0 ,0 ,0 ,42.827 ,42.827 ,4.916 ,37.911 ,0 ,0 ,-1.514.626 ,1.758.087 ,2.606.389 ,0 
54.,JESENICE,0 ,0 ,0 ,0 ,0 ,0 ,23.936 ,23.936 ,0 ,0 ,23.936 ,0 ,-83.058 ,67.105 ,184.710 ,15.640 
55.,JEZERSKO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-37.410 ,51.277 ,58.250 ,0 
56.,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.323 ,-4.323 ,15.699 ,0 
57.,KAMNIK,0 ,0 ,0 ,0 ,0 ,0 ,129.624 ,129.624 ,129.624 ,0 ,0 ,0 ,262.231 ,-137.548 ,1.082.824 ,4.044 
58.,KANAL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-239.086 ,259.332 ,335.637 ,0 
59.,KIDRIČEVO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,893.565 ,-833.809 ,909.014 ,0 
60.,KOBARID,133.534 ,133.534 ,133.534 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-246 ,141.792 ,7.549 ,0 
61.,KOBILJE,20.865 ,20.865 ,20.865 ,0 ,0 ,0 ,42.468 ,42.468 ,42.468 ,0 ,0 ,0 ,-3.247 ,-18.357 ,0 ,0 
62.,KOČEVJE,250.376 ,250.376 ,250.376 ,0 ,0 ,0 ,99.182 ,99.182 ,99.182 ,0 ,0 ,0 ,297.204 ,-57.553 ,0 ,0 
63.,KOMEN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-36.688 ,36.688 ,7.741 ,0 
64.,KOMENDA,0 ,0 ,0 ,0 ,0 ,0 ,41.729 ,41.729 ,41.729 ,0 ,0 ,0 ,17.848 ,-4.690 ,19.838 ,3.726 
65.,MESTNA OBČINA KOPER,0 ,0 ,0 ,0 ,0 ,0 ,487.669 ,487.669 ,136.805 ,0 ,350.864 ,0 ,1.970.998 ,-2.389.831 ,2.446.378 ,0 
66.,KOSTEL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-146 ,146 ,0 ,0 
67.,KOZJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16.475 ,-16.475 ,7.340 ,0 
68.,MESTNA OBČINA KRANJ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.659.210 ,-1.852.249 ,655.037 ,0 
69.,KRANJSKA GORA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22.609 ,-168.607 ,164.347 ,0 
70.,KRIŽEVCI,0 ,0 ,0 ,0 ,0 ,0 ,12.752 ,12.752 ,12.752 ,0 ,0 ,0 ,-393.403 ,382.040 ,745.798 ,0 
71.,KRŠKO,751.127 ,751.127 ,751.127 ,0 ,0 ,0 ,507.591 ,507.591 ,505.033 ,0 ,2.558 ,0 ,-32.290 ,439.213 ,213.370 ,0 
72.,KUNGOTA,20.535 ,20.535 ,0 ,0 ,20.535 ,0 ,60.921 ,60.921 ,0 ,0 ,60.921 ,0 ,-2.349 ,-38.036 ,0 ,0 
73.,KUZMA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-51.114 ,56.543 ,0 ,0 
74.,LAŠKO,0 ,0 ,0 ,0 ,0 ,0 ,397.196 ,397.196 ,0 ,0 ,0 ,397.196 ,-10.729 ,-357.695 ,168.373 ,51.632 
75.,LENART,208.646 ,208.646 ,208.646 ,0 ,0 ,0 ,22.146 ,22.146 ,4.440 ,0 ,17.706 ,0 ,-8.609 ,195.109 ,6.731 ,0 
76.,LENDAVA,0 ,0 ,0 ,0 ,0 ,0 ,35.570 ,35.570 ,19.667 ,0 ,15.903 ,0 ,556.814 ,-589.914 ,76.335 ,0 
77.,LITIJA,125.651 ,125.651 ,0 ,0 ,125.651 ,0 ,114.714 ,114.714 ,114.714 ,0 ,0 ,0 ,-105.567 ,116.921 ,31.343 ,17.706 
78.,MESTNA OBČINA LJUBLJANA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10.174.437 ,20.021.461 ,17.024.808 ,0 
79.,LJUBNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-250.013 ,248.339 ,0 ,0 
80.,LJUTOMER,0 ,0 ,0 ,0 ,0 ,0 ,32.307 ,32.307 ,1.911 ,30.396 ,0 ,0 ,243.361 ,-275.668 ,0 ,0 
81.,LOGATEC,0 ,0 ,0 ,0 ,0 ,0 ,8.621 ,8.621 ,0 ,0 ,8.621 ,0 ,-49.503 ,67.660 ,200.789 ,10.207 
82.,LOŠKA DOLINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-135.941 ,135.941 ,104.791 ,0 
83.,LOŠKI POTOK,0 ,0 ,0 ,0 ,0 ,0 ,31.297 ,31.297 ,0 ,0 ,31.297 ,0 ,-5.283 ,-17.668 ,5.496 ,0 
84.,LOVRENC NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,1.773 ,1.773 ,0 ,0 ,1.773 ,0 ,-30.774 ,29.000 ,64.034 ,0 
85.,LUČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-797 ,3.718 ,10.253 ,0 
86.,LUKOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,199.437 ,-181.514 ,679.628 ,0 
87.,MAJŠPERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-81.756 ,68.403 ,0 ,0 
88.,MESTNA OBČINA MARIBOR,0 ,0 ,0 ,0 ,0 ,0 ,26.874 ,26.874 ,6.518 ,0 ,20.356 ,0 ,1.241.158 ,-1.006.581 ,6.725.167 ,0 
89.,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,311.042 ,-441.879 ,0 ,0 
90.,MEDVODE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,314.810 ,115.002 ,644.521 ,0 
91.,MENGEŠ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,150.363 ,-139.922 ,654.770 ,0 
92.,METLIKA,0 ,0 ,0 ,0 ,0 ,0 ,38.391 ,38.391 ,38.391 ,0 ,0 ,0 ,165.281 ,-203.672 ,172.275 ,0 
93.,MEŽICA,0 ,0 ,0 ,0 ,0 ,0 ,45.527 ,45.527 ,0 ,0 ,45.527 ,0 ,-21.453 ,-38.120 ,25.897 ,13.833 
94.,MIKLAVŽ NA DRAVSKEM POLJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54.899 ,-59.160 ,0 ,0 
95.,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18.069 ,-18.069 ,88.704 ,0 
96.,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,93.344 ,-93.344 ,184.806 ,0 
97.,MISLINJA,0 ,0 ,0 ,0 ,0 ,0 ,1.072 ,1.072 ,0 ,0 ,1.072 ,0 ,142.322 ,-142.693 ,20.151 ,7.215 
98.,MORAVČE,105.158 ,105.158 ,105.158 ,0 ,0 ,0 ,105.158 ,105.158 ,105.158 ,0 ,0 ,0 ,47.638 ,-38.249 ,30.467 ,0 
99.,MORAVSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,233.496 ,233.496 ,0 ,0 ,233.496 ,0 ,-30.625 ,-210.941 ,214.601 ,0 
100.,MOZIRJE,133.534 ,133.534 ,133.534 ,0 ,0 ,0 ,189.868 ,189.868 ,189.868 ,0 ,0 ,0 ,58 ,-39.417 ,4.665 ,0 
101.,MESTNA OBČINA MURSKA SOBOTA,584.210 ,584.210 ,584.210 ,0 ,0 ,0 ,143.657 ,143.657 ,99.545 ,0 ,44.112 ,0 ,-910.178 ,1.381.810 ,711.008 ,0 
102.,MUTA,0 ,0 ,0 ,0 ,0 ,0 ,25.092 ,25.092 ,15.761 ,0 ,9.331 ,0 ,317 ,-23.848 ,11.217 ,0 
103.,NAKLO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,336.659 ,-321.269 ,125.743 ,0 
104.,NAZARJE,0 ,0 ,0 ,0 ,0 ,0 ,54.248 ,54.248 ,54.248 ,0 ,0 ,0 ,1.627 ,-3.893 ,1.623 ,5.433 
105.,MESTNA OBČINA NOVA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,588.762 ,-1.253.021 ,307.762 ,0 
106.,MESTNA OBČINA NOVO MESTO,1.710.900 ,1.710.900 ,1.710.900 ,0 ,0 ,0 ,194.229 ,194.229 ,133.721 ,0 ,60.507 ,0 ,-66.708 ,1.877.199 ,92.359 ,0 
107.,ODRANCI,0 ,0 ,0 ,0 ,0 ,0 ,9.406 ,9.406 ,9.406 ,0 ,0 ,0 ,-22.951 ,17.259 ,54.820 ,426 
108.,OPLOTNICA,41.729 ,41.729 ,41.729 ,0 ,0 ,0 ,20.865 ,20.865 ,20.865 ,0 ,0 ,0 ,-2.103 ,22.968 ,96.837 ,0 
109.,ORMOŽ,1.168.419 ,1.168.419 ,1.168.419 ,0 ,0 ,0 ,1.043.194 ,1.043.194 ,963.316 ,0 ,0 ,79.878 ,-118.190 ,33.613 ,0 ,0 
110.,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3.489 ,3.489 ,10.812 ,421 
111.,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,28.263 ,28.263 ,28.263 ,0 ,0 ,0 ,-409.460 ,381.197 ,0 ,0 
