,,,,,,,,,,,- V EUR,,,,,- V EUR,
,,,50,500,5001,5002,5003,55,550,5501,5502,5503,IX.,X.,XI.,XII.,
,,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA,
,,,,,,,,,,,,,,,,,
,,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),,
,,,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,,
53.,37 ,OBČINA IG,"800.000,00 ","800.000,00 ","800.000,00 ","0,00 ","0,00 ","159.999,66 ","159.999,66 ","159.999,66 ","0,00 ","0,00 ","-123.004,68 ","640.000,34 ","3.534.483,07 ","4.944.855,58 ",
54.,38 ,OBČINA ILIRSKA BISTRICA,"1.034.657,00 ","1.034.657,00 ","1.034.657,00 ","0,00 ","0,00 ","153.308,74 ","153.308,74 ","136.699,68 ","0,00 ","16.609,06 ","556.120,76 ","881.348,26 ","325.227,50 ","2.883.181,00 ",
55.,39 ,OBČINA IVANČNA GORICA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.452,77 ","2.452,77 ","0,00 ","0,00 ","2.452,77 ","-336.559,55 ","-2.452,77 ","400.519,32 ","3.461.740,93 ",
56.,40 ,OBČINA IZOLA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","87.903,00 ","87.903,00 ","33.508,00 ","0,00 ","54.395,00 ","-690.341,00 ","-87.903,00 ","711.629,00 ","1.153.152,00 ",
57.,41 ,OBČINA JESENICE,"1.000.000,00 ","1.000.000,00 ","1.000.000,00 ","0,00 ","0,00 ","200.813,87 ","200.813,87 ","87.641,16 ","0,00 ","113.172,71 ","-743.045,17 ","799.186,13 ","1.542.231,30 ","3.646.871,35 ",
58.,163 ,OBČINA JEZERSKO,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","36.489,67 ","0,00 ","-35.463,12 ","222.579,53 ",
59.,42 ,OBČINA JURŠINCI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","15.648,36 ","15.648,36 ","15.648,36 ","0,00 ","0,00 ","30.058,86 ","-15.648,36 ","-45.707,22 ","97.822,00 ",
60.,43 ,OBČINA KAMNIK,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-2.967.527,72 ","0,00 ","2.918.066,50 ","3.845.643,00 ",
61.,44 ,OBČINA KANAL,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.917,59 ","2.917,59 ","0,00 ","0,00 ","2.917,59 ","207.955,83 ","-2.917,59 ","-210.873,42 ","561.740,00 ",
62.,45 ,OBČINA KIDRIČEVO,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","49.611,96 ","49.611,96 ","49.611,96 ","0,00 ","0,00 ","-806.997,34 ","-49.611,96 ","768.820,33 ","1.379.494,93 ",
63.,46 ,OBČINA KOBARID,"280.000,00 ","280.000,00 ","280.000,00 ","0,00 ","0,00 ","43.049,00 ","43.049,00 ","43.049,00 ","0,00 ","0,00 ","-307.206,00 ","236.951,00 ","544.728,00 ","330.039,18 ",
64.,47 ,OBČINA KOBILJE,"86.533,00 ","86.533,00 ","86.533,00 ","0,00 ","0,00 ","12.963,48 ","12.963,48 ","12.963,48 ","0,00 ","0,00 ","74.492,54 ","73.569,52 ","-923,02 ","1.406,64 ",
65.,48 ,OBČINA KOČEVJE,"3.000.000,00 ","3.000.000,00 ","3.000.000,00 ","0,00 ","0,00 ","116.304,72 ","116.304,72 ","116.304,72 ","0,00 ","0,00 ","2.202.979,92 ","2.883.695,28 ","711.962,50 ","-205.999,16 ",
66.,49 ,OBČINA KOMEN,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","34.473,12 ","34.473,12 ","34.473,12 ","0,00 ","0,00 ","-532.211,34 ","-34.473,12 ","497.738,22 ","9.631,00 ",
67.,164 ,OBČINA KOMENDA,"500.000,00 ","500.000,00 ","500.000,00 ","0,00 ","0,00 ","807.140,00 ","807.140,00 ","807.140,00 ","0,00 ","0,00 ","52.957,23 ","-307.140,00 ","189.902,77 ","56.720,00 ",
68.,50 ,MESTNA OBČINA KOPER,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-6.937.484,31 ","0,00 ","7.083.085,83 ","21.550.839,55 ",
69.,197 ,OBČINA KOSTANJEVICA NA KRKI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.695,57 ","0,00 ","-1.695,57 ","78.197,55 ",
70.,165 ,OBČINA KOSTEL,"790.000,00 ","790.000,00 ","790.000,00 ","0,00 ","0,00 ","780.095,83 ","780.095,83 ","780.095,83 ","0,00 ","0,00 ","12.289,72 ","9.904,17 ","-2.385,55 ","341,63 ",
71.,51 ,OBČINA KOZJE,"145.650,00 ","145.650,00 ","145.650,00 ","0,00 ","0,00 ","12.178,67 ","12.178,67 ","10.014,99 ","0,00 ","2.163,68 ","-43.360,36 ","133.471,33 ","169.051,52 ","169.442,00 ",
72.,52 ,MESTNA OBČINA KRANJ,"3.900.000,00 ","3.900.000,00 ","3.900.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-501.920,76 ","3.900.000,00 ","4.811.339,65 ","4.374.530,87 ",
73.,53 ,OBČINA KRANJSKA GORA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-86.635,08 ","0,00 ","86.635,08 ","2.396.793,00 ",
74.,166 ,OBČINA KRIŽEVCI,"277.000,00 ","277.000,00 ","277.000,00 ","0,00 ","0,00 ","28.053,48 ","28.053,48 ","0,00 ","0,00 ","28.053,48 ","-391.334,25 ","248.946,52 ","637.490,77 ","1.004.433,00 ",
75.,54 ,OBČINA KRŠKO,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","301.751,48 ","301.751,48 ","277.310,52 ","0,00 ","24.440,96 ","-501.952,00 ","-301.751,48 ","758.838,12 ","3.093.004,00 ",
76.,55 ,OBČINA KUNGOTA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","20.862,78 ","20.862,78 ","1.580,86 ","0,00 ","19.281,92 ","-1.260,97 ","-20.862,78 ","-19.601,81 ","794,44 ",
77.,56 ,OBČINA KUZMA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","32.099,44 ","32.099,44 ","32.099,44 ","0,00 ","0,00 ","19.635,31 ","-32.099,44 ","-32.319,78 ","10.822,07 ",
78.,57 ,OBČINA LAŠKO,"1.100.000,00 ","1.100.000,00 ","0,00 ","0,00 ","1.100.000,00 ","58.726,89 ","58.726,89 ","32.189,44 ","0,00 ","26.537,45 ","-214.363,13 ","1.041.273,11 ","1.256.618,54 ","431.026,95 ",
79.,58 ,OBČINA LENART,"3.953.000,00 ","3.953.000,00 ","3.953.000,00 ","0,00 ","0,00 ","136.348,49 ","136.348,49 ","0,00 ","129.007,53 ","7.340,96 ","1.959.191,26 ","3.816.651,51 ","1.924.227,07 ","82.200,00 ",
80.,59 ,OBČINA LENDAVA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","183.626,92 ","183.626,92 ","0,00 ","0,00 ","183.626,92 ","87.428,70 ","-183.626,92 ","-321.055,62 ","2.323.281,31 ",
81.,60 ,OBČINA LITIJA,"900.000,00 ","900.000,00 ","900.000,00 ","0,00 ","0,00 ","66.860,00 ","66.860,00 ","66.860,00 ","0,00 ","0,00 ","-262.531,31 ","833.140,00 ","1.437.535,19 ","380.608,43 ",
82.,61 ,MESTNA OBČINA LJUBLJANA,"49.999.772,00 ","49.999.772,00 ","49.999.772,00 ","0,00 ","0,00 ","2.807.839,89 ","2.807.839,89 ","1.633.551,77 ","0,00 ","1.174.288,12 ","-465.202,76 ","47.191.932,11 ","44.334.158,66 ","1.606.032,33 ",
83.,62 ,OBČINA LJUBNO,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-170.791,73 ","0,00 ","170.791,73 ","229.205,94 ",
84.,63 ,OBČINA LJUTOMER,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","125.169,00 ","125.169,00 ","125.169,00 ","0,00 ","0,00 ","-369.790,73 ","-125.169,00 ","232.321,73 ","411.155,00 ",
85.,64 ,OBČINA LOGATEC,"1.500.000,00 ","1.500.000,00 ","1.500.000,00 ","0,00 ","0,00 ","23.223,10 ","23.223,10 ","23.223,10 ","0,00 ","0,00 ","-89.438,88 ","1.476.776,90 ","1.566.215,78 ","551.679,33 ",
86.,208 ,OBČINA LOG-DRAGOMER,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-92.785,94 ","0,00 ","92.785,94 ","822.724,26 ",
87.,65 ,OBČINA LOŠKA DOLINA,"360.000,00 ","360.000,00 ","360.000,00 ","0,00 ","0,00 ","5.565,65 ","5.565,65 ","0,00 ","0,00 ","5.565,65 ","120.906,36 ","354.434,35 ","236.002,20 ","63.706,15 ",
