107.,ODRANCI,730.780 ,198.292 ,55.303 ,7.879 ,132.965 ,25.714 ,2.480 ,36.330 ,1.441 ,4.187 ,30.756 ,66 ,1.250 ,1.439 ,29.303 ,2.145 ,2.096 ,50 ,0 ,0 ,0 ,240.921 ,17.877 ,0 ,17.877 ,22.583 ,501 ,0 ,4.799 ,0 ,0 ,17.283 ,40.300 ,40.300 ,160.160 ,8.709 ,17.089 ,3.480 ,130.882 ,0 ,280.075 ,280.075 ,0 ,0 ,6.192 ,0 ,252.292 ,3.831 ,17.343 ,0 ,417 ,11.491 ,11.491 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.491 ,0 ,26.341 
108.,OPLOTNICA,1.480.442 ,481.627 ,124.203 ,13.462 ,332.778 ,61.421 ,3.292 ,90.248 ,146 ,5.066 ,130.008 ,9.068 ,0 ,2.612 ,30.917 ,10.820 ,10.820 ,0 ,0 ,0 ,363 ,537.727 ,16.078 ,0 ,16.078 ,314.972 ,0 ,0 ,0 ,0 ,5.646 ,309.326 ,92.543 ,92.543 ,114.134 ,3.839 ,22.530 ,9.923 ,77.842 ,0 ,386.839 ,386.839 ,4.590 ,0 ,7.941 ,0 ,318.987 ,36.484 ,13 ,0 ,18.824 ,74.249 ,74.249 ,13.533 ,0 ,22.534 ,0 ,0 ,0 ,0 ,38.182 ,0 ,-42.001 
109.,ORMOŽ,10.334.710 ,2.673.089 ,545.376 ,78.330 ,1.525.184 ,192.426 ,325 ,167.944 ,21.086 ,4.469 ,636.976 ,27.788 ,1.415 ,21.503 ,451.252 ,22.321 ,2.520 ,92 ,19.629 ,79 ,501.878 ,4.431.539 ,939.518 ,834.518 ,104.999 ,1.881.835 ,4.240 ,0 ,0 ,0 ,62.344 ,1.815.252 ,406.635 ,406.635 ,1.203.551 ,183.488 ,130.592 ,0 ,889.472 ,0 ,2.629.569 ,2.629.569 ,0 ,0 ,11.814 ,79.924 ,2.103.530 ,322.809 ,27.504 ,0 ,83.988 ,600.513 ,600.513 ,10.428 ,0 ,53.726 ,312.611 ,0 ,0 ,5.074 ,218.674 ,0 ,-1.128.397 
110.,OSILNICA,283.279 ,131.293 ,85.724 ,11.263 ,34.306 ,16.988 ,0 ,5.250 ,3.864 ,4.953 ,21 ,0 ,0 ,1.949 ,1.281 ,0 ,0 ,0 ,0 ,0 ,0 ,53.739 ,0 ,0 ,0 ,15.636 ,0 ,0 ,0 ,0 ,0 ,15.636 ,0 ,0 ,38.103 ,0 ,2.979 ,0 ,35.124 ,0 ,98.247 ,98.247 ,0 ,0 ,0 ,0 ,48.577 ,32.445 ,0 ,0 ,17.226 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23.256 
111.,PESNICA,3.459.977 ,1.012.711 ,230.738 ,27.262 ,746.495 ,63.958 ,8.479 ,58.087 ,87.177 ,2.253 ,368.240 ,1.152 ,0 ,8.408 ,148.740 ,6.130 ,6.130 ,0 ,0 ,0 ,2.086 ,1.004.427 ,72.893 ,0 ,72.893 ,14.618 ,0 ,1.081 ,2.825 ,0 ,0 ,10.712 ,48.135 ,48.135 ,868.782 ,484 ,111.926 ,705 ,755.667 ,0 ,1.356.001 ,1.356.001 ,16.692 ,0 ,20.890 ,0 ,912.139 ,222.409 ,125.405 ,0 ,58.467 ,86.839 ,86.839 ,0 ,0 ,76.139 ,0 ,0 ,0 ,0 ,10.699 ,0 ,146.983 
112.,PIRAN,12.906.072 ,3.552.854 ,1.164.818 ,167.956 ,2.152.228 ,310.253 ,30.316 ,179.757 ,40.319 ,24.866 ,242.785 ,76.840 ,663.132 ,58.375 ,525.584 ,32.457 ,32.457 ,0 ,0 ,0 ,35.395 ,6.081.994 ,209.656 ,0 ,209.656 ,2.235.704 ,0 ,0 ,97.663 ,0 ,0 ,2.138.040 ,905.625 ,905.625 ,2.730.771 ,130.433 ,130.437 ,176.168 ,2.293.732 ,238 ,2.075.363 ,2.075.363 ,14.109 ,0 ,194.204 ,1.135 ,1.557.445 ,156.255 ,21.503 ,0 ,130.713 ,1.195.860 ,1.195.860 ,10.820 ,52.975 ,0 ,0 ,0 ,0 ,42.593 ,1.089.472 ,0 ,424.149 
113.,PIVKA,3.053.864 ,902.228 ,196.925 ,27.437 ,631.130 ,71.691 ,447 ,67.113 ,11.192 ,8.980 ,374.099 ,9.698 ,2.016 ,7.803 ,78.092 ,0 ,0 ,0 ,0 ,0 ,46.737 ,1.076.052 ,74.591 ,3.484 ,71.107 ,199.800 ,0 ,13.437 ,3.789 ,0 ,0 ,182.574 ,102.466 ,102.466 ,699.195 ,46.027 ,29.778 ,25.768 ,597.621 ,0 ,992.647 ,992.647 ,0 ,0 ,13.099 ,29.461 ,375.029 ,435.136 ,58.797 ,0 ,81.126 ,82.937 ,82.937 ,4.657 ,53.589 ,8.751 ,0 ,0 ,0 ,0 ,15.941 ,0 ,-241.637 
114.,PODČETRTEK,2.001.623 ,407.219 ,107.545 ,15.285 ,257.853 ,89.021 ,3.697 ,7.770 ,2.182 ,3.943 ,68.574 ,17.384 ,0 ,3.526 ,61.755 ,26.536 ,922 ,1.352 ,24.261 ,0 ,0 ,808.438 ,0 ,0 ,0 ,137.127 ,0 ,0 ,0 ,0 ,0 ,137.127 ,56.639 ,56.639 ,614.672 ,136.012 ,28.760 ,0 ,449.900 ,0 ,644.179 ,644.179 ,0 ,0 ,11.668 ,7.470 ,601.995 ,0 ,2.270 ,0 ,20.777 ,141.788 ,141.788 ,82.177 ,0 ,39.017 ,20.593 ,0 ,0 ,0 ,0 ,0 ,-20.735 
115.,PODLEHNIK,1.821.207 ,227.821 ,83.667 ,15.252 ,128.902 ,87.682 ,2.550 ,13.541 ,1.402 ,0 ,14.601 ,2.946 ,0 ,0 ,6.180 ,0 ,0 ,0 ,0 ,0 ,0 ,340.198 ,41.608 ,35.883 ,5.725 ,150.430 ,3.718 ,0 ,0 ,0 ,0 ,146.712 ,30.525 ,30.525 ,117.635 ,0 ,32.933 ,0 ,84.702 ,0 ,1.253.188 ,1.253.188 ,0 ,0 ,0 ,0 ,1.026.486 ,214.034 ,0 ,0 ,12.669 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-52.249 
116.,PODVELKA,1.380.408 ,229.352 ,72.584 ,10.053 ,138.454 ,41.587 ,7.215 ,20.994 ,3.409 ,8.484 ,8.354 ,2.132 ,4.932 ,2.458 ,38.888 ,0 ,0 ,0 ,0 ,0 ,8.262 ,612.189 ,7.094 ,4.244 ,2.850 ,128.785 ,0 ,0 ,23.072 ,0 ,0 ,105.713 ,70.610 ,70.610 ,405.700 ,4.928 ,0 ,180.250 ,220.522 ,0 ,537.398 ,537.398 ,104.323 ,0 ,12.060 ,367 ,308.121 ,85.887 ,0 ,0 ,26.640 ,1.469 ,1.469 ,0 ,0 ,1.469 ,0 ,0 ,0 ,0 ,0 ,0 ,194.801 
117.,POLZELA,2.060.804 ,501.427 ,126.886 ,18.315 ,335.032 ,40.248 ,3.772 ,38.575 ,2.003 ,4.553 ,158.918 ,0 ,0 ,0 ,86.964 ,4.745 ,2.696 ,0 ,2.049 ,0 ,16.450 ,885.708 ,19.584 ,0 ,19.584 ,141.925 ,0 ,3.005 ,0 ,0 ,0 ,138.921 ,116.646 ,116.646 ,607.553 ,87.227 ,34.347 ,7.027 ,478.952 ,0 ,484.560 ,484.560 ,0 ,0 ,13.645 ,0 ,335.432 ,61.096 ,26.882 ,0 ,47.505 ,189.109 ,189.109 ,10.220 ,0 ,81.760 ,0 ,0 ,0 ,0 ,97.129 ,0 ,-10.236 
118.,POSTOJNA,6.380.033 ,1.892.610 ,374.099 ,52.312 ,1.435.182 ,118.632 ,88.161 ,177.362 ,5.846 ,1.753 ,699.670 ,138 ,83.112 ,15.144 ,245.364 ,30.846 ,21.970 ,0 ,8.876 ,0 ,171 ,2.737.736 ,58.429 ,0 ,58.429 ,1.312.406 ,0 ,18.778 ,15.098 ,0 ,25.017 ,1.253.514 ,457.148 ,457.148 ,909.752 ,154.102 ,77.537 ,67.831 ,610.282 ,0 ,1.244.133 ,1.244.133 ,116.454 ,19.112 ,27.383 ,154.336 ,663.358 ,82.891 ,9.665 ,0 ,170.936 ,505.554 ,505.554 ,145.764 ,0 ,90.778 ,188.604 ,0 ,0 ,0 ,80.408 ,0 ,-400.989 
119.,PREBOLD,1.750.179 ,478.255 ,125.951 ,12.360 ,331.497 ,40.536 ,15.553 ,61.659 ,3.785 ,2.771 ,142.848 ,0 ,0 ,3.655 ,60.691 ,0 ,0 ,0 ,0 ,0 ,8.446 ,625.255 ,20.760 ,0 ,20.760 ,96.390 ,0 ,0 ,5.638 ,0 ,0 ,90.753 ,154.231 ,154.231 ,353.872 ,0 ,33.183 ,2.938 ,317.752 ,0 ,633.742 ,633.742 ,0 ,0 ,10.971 ,0 ,357.328 ,232.332 ,0 ,0 ,33.112 ,12.928 ,12.928 ,0 ,0 ,4.173 ,8.755 ,0 ,0 ,0 ,0 ,0 ,90.056 
120.,PREDDVOR,2.426.915 ,371.870 ,85.987 ,14.155 ,264.906 ,69.012 ,0 ,26.047 ,2.725 ,3.797 ,82.661 ,664 ,0 ,4.377 ,75.622 ,225 ,225 ,0 ,0 ,0 ,6.597 ,472.012 ,13.241 ,0 ,13.241 ,249.858 ,0 ,1.173 ,747 ,0 ,0 ,247.939 ,51.811 ,51.811 ,157.102 ,0 ,11.388 ,0 ,145.714 ,0 ,1.486.108 ,1.486.108 ,0 ,0 ,789.776 ,0 ,312.410 ,74.120 ,241.617 ,4.173 ,64.013 ,96.925 ,96.925 ,0 ,0 ,19.062 ,4.695 ,0 ,0 ,0 ,73.168 ,0 ,2.646 
121.,PREVALJE,3.429.240 ,1.027.804 ,262.627 ,38.812 ,704.327 ,58.375 ,41.416 ,68.953 ,4.340 ,5.408 ,315.281 ,59.126 ,5.408 ,14.075 ,131.944 ,9.518 ,9.518 ,0 ,0 ,0 ,12.519 ,1.143.503 ,47.459 ,2.704 ,44.755 ,632.161 ,0 ,0 ,0 ,0 ,0 ,632.161 ,111.392 ,111.392 ,352.491 ,12.519 ,31.226 ,4.035 ,304.711 ,0 ,947.167 ,947.167 ,59.210 ,3.731 ,9.735 ,2.253 ,742.046 ,10.833 ,24.324 ,0 ,95.034 ,310.766 ,310.766 ,0 ,0 ,0 ,215.957 ,0 ,0 ,0 ,94.809 ,0 ,1.248.118 
122.,MESTNA OBČINA PTUJ,13.280.312 ,3.634.068 ,1.011.463 ,144.888 ,2.444.258 ,198.110 ,7.465 ,211.826 ,20.998 ,16.779 ,1.193.173 ,22.567 ,90.995 ,47.951 ,634.393 ,7.382 ,7.382 ,0 ,0 ,0 ,26.077 ,4.962.022 ,20.539 ,0 ,20.539 ,2.167.026 ,11.880 ,0 ,0 ,0 ,6.652 ,2.148.494 ,461.425 ,461.425 ,2.313.032 ,122.984 ,239.351 ,0 ,1.950.697 ,0 ,3.549.904 ,3.549.904 ,0 ,13.754 ,96.699 ,0 ,2.244.371 ,534.915 ,133.417 ,1.210 ,525.538 ,1.134.318 ,1.134.318 ,0 ,0 ,27.391 ,187.648 ,0 ,676.657 ,0 ,242.622 ,0 ,-446.253 
123.,PUCONCI,4.733.254 ,1.488.095 ,178.313 ,24.245 ,714.609 ,55.421 ,23.035 ,80.575 ,5.608 ,3.434 ,383.963 ,40.778 ,1.598 ,7.177 ,113.020 ,7.883 ,2.149 ,0 ,5.734 ,0 ,563.045 ,1.330.199 ,83.542 ,0 ,83.542 ,258.125 ,0 ,0 ,0 ,0 ,939 ,257.186 ,196.503 ,196.503 ,792.030 ,0 ,88.237 ,0 ,703.793 ,0 ,1.704.770 ,1.704.770 ,121.415 ,0 ,52.579 ,1.352 ,738.479 ,720.602 ,12.773 ,0 ,57.570 ,210.190 ,210.190 ,0 ,0 ,12.519 ,0 ,0 ,5.633 ,2.591 ,189.447 ,0 ,-635.887 
124.,RAČE - FRAM,2.987.986 ,665.820 ,162.978 ,22.705 ,479.511 ,66.775 ,0 ,83.296 ,9.748 ,5.008 ,249.032 ,0 ,0 ,6.410 ,59.243 ,0 ,0 ,0 ,0 ,0 ,626 ,968.186 ,102.737 ,20.981 ,81.756 ,130.045 ,0 ,0 ,0 ,0 ,0 ,130.045 ,119.838 ,119.838 ,615.565 ,1.043 ,43.390 ,0 ,571.132 ,0 ,1.151.419 ,1.151.419 ,0 ,0 ,12.327 ,0 ,706.727 ,378.893 ,0 ,0 ,53.472 ,202.562 ,202.562 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,202.562 ,0 ,-72.997 
125.,RADEČE,2.299.082 ,344.767 ,168.832 ,22.296 ,137.711 ,34.827 ,8.388 ,20.744 ,2.796 ,643 ,15.373 ,801 ,0 ,5.884 ,48.256 ,13.015 ,13.015 ,0 ,0 ,0 ,2.913 ,899.224 ,0 ,0 ,0 ,152.667 ,0 ,943 ,2.437 ,0 ,0 ,149.286 ,67.460 ,67.460 ,679.098 ,2.086 ,21.482 ,0 ,655.529 ,0 ,490.515 ,490.515 ,55.304 ,0 ,4.791 ,0 ,183.822 ,209 ,218.661 ,0 ,27.729 ,564.576 ,564.576 ,0 ,0 ,20.823 ,411.442 ,0 ,0 ,0 ,132.311 ,0 ,19.550 
126.,RADENCI,2.432.628 ,680.112 ,128.993 ,18.636 ,501.686 ,120.013 ,0 ,126.252 ,1.694 ,1.819 ,122.517 ,0 ,0 ,5.525 ,123.865 ,19.112 ,19.112 ,0 ,0 ,0 ,11.684 ,902.049 ,43.895 ,0 ,43.895 ,102.086 ,2.541 ,0 ,0 ,0 ,309 ,99.236 ,135.925 ,135.925 ,620.143 ,79.411 ,35.161 ,2.737 ,502.833 ,0 ,705.504 ,705.504 ,0 ,0 ,2.266 ,1.490 ,426.093 ,215.244 ,13.483 ,0 ,46.929 ,144.963 ,144.963 ,25.100 ,0 ,20.865 ,0 ,0 ,0 ,0 ,98.999 ,0 ,-9.326 
127.,RADLJE OB DRAVI,2.773.260 ,809.790 ,131.806 ,17.964 ,630.901 ,85.883 ,6.723 ,70.205 ,6.188 ,7.670 ,316.821 ,4.210 ,25.484 ,3.464 ,104.252 ,14.659 ,10.887 ,3.359 ,0 ,413 ,14.459 ,1.271.854 ,49.174 ,0 ,49.174 ,293.978 ,10.194 ,0 ,2.107 ,0 ,8.538 ,273.139 ,168.311 ,168.311 ,760.391 ,65.753 ,43.190 ,1.761 ,649.687 ,0 ,530.183 ,530.183 ,22.951 ,0 ,3.309 ,0 ,361.371 ,76.778 ,21 ,943 ,64.810 ,161.434 ,161.434 ,0 ,20.865 ,33.646 ,0 ,0 ,0 ,0 ,106.923 ,0 ,85.457 
128.,RADOVLJICA,9.378.242 ,1.388.232 ,424.804 ,62.177 ,867.868 ,241.925 ,1.586 ,156.497 ,11.221 ,2.091 ,24.841 ,1.072 ,9.602 ,24.165 ,394.867 ,0 ,0 ,0 ,0 ,0 ,33.383 ,3.961.626 ,142.564 ,18.294 ,124.270 ,352.654 ,0 ,19.892 ,51.878 ,0 ,11.338 ,269.546 ,541.725 ,541.725 ,2.924.683 ,238.837 ,0 ,0 ,2.685.845 ,0 ,2.874.683 ,2.874.683 ,340.361 ,0 ,8.116 ,0 ,1.689.317 ,261.409 ,132.006 ,0 ,443.474 ,1.153.701 ,1.153.701 ,402.349 ,0 ,299.516 ,221.449 ,0 ,73.932 ,4.081 ,152.374 ,0 ,-715.619 
129.,RAVNE NA KOROŠKEM,5.884.214 ,1.262.531 ,396.991 ,53.731 ,719.287 ,66.571 ,36.259 ,84.489 ,4.999 ,15.127 ,371.198 ,9.927 ,100 ,19.187 ,111.430 ,60.386 ,60.386 ,0 ,0 ,0 ,32.136 ,2.231.447 ,22.884 ,10.053 ,12.832 ,456.234 ,0 ,0 ,17.881 ,0 ,3.735 ,434.619 ,192.564 ,192.564 ,1.559.765 ,58.546 ,0 ,9.281 ,1.491.938 ,0 ,2.073.030 ,2.073.030 ,189.826 ,0 ,14.000 ,0 ,828.923 ,224.541 ,506.268 ,0 ,309.473 ,317.205 ,317.205 ,23.444 ,0 ,20.865 ,220.919 ,0 ,0 ,0 ,51.978 ,0 ,1.924.933 
130.,RAZKRIŽJE,631.668 ,128.180 ,46.311 ,6.606 ,71.720 ,6.485 ,0 ,20.485 ,3.610 ,3.405 ,12.744 ,0 ,0 ,1.369 ,23.623 ,0 ,0 ,0 ,0 ,0 ,3.543 ,268.828 ,38.287 ,9.343 ,28.943 ,40.160 ,0 ,0 ,0 ,0 ,0 ,40.160 ,19.671 ,19.671 ,170.710 ,0 ,5.830 ,684 ,164.196 ,0 ,199.065 ,199.065 ,0 ,0 ,32.716 ,759 ,161.847 ,0 ,1.669 ,0 ,2.074 ,35.595 ,35.595 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,35.595 ,0 ,32.941 
131.,RIBNICA,4.494.738 ,841.149 ,290.536 ,39.555 ,464.413 ,114.380 ,11.680 ,60.528 ,161.129 ,10.416 ,57.411 ,0 ,0 ,12.289 ,36.580 ,29.273 ,29.273 ,0 ,0 ,0 ,17.372 ,1.633.588 ,90.477 ,0 ,90.477 ,126.582 ,0 ,0 ,0 ,0 ,5.646 ,120.936 ,0 ,0 ,1.416.529 ,79.181 ,25.835 ,9.301 ,1.302.212 ,0 ,1.873.310 ,1.873.310 ,0 ,0 ,12.414 ,31.439 ,1.367.526 ,384.907 ,15.173 ,0 ,61.851 ,146.691 ,146.691 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,146.691 ,0 ,-118.553 
132.,RIBNICA NA POHORJU,642.297 ,111.451 ,29.732 ,4.010 ,72.713 ,15.010 ,7.303 ,11.079 ,1.815 ,4.415 ,872 ,250 ,0 ,851 ,31.118 ,71 ,71 ,0 ,0 ,0 ,4.924 ,348.498 ,13.412 ,8.713 ,4.699 ,45.426 ,0 ,0 ,1.289 ,0 ,0 ,44.137 ,52.387 ,52.387 ,237.273 ,509 ,10.057 ,113.228 ,113.479 ,0 ,172.596 ,172.596 ,0 ,0 ,2.262 ,876 ,33.187 ,119.901 ,0 ,0 ,16.370 ,9.752 ,9.752 ,9.752 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.515 
133.,ROGAŠKA SLATINA,5.288.641 ,735.182 ,300.046 ,40.177 ,345.585 ,60.966 ,19.208 ,27.249 ,5.120 ,7.824 ,127.354 ,9.781 ,0 ,14.468 ,73.615 ,4.853 ,0 ,4.853 ,0 ,0 ,44.521 ,2.634.014 ,84.735 ,63 ,84.673 ,292.301 ,21.670 ,0 ,32.386 ,1.828 ,1.394 ,235.023 ,181.631 ,181.631 ,2.075.346 ,258.580 ,94.976 ,0 ,1.721.791 ,0 ,1.892.589 ,1.892.589 ,0 ,8.346 ,4.916 ,2.036 ,1.739.468 ,71.236 ,36.676 ,0 ,29.912 ,26.857 ,26.857 ,0 ,0 ,26.857 ,0 ,0 ,0 ,0 ,0 ,0 ,33.296 
134.,ROGAŠOVCI,1.901.373 ,357.002 ,61.751 ,9.097 ,275.843 ,24.816 ,3.751 ,42.259 ,1.093 ,6.668 ,137.344 ,3.134 ,0 ,2.934 ,53.843 ,9.477 ,1.239 ,8.237 ,0 ,0 ,835 ,537.206 ,30.333 ,0 ,30.333 ,184.080 ,0 ,0 ,0 ,0 ,0 ,184.080 ,53.889 ,53.889 ,268.903 ,12.519 ,57.482 ,780 ,198.122 ,0 ,933.283 ,933.283 ,0 ,100 ,5.442 ,5.650 ,890.857 ,3.827 ,0 ,0 ,27.408 ,73.882 ,73.882 ,11.872 ,0 ,62.010 ,0 ,0 ,0 ,0 ,0 ,0 ,13.287 
135.,ROGATEC,2.132.457 ,364.914 ,104.603 ,12.694 ,229.382 ,57.182 ,22.676 ,39.054 ,6.143 ,2.921 ,51.769 ,3.213 ,0 ,3.259 ,43.165 ,8.045 ,0 ,0 ,8.045 ,0 ,10.190 ,635.812 ,19.709 ,0 ,19.709 ,88.420 ,0 ,0 ,0 ,0 ,0 ,88.420 ,69.316 ,69.316 ,458.367 ,0 ,28.714 ,20.535 ,409.118 ,0 ,1.016.867 ,1.016.867 ,58.275 ,0 ,5.454 ,0 ,876.557 ,12.786 ,10.528 ,0 ,53.267 ,114.864 ,114.864 ,41.729 ,1.043 ,43.557 ,0 ,0 ,0 ,0 ,28.534 ,0 ,-62.878 
136.,RUŠE,4.182.628 ,1.550.163 ,656.551 ,89.238 ,782.365 ,184.189 ,3.764 ,183.872 ,17.434 ,4.957 ,201.064 ,23.635 ,0 ,13.595 ,149.854 ,989 ,0 ,0 ,989 ,0 ,21.019 ,1.384.585 ,9.635 ,0 ,9.635 ,304.119 ,0 ,0 ,0 ,0 ,0 ,304.119 ,152.825 ,152.825 ,918.006 ,960 ,63.537 ,248.498 ,605.012 ,0 ,1.103.288 ,1.103.288 ,44.650 ,2.712 ,67.927 ,0 ,696.620 ,155.408 ,93.206 ,0 ,42.764 ,144.592 ,144.592 ,16.007 ,0 ,59.297 ,0 ,0 ,0 ,0 ,69.287 ,0 ,21.169 
137.,SELNICA OB DRAVI,2.104.825 ,776.169 ,213.506 ,29.225 ,516.244 ,103.267 ,0 ,57.782 ,3.027 ,2.475 ,245.685 ,665 ,0 ,8.389 ,94.955 ,15.108 ,15.108 ,0 ,0 ,0 ,2.086 ,923.973 ,42.417 ,0 ,42.417 ,300.423 ,0 ,0 ,0 ,0 ,0 ,300.423 ,71.765 ,71.765 ,509.369 ,0 ,44.769 ,20.175 ,444.425 ,0 ,330.639 ,330.639 ,208.620 ,0 ,27.585 ,0 ,4.479 ,2.998 ,55.205 ,0 ,31.751 ,74.044 ,74.044 ,0 ,0 ,33.383 ,0 ,0 ,0 ,0 ,40.661 ,0 ,-139.627 
138.,SEMIČ,2.071.925 ,416.713 ,121.111 ,16.900 ,255.320 ,40.953 ,0 ,40.936 ,4.478 ,2.495 ,93.499 ,3.113 ,0 ,5.671 ,64.175 ,11.113 ,8.680 ,0 ,2.433 ,0 ,12.268 ,693.770 ,45.114 ,0 ,45.114 ,418.807 ,209 ,0 ,83 ,0 ,5.621 ,412.894 ,100.384 ,100.384 ,129.465 ,0 ,22.584 ,0 ,106.881 ,0 ,333.404 ,333.404 ,21.282 ,0 ,7.098 ,3.889 ,237.239 ,8.233 ,15.523 ,0 ,40.139 ,628.038 ,628.038 ,0 ,0 ,40.699 ,450.117 ,0 ,0 ,0 ,137.223 ,0 ,5.304 
139.,SEVNICA,8.091.341 ,1.540.219 ,397.125 ,56.017 ,1.017.677 ,193.019 ,10.745 ,179.323 ,5.938 ,8.842 ,438.821 ,46.011 ,1.719 ,16.233 ,117.026 ,40.490 ,33.509 ,6.981 ,0 ,0 ,28.910 ,3.181.226 ,108.304 ,0 ,108.304 ,775.647 ,0 ,0 ,0 ,0 ,5.921 ,769.725 ,211.855 ,211.855 ,2.085.420 ,64.843 ,107.323 ,0 ,1.913.253 ,0 ,1.966.203 ,1.966.203 ,199.445 ,0 ,23.406 ,0 ,1.282.678 ,263.645 ,44.066 ,0 ,152.963 ,1.403.693 ,1.403.693 ,856.322 ,0 ,38.921 ,0 ,0 ,0 ,0 ,508.450 ,0 ,-461.755 
140.,SEŽANA,8.097.254 ,2.116.479 ,498.001 ,71.728 ,1.542.551 ,76.920 ,20.806 ,506.710 ,4.256 ,9.005 ,228.309 ,75.284 ,301.477 ,24.487 ,295.297 ,1.565 ,1.565 ,0 ,0 ,0 ,2.633 ,3.275.250 ,91.934 ,25.939 ,65.995 ,1.252.800 ,0 ,0 ,0 ,0 ,5.408 ,1.247.392 ,315.294 ,315.294 ,1.615.223 ,113.504 ,67.430 ,18.111 ,1.416.178 ,0 ,1.477.182 ,1.477.182 ,82.445 ,0 ,75.714 ,0 ,1.083.129 ,99.716 ,52.909 ,0 ,83.271 ,1.228.343 ,1.228.343 ,151.673 ,0 ,8.346 ,793.227 ,0 ,0 ,0 ,275.096 ,0 ,-1.180.942 
141.,MESTNA OBČINA SLOVENJ GRADEC,9.213.428 ,2.708.822 ,522.755 ,75.017 ,2.034.944 ,184.068 ,98.827 ,221.904 ,40.106 ,36.188 ,944.004 ,147.425 ,51.148 ,21.557 ,289.718 ,44.496 ,1.218 ,0 ,43.277 ,0 ,31.610 ,3.005.842 ,1.023.306 ,994.183 ,29.123 ,562.364 ,5.124 ,1.669 ,1.435 ,0 ,6.376 ,547.759 ,339.259 ,339.259 ,1.075.296 ,32.799 ,76.828 ,113.358 ,852.312 ,5.617 ,2.935.950 ,2.935.950 ,40.477 ,0 ,164.417 ,90.924 ,1.804.544 ,65.294 ,402.892 ,0 ,367.401 ,562.815 ,562.815 ,0 ,0 ,22.000 ,540.815 ,0 ,0 ,0 ,0 ,0 ,922.208 
142.,SLOVENSKA BISTRICA,12.879.882 ,2.214.868 ,627.938 ,87.803 ,1.388.412 ,156.789 ,76.002 ,375.772 ,18.849 ,21.219 ,586.818 ,11.334 ,0 ,25.989 ,115.640 ,36.538 ,36.538 ,0 ,0 ,0 ,74.178 ,5.773.978 ,114.818 ,0 ,114.818 ,2.815.202 ,0 ,0 ,17.522 ,0 ,39.326 ,2.758.354 ,511.826 ,511.826 ,2.332.132 ,418.098 ,195.118 ,303.555 ,1.415.361 ,0 ,3.598.039 ,3.598.039 ,0 ,0 ,95.890 ,860 ,2.783.454 ,155.529 ,164.501 ,14.689 ,383.116 ,1.292.998 ,1.292.998 ,797.321 ,0 ,126.519 ,0 ,0 ,0 ,0 ,369.158 ,0 ,-580.654 
143.,SLOVENSKE KONJICE,6.989.939 ,1.121.870 ,289.092 ,42.401 ,744.805 ,275.008 ,31.213 ,99.503 ,9.431 ,292 ,206.385 ,513 ,3.042 ,13.186 ,106.230 ,5.930 ,5.930 ,0 ,0 ,0 ,39.643 ,2.426.728 ,83.713 ,0 ,83.713 ,1.271.470 ,0 ,14.639 ,1.711 ,0 ,14.851 ,1.240.269 ,189.668 ,189.668 ,881.360 ,139.134 ,76.611 ,66.863 ,598.752 ,517 ,2.108.033 ,2.108.033 ,0 ,0 ,19.546 ,24.975 ,1.673.489 ,181.460 ,114.618 ,0 ,93.945 ,1.333.308 ,1.333.308 ,387.022 ,104.323 ,51.244 ,602.520 ,0 ,0 ,0 ,188.199 ,0 ,-176.769 
144.,SODRAŽICA,967.147 ,283.233 ,67.451 ,10.562 ,190.114 ,43.148 ,4.269 ,13.449 ,505 ,2.533 ,98.936 ,0 ,104 ,2.900 ,24.270 ,0 ,0 ,0 ,0 ,0 ,15.106 ,362.122 ,7.820 ,0 ,7.820 ,93.983 ,0 ,0 ,8.150 ,0 ,313 ,85.520 ,20.990 ,20.990 ,239.330 ,0 ,0 ,0 ,239.330 ,0 ,245.606 ,245.606 ,0 ,0 ,1.982 ,6.622 ,178.952 ,0 ,2.771 ,0 ,55.279 ,76.185 ,76.185 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,76.185 ,0 ,-31.952 
145.,SOLČAVA,510.724 ,153.288 ,44.922 ,4.640 ,103.055 ,8.463 ,2.370 ,17.201 ,213 ,2.587 ,55.512 ,255 ,0 ,1.294 ,15.160 ,672 ,0 ,0 ,672 ,0 ,0 ,165.235 ,20.998 ,2.579 ,18.419 ,75.751 ,0 ,0 ,1.757 ,0 ,0 ,73.994 ,63.499 ,63.499 ,4.987 ,1.836 ,3.042 ,109 ,0 ,0 ,180.821 ,180.821 ,0 ,0 ,2.124 ,0 ,136.793 ,18.845 ,0 ,776 ,22.283 ,11.380 ,11.380 ,1.669 ,0 ,0 ,9.710 ,0 ,0 ,0 ,0 ,0 ,65.390 
