65.,MESTNA OBČINA KOPER,70.932.021 ,40.610.637 ,33.329.655 ,17.484.429 ,17.484.429 ,13.937.419 ,11.472.584 ,0 ,278.331 ,2.186.504 ,1.907.807 ,50.746 ,0 ,1.857.062 ,0 ,0 ,7.280.982 ,4.162.942 ,507.654 ,1.335.256 ,2.320.032 ,127.784 ,127.784 ,123.348 ,123.348 ,4.584 ,4.584 ,2.862.324 ,2.862.324 ,26.571.938 ,738.517 ,738.308 ,209 ,0 ,0 ,0 ,25.833.422 ,0 ,25.833.422 ,0 ,34.295 ,31.378 ,17.008 ,14.370 ,2.917 ,0 ,2.917 ,0 ,0 ,0 ,0 ,3.715.151 ,3.715.151 ,3.518.293 ,192.894 ,0 ,3.964 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
66.,KOSTEL,885.891 ,239.931 ,201.949 ,152.491 ,152.491 ,21.728 ,10.954 ,0 ,3.810 ,6.965 ,27.729 ,0 ,0 ,27.729 ,0 ,0 ,37.982 ,6.234 ,0 ,71 ,6.163 ,1.352 ,1.352 ,217 ,217 ,7.958 ,7.958 ,22.221 ,22.221 ,238.086 ,225.300 ,225.300 ,0 ,0 ,0 ,0 ,12.786 ,11.296 ,1.490 ,0 ,22.054 ,22.054 ,22.054 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,385.820 ,385.820 ,385.820 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
67.,KOZJE,2.356.063 ,833.208 ,715.077 ,499.520 ,499.520 ,86.997 ,57.257 ,0 ,9.372 ,20.368 ,128.560 ,317 ,0 ,128.242 ,0 ,0 ,118.131 ,34.118 ,0 ,1.773 ,32.344 ,5.220 ,5.220 ,1.148 ,1.148 ,0 ,0 ,77.646 ,77.646 ,32.991 ,8.559 ,8.559 ,0 ,0 ,0 ,0 ,24.432 ,12.648 ,11.784 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.489.864 ,1.489.864 ,1.481.322 ,8.542 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
68.,MESTNA OBČINA KRANJ,39.256.827 ,31.466.932 ,26.355.291 ,18.913.957 ,18.913.957 ,5.969.825 ,4.404.463 ,1.428 ,102.544 ,1.461.389 ,1.471.508 ,106.499 ,0 ,1.365.010 ,0 ,0 ,5.111.641 ,2.354.887 ,84.052 ,225.438 ,2.045.397 ,78.067 ,78.067 ,309.513 ,309.513 ,204.203 ,204.203 ,2.164.971 ,2.164.971 ,5.424.251 ,1.083.746 ,1.083.637 ,0 ,108 ,0 ,0 ,4.340.505 ,5.166 ,4.335.339 ,0 ,17.910 ,13.583 ,13.583 ,0 ,4.327 ,0 ,4.327 ,0 ,0 ,0 ,0 ,2.347.734 ,2.318.670 ,2.075.235 ,243.435 ,0 ,0 ,0 ,29.065 ,0 ,0 ,0 ,29.065 ,0 ,0 ,0 ,0 
69.,KRANJSKA GORA,7.226.383 ,6.522.507 ,3.596.433 ,1.839.938 ,1.839.938 ,1.100.279 ,775.914 ,48 ,7.653 ,316.665 ,656.216 ,1.906 ,0 ,654.310 ,0 ,0 ,2.926.073 ,2.081.576 ,93.648 ,47.163 ,1.940.766 ,17.149 ,17.149 ,3.004 ,3.004 ,284.808 ,284.808 ,539.537 ,539.537 ,288.207 ,95.056 ,95.056 ,0 ,0 ,0 ,0 ,193.151 ,0 ,193.151 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,415.670 ,415.670 ,415.670 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
70.,KRIŽEVCI,1.966.382 ,1.031.031 ,836.364 ,670.209 ,670.209 ,54.866 ,30.603 ,0 ,4.448 ,19.815 ,111.289 ,523 ,0 ,110.766 ,0 ,0 ,194.668 ,89.387 ,1.936 ,36.504 ,50.947 ,5.812 ,5.812 ,1.486 ,1.486 ,4.932 ,4.932 ,93.050 ,93.050 ,13.645 ,1.050 ,1.050 ,0 ,0 ,0 ,0 ,12.595 ,0 ,12.595 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,921.706 ,921.706 ,904.253 ,17.453 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
71.,KRŠKO,23.982.490 ,17.425.300 ,10.569.600 ,7.084.894 ,7.084.894 ,2.395.798 ,2.135.699 ,17 ,41.433 ,218.649 ,1.088.858 ,7.653 ,0 ,1.081.205 ,50 ,50 ,6.855.700 ,715.486 ,42.288 ,47.818 ,625.380 ,55.646 ,55.646 ,11.659 ,11.659 ,111.213 ,111.213 ,5.961.697 ,5.961.697 ,793.912 ,344.371 ,337.110 ,7.261 ,0 ,0 ,0 ,449.541 ,43.119 ,406.422 ,0 ,42.501 ,42.501 ,42.501 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.720.777 ,5.574.449 ,5.151.139 ,0 ,0 ,423.310 ,0 ,146.328 ,0 ,0 ,0 ,146.328 ,0 ,0 ,0 ,0 
72.,KUNGOTA,2.540.181 ,1.487.256 ,1.254.473 ,995.902 ,995.902 ,148.794 ,76.494 ,234 ,1.398 ,70.669 ,109.777 ,246 ,0 ,109.531 ,0 ,0 ,232.783 ,68.749 ,3.605 ,1.903 ,63.241 ,8.847 ,8.847 ,2.024 ,2.024 ,0 ,0 ,153.163 ,153.163 ,43.006 ,1.072 ,1.072 ,0 ,0 ,0 ,0 ,41.934 ,0 ,41.934 ,0 ,2.817 ,2.817 ,2.383 ,434 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.007.102 ,1.007.102 ,942.330 ,0 ,0 ,64.772 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
73.,KUZMA,1.472.013 ,677.763 ,197.556 ,143.188 ,143.188 ,47.045 ,40.822 ,0 ,1.862 ,4.360 ,7.323 ,1.352 ,0 ,5.971 ,0 ,0 ,480.207 ,360.512 ,741 ,2.491 ,357.280 ,9.349 ,9.349 ,0 ,0 ,0 ,0 ,110.346 ,110.346 ,23.777 ,17.149 ,17.149 ,0 ,0 ,0 ,0 ,6.628 ,3.942 ,2.686 ,0 ,3.267 ,3.267 ,3.267 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,767.205 ,767.205 ,745.890 ,0 ,0 ,21.315 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
74.,LAŠKO,9.142.046 ,5.876.990 ,4.578.121 ,3.362.344 ,3.362.344 ,707.724 ,610.019 ,29 ,14.680 ,82.995 ,508.054 ,2.675 ,0 ,505.379 ,0 ,0 ,1.298.869 ,211.726 ,26.277 ,91.596 ,93.853 ,8.963 ,8.963 ,7.303 ,7.303 ,52.992 ,52.992 ,1.017.885 ,1.017.885 ,66.525 ,28.843 ,28.843 ,0 ,0 ,0 ,0 ,37.682 ,0 ,37.682 ,0 ,5.208 ,5.208 ,0 ,5.208 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.193.323 ,3.193.323 ,3.193.323 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
75.,LENART,9.111.250 ,5.012.056 ,3.857.319 ,2.523.961 ,2.523.961 ,709.135 ,559.126 ,0 ,5.709 ,144.300 ,624.224 ,10.749 ,0 ,613.474 ,0 ,0 ,1.154.736 ,190.694 ,9.560 ,8.692 ,172.442 ,7.361 ,7.361 ,4.753 ,4.753 ,0 ,0 ,951.928 ,951.928 ,1.168.311 ,225.467 ,225.467 ,0 ,0 ,0 ,0 ,942.843 ,0 ,942.843 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.930.884 ,2.930.884 ,2.918.837 ,0 ,0 ,12.047 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
76.,LENDAVA,10.417.235 ,4.415.441 ,3.715.628 ,2.573.528 ,2.573.528 ,571.155 ,401.433 ,1 ,7.074 ,162.647 ,570.944 ,8.823 ,0 ,562.121 ,0 ,0 ,699.813 ,209.108 ,1.756 ,111.017 ,96.336 ,11.536 ,11.536 ,19.763 ,19.763 ,56.383 ,56.383 ,403.023 ,403.023 ,1.193.192 ,36.964 ,36.964 ,0 ,0 ,0 ,355 ,1.155.874 ,297 ,1.155.577 ,0 ,85.923 ,85.923 ,85.923 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.722.680 ,3.282.134 ,3.279.445 ,2.689 ,0 ,0 ,0 ,1.440.546 ,847.289 ,0 ,593.257 ,0 ,0 ,0 ,0 ,0 
77.,LITIJA,10.259.973 ,6.223.444 ,5.383.083 ,3.769.617 ,3.769.617 ,1.143.845 ,850.200 ,501 ,45.293 ,247.851 ,469.621 ,22.204 ,0 ,447.417 ,0 ,0 ,840.361 ,540.511 ,29 ,57.732 ,482.749 ,22.455 ,22.455 ,5.750 ,5.750 ,2.671 ,2.671 ,268.974 ,268.974 ,1.247.588 ,6.034 ,6.034 ,0 ,0 ,0 ,0 ,1.241.554 ,12.994 ,1.228.560 ,0 ,54.578 ,54.578 ,54.578 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.734.364 ,2.734.364 ,2.728.476 ,5.888 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
78.,MESTNA OBČINA LJUBLJANA,224.002.262 ,215.082.720 ,190.251.857 ,135.886.805 ,135.886.805 ,47.048.393 ,33.013.712 ,10.800 ,1.425.643 ,12.598.239 ,7.316.658 ,735.057 ,0 ,6.581.602 ,0 ,0 ,24.830.863 ,11.440.448 ,295.990 ,1.877.020 ,9.267.439 ,1.144.262 ,1.144.262 ,2.327.900 ,2.327.900 ,669.563 ,669.563 ,9.248.690 ,9.248.690 ,3.154.202 ,455.166 ,455.166 ,0 ,0 ,0 ,0 ,2.699.036 ,4.319 ,2.694.717 ,0 ,58.271 ,23.715 ,20.769 ,2.946 ,34.556 ,34.556 ,0 ,0 ,0 ,0 ,0 ,5.707.069 ,5.707.069 ,5.514.814 ,192.255 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
79.,LJUBNO,1.918.837 ,677.833 ,607.257 ,449.942 ,449.942 ,56.447 ,40.269 ,0 ,7.703 ,8.475 ,100.868 ,1.114 ,0 ,99.754 ,0 ,0 ,70.577 ,44.329 ,0 ,4.398 ,39.931 ,4.891 ,4.891 ,0 ,0 ,0 ,0 ,21.357 ,21.357 ,9.973 ,2.041 ,2.041 ,0 ,0 ,0 ,0 ,7.933 ,0 ,7.933 ,0 ,751 ,751 ,0 ,751 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.230.279 ,1.230.279 ,1.227.566 ,2.712 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
80.,LJUTOMER,7.627.208 ,4.079.216 ,3.374.781 ,2.409.114 ,2.409.114 ,593.455 ,495.103 ,0 ,14.284 ,84.067 ,372.213 ,5.943 ,0 ,366.270 ,0 ,0 ,704.435 ,355.409 ,0 ,41.631 ,313.779 ,24.816 ,24.816 ,12.302 ,12.302 ,72.974 ,72.974 ,238.933 ,238.933 ,77.801 ,0 ,0 ,0 ,0 ,0 ,0 ,77.801 ,0 ,77.801 ,0 ,869 ,869 ,869 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.469.321 ,3.449.583 ,2.786.506 ,189.242 ,65.047 ,100.154 ,308.635 ,19.738 ,0 ,0 ,0 ,19.738 ,0 ,0 ,0 ,0 
81.,LOGATEC,8.941.852 ,6.331.365 ,4.701.227 ,3.571.312 ,3.571.312 ,779.238 ,446.313 ,306 ,23.071 ,309.548 ,350.678 ,3.750 ,0 ,346.928 ,0 ,0 ,1.630.138 ,1.053.768 ,130 ,36.452 ,1.017.187 ,21.662 ,21.662 ,9.394 ,9.394 ,51.073 ,51.073 ,494.241 ,494.241 ,971.892 ,74.487 ,74.487 ,0 ,0 ,0 ,0 ,897.405 ,0 ,897.405 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.638.594 ,1.638.594 ,1.638.594 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
82.,LOŠKA DOLINA,2.828.446 ,1.572.759 ,1.477.678 ,1.063.675 ,1.063.675 ,277.250 ,244.719 ,0 ,12.706 ,19.825 ,136.753 ,1.205 ,0 ,135.549 ,0 ,0 ,95.081 ,83.195 ,91 ,6.858 ,76.246 ,2.769 ,2.769 ,0 ,0 ,2.334 ,2.334 ,6.783 ,6.783 ,187.183 ,178.319 ,178.111 ,0 ,209 ,0 ,0 ,8.863 ,0 ,8.863 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.068.503 ,1.039.479 ,1.039.479 ,0 ,0 ,0 ,0 ,29.024 ,0 ,0 ,29.024 ,0 ,0 ,0 ,0 ,0 
83.,LOŠKI POTOK,2.028.426 ,544.613 ,481.589 ,352.049 ,352.049 ,48.832 ,23.514 ,0 ,7.595 ,17.722 ,80.709 ,476 ,0 ,80.233 ,0 ,0 ,63.024 ,9.068 ,0 ,3.438 ,5.629 ,1.561 ,1.561 ,0 ,0 ,910 ,910 ,51.486 ,51.486 ,203.309 ,29.210 ,29.210 ,0 ,0 ,0 ,0 ,174.099 ,16.550 ,157.549 ,0 ,626 ,626 ,626 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.279.878 ,1.279.878 ,1.256.067 ,21.670 ,2.141 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
84.,LOVRENC NA POHORJU,2.542.501 ,1.444.780 ,832.737 ,646.991 ,646.991 ,102.107 ,81.401 ,0 ,2.174 ,18.532 ,83.638 ,234 ,0 ,83.404 ,0 ,0 ,612.043 ,344.387 ,3.706 ,4.085 ,336.597 ,3.714 ,3.714 ,0 ,0 ,63.328 ,63.328 ,200.613 ,200.613 ,141.738 ,1.031 ,1.031 ,0 ,0 ,0 ,0 ,140.707 ,0 ,140.707 ,0 ,6.042 ,6.042 ,5.842 ,200 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,949.942 ,949.942 ,949.725 ,0 ,0 ,217 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
85.,LUČE,1.314.255 ,283.642 ,249.195 ,205.208 ,205.208 ,15.815 ,7.407 ,0 ,0 ,8.408 ,28.171 ,3.209 ,0 ,24.962 ,0 ,0 ,34.448 ,25.217 ,0 ,3.939 ,21.278 ,2.320 ,2.320 ,0 ,0 ,0 ,0 ,6.910 ,6.910 ,1.402 ,1.402 ,1.402 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.956 ,6.956 ,6.956 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.022.254 ,1.022.254 ,1.005.563 ,0 ,0 ,16.692 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
86.,LUKOVICA,3.813.812 ,2.467.547 ,1.717.263 ,1.199.215 ,1.199.215 ,347.446 ,177.220 ,0 ,6.485 ,163.741 ,170.602 ,5.346 ,0 ,165.256 ,0 ,0 ,750.284 ,131.693 ,192 ,79.390 ,52.112 ,3.113 ,3.113 ,3.493 ,3.493 ,80.512 ,80.512 ,531.472 ,531.472 ,278.159 ,2.717 ,2.466 ,0 ,250 ,0 ,0 ,275.442 ,0 ,275.442 ,0 ,104.323 ,104.323 ,104.323 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,963.783 ,963.783 ,956.001 ,7.783 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
87.,MAJŠPERK,2.963.186 ,1.173.151 ,798.744 ,756.176 ,756.176 ,-62.485 ,-94.137 ,0 ,1.331 ,30.320 ,105.053 ,42 ,0 ,105.012 ,0 ,0 ,374.407 ,228.368 ,113 ,27.825 ,200.430 ,3.213 ,3.213 ,2.783 ,2.783 ,67.238 ,67.238 ,72.805 ,72.805 ,83.016 ,65.252 ,65.252 ,0 ,0 ,0 ,0 ,17.764 ,1.778 ,15.986 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.707.019 ,1.664.906 ,1.505.984 ,110.044 ,0 ,0 ,48.877 ,42.113 ,0 ,0 ,14.372 ,27.742 ,0 ,0 ,0 ,0 
88.,MESTNA OBČINA MARIBOR,85.480.967 ,68.816.717 ,54.143.674 ,36.351.323 ,36.351.323 ,14.274.203 ,10.408.383 ,3.781 ,292.109 ,3.569.930 ,3.518.148 ,334.389 ,0 ,3.183.759 ,0 ,0 ,14.673.043 ,7.687.527 ,555.638 ,656.418 ,6.475.472 ,171.824 ,171.824 ,641.750 ,641.750 ,105.483 ,105.483 ,6.066.458 ,6.066.458 ,11.531.810 ,3.729.031 ,3.726.590 ,1.890 ,0 ,551 ,0 ,7.802.779 ,0 ,7.802.779 ,0 ,15.961 ,15.961 ,15.961 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.116.479 ,3.115.974 ,3.093.882 ,22.091 ,0 ,0 ,0 ,2.000.505 ,0 ,0 ,1.994.571 ,0 ,5.934 ,0 ,0 ,0 
89.,MARKOVCI,3.219.545 ,2.653.607 ,1.331.582 ,812.660 ,812.660 ,387.538 ,371.650 ,0 ,1.109 ,14.779 ,131.384 ,925 ,0 ,130.460 ,0 ,0 ,1.322.025 ,916.753 ,2.887 ,3.472 ,910.395 ,5.223 ,5.223 ,413 ,413 ,1.094 ,1.094 ,398.541 ,398.541 ,384.752 ,2.118 ,2.118 ,0 ,0 ,0 ,0 ,382.634 ,0 ,382.634 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,181.186 ,181.186 ,181.186 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
90.,MEDVODE,10.880.633 ,8.646.644 ,7.650.208 ,5.814.755 ,5.814.755 ,1.510.167 ,1.001.920 ,26 ,65.715 ,442.506 ,325.285 ,6.479 ,0 ,318.806 ,0 ,0 ,996.436 ,183.559 ,8.185 ,19.175 ,156.199 ,20.770 ,20.770 ,12.390 ,12.390 ,4.417 ,4.417 ,775.300 ,775.300 ,526.360 ,127.900 ,127.483 ,417 ,0 ,0 ,0 ,398.460 ,0 ,398.460 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.707.628 ,1.707.628 ,400.978 ,1.139.457 ,0 ,167.194 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
91.,MENGEŠ,4.031.295 ,3.852.647 ,3.184.356 ,2.440.490 ,2.440.490 ,576.281 ,384.172 ,252 ,8.499 ,183.358 ,167.584 ,6.688 ,0 ,160.896 ,0 ,0 ,668.290 ,180.540 ,35.670 ,30.181 ,114.689 ,5.062 ,5.062 ,3.223 ,3.223 ,5.679 ,5.679 ,473.787 ,473.787 ,19.706 ,14.330 ,14.330 ,0 ,0 ,0 ,0 ,5.377 ,0 ,5.377 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,158.942 ,158.942 ,158.942 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
92.,METLIKA,4.934.352 ,2.681.806 ,2.363.925 ,1.851.857 ,1.851.857 ,300.885 ,230.988 ,0 ,5.880 ,64.017 ,211.183 ,21.562 ,0 ,189.622 ,0 ,0 ,317.881 ,149.512 ,0 ,8.830 ,140.682 ,16.575 ,16.575 ,2.458 ,2.458 ,0 ,0 ,149.337 ,149.337 ,20.894 ,230 ,230 ,0 ,0 ,0 ,0 ,20.664 ,15.502 ,5.162 ,0 ,21.040 ,0 ,0 ,0 ,21.040 ,0 ,21.040 ,0 ,0 ,0 ,0 ,2.210.612 ,2.196.395 ,2.080.667 ,115.728 ,0 ,0 ,0 ,14.217 ,0 ,0 ,0 ,0 ,0 ,0 ,14.217 ,0 
93.,MEŽICA,2.449.061 ,1.615.978 ,1.265.991 ,1.080.621 ,1.080.621 ,112.606 ,77.333 ,0 ,8.183 ,27.091 ,72.763 ,426 ,0 ,72.338 ,0 ,0 ,349.987 ,314.572 ,2.262 ,1.477 ,310.833 ,2.207 ,2.207 ,559 ,559 ,0 ,0 ,32.649 ,32.649 ,287.093 ,68.636 ,68.553 ,0 ,83 ,0 ,0 ,218.457 ,0 ,218.457 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,545.990 ,545.990 ,545.990 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
94.,MIKLAVŽ NA DRAVSKEM POLJU,3.698.456 ,2.555.083 ,2.212.694 ,1.632.849 ,1.632.849 ,415.845 ,299.962 ,0 ,2.762 ,113.120 ,164.000 ,3.317 ,0 ,160.683 ,0 ,0 ,342.389 ,161.964 ,15.878 ,14.902 ,131.184 ,6.693 ,6.693 ,1.052 ,1.052 ,697 ,697 ,171.983 ,171.983 ,253.134 ,250 ,0 ,0 ,0 ,250 ,0 ,252.883 ,0 ,252.883 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,890.240 ,890.240 ,848.510 ,0 ,0 ,41.729 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
95.,MIREN - KOSTANJEVICA,3.410.758 ,2.616.596 ,1.881.660 ,1.529.937 ,1.529.937 ,192.743 ,118.820 ,0 ,17.556 ,56.368 ,158.980 ,1.085 ,0 ,157.895 ,0 ,0 ,734.936 ,683.146 ,4.027 ,2.537 ,676.582 ,3.668 ,3.668 ,376 ,376 ,0 ,0 ,47.747 ,47.747 ,124.866 ,110.608 ,110.608 ,0 ,0 ,0 ,0 ,14.259 ,772 ,13.487 ,0 ,102.157 ,102.157 ,92.660 ,9.498 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,567.138 ,567.138 ,546.211 ,19.675 ,0 ,1.252 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
96.,MIRNA PEČ,1.824.432 ,1.069.179 ,809.890 ,645.109 ,645.109 ,104.148 ,41.049 ,0 ,10.069 ,53.030 ,60.633 ,33 ,0 ,60.599 ,0 ,0 ,259.289 ,31.881 ,288 ,21.215 ,10.378 ,1.678 ,1.678 ,3.822 ,3.822 ,0 ,0 ,221.908 ,221.908 ,59.072 ,13.812 ,13.812 ,0 ,0 ,0 ,0 ,45.260 ,41.229 ,4.031 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,696.182 ,696.182 ,627.061 ,69.120 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
97.,MISLINJA,3.750.351 ,1.755.166 ,1.465.285 ,1.209.264 ,1.209.264 ,123.389 ,71.870 ,0 ,3.480 ,48.039 ,132.632 ,563 ,0 ,132.069 ,0 ,0 ,289.881 ,238.178 ,7.127 ,29.962 ,201.089 ,6.748 ,6.748 ,1.435 ,1.435 ,626 ,626 ,42.894 ,42.894 ,77.124 ,3.455 ,3.455 ,0 ,0 ,0 ,0 ,73.669 ,2.909 ,70.760 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.918.060 ,1.574.278 ,1.564.597 ,9.681 ,0 ,0 ,0 ,343.782 ,0 ,0 ,0 ,343.782 ,0 ,0 ,0 ,0 
98.,MORAVČE,2.958.872 ,1.824.604 ,1.489.922 ,1.117.017 ,1.117.017 ,231.668 ,161.225 ,0 ,14.338 ,56.105 ,141.237 ,1.031 ,0 ,140.206 ,0 ,0 ,334.681 ,118.494 ,30.571 ,17.889 ,70.034 ,9.009 ,9.009 ,1.327 ,1.327 ,7.574 ,7.574 ,198.277 ,198.277 ,112.953 ,109.823 ,109.823 ,0 ,0 ,0 ,0 ,3.130 ,0 ,3.130 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.021.315 ,1.021.315 ,1.021.315 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
99.,MORAVSKE TOPLICE,5.444.208 ,2.423.731 ,1.910.086 ,1.073.193 ,1.073.193 ,386.897 ,268.449 ,21 ,24.862 ,93.565 ,449.996 ,3.635 ,0 ,446.361 ,0 ,0 ,513.645 ,59.831 ,5.725 ,21.895 ,32.211 ,20.514 ,20.514 ,401 ,401 ,10.808 ,10.808 ,422.091 ,422.091 ,28.843 ,22.968 ,22.784 ,0 ,184 ,0 ,0 ,5.875 ,5.729 ,146 ,0 ,22.951 ,22.951 ,22.951 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.968.682 ,2.968.682 ,2.968.682 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
100.,MOZIRJE,5.017.476 ,2.773.948 ,1.938.762 ,1.588.921 ,1.588.921 ,202.612 ,110.962 ,134 ,4.069 ,87.448 ,147.229 ,3.943 ,0 ,143.286 ,0 ,0 ,835.186 ,95.364 ,217 ,3.522 ,91.625 ,9.281 ,9.281 ,2.687 ,2.687 ,460.770 ,460.770 ,267.084 ,267.084 ,625.818 ,445.518 ,442.042 ,0 ,3.476 ,0 ,0 ,180.300 ,173.890 ,6.410 ,0 ,12.519 ,12.519 ,12.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.605.191 ,1.605.191 ,1.494.713 ,110.478 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
101.,MESTNA OBČINA MURSKA SOBOTA,13.185.879 ,10.437.690 ,8.759.740 ,6.567.798 ,6.567.798 ,1.659.180 ,1.249.570 ,63 ,11.267 ,398.281 ,532.762 ,155.028 ,0 ,377.733 ,0 ,0 ,1.677.950 ,564.497 ,61.947 ,51.402 ,451.148 ,13.178 ,13.178 ,99.725 ,99.725 ,94.521 ,94.521 ,906.030 ,906.030 ,1.171.536 ,348.652 ,348.652 ,0 ,0 ,0 ,0 ,822.884 ,0 ,822.884 ,0 ,9.377 ,9.377 ,0 ,9.377 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.567.276 ,1.567.276 ,1.567.276 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
102.,MUTA,3.217.927 ,1.409.886 ,911.250 ,748.652 ,748.652 ,82.365 ,60.695 ,0 ,2.950 ,18.720 ,80.233 ,1.106 ,0 ,79.127 ,0 ,0 ,498.635 ,330.366 ,1.623 ,1.043 ,327.700 ,4.987 ,4.987 ,1.077 ,1.077 ,16.642 ,16.642 ,145.564 ,145.564 ,423.414 ,410.574 ,410.574 ,0 ,0 ,0 ,0 ,12.840 ,0 ,12.840 ,0 ,1.340 ,1.340 ,417 ,922 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.383.287 ,1.383.287 ,1.360.128 ,23.160 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
