,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,FI
,,,,,,,,,,,,,,,,STANJE SREDSTEV NA RAČUNIH OB KONCU PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE IZRAVNAVE IZ PRETEKLEGA LETA
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,
76.,LENDAVA,0 ,0 ,0 ,0 ,0 ,0 ,25.552 ,25.552 ,0 ,0 ,25.552 ,0 ,1.245.584 ,-1.268.630 ,1.049.019 ,0 
77.,LITIJA,0 ,0 ,0 ,0 ,0 ,0 ,18.337 ,18.337 ,1.958 ,0 ,16.379 ,0 ,364.382 ,-376.000 ,10.121 ,0 
78.,MESTNA OBČINA LJUBLJANA,8.345.852 ,8.345.852 ,8.345.852 ,0 ,0 ,0 ,562.615 ,562.615 ,562.615 ,0 ,0 ,0 ,-4.012.289 ,11.960.061 ,4.012.289 ,0 
79.,LJUBNO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-91.629 ,62.419 ,0 ,0 
80.,LJUTOMER,250.376 ,250.376 ,250.376 ,0 ,0 ,0 ,36.472 ,36.472 ,36.472 ,0 ,0 ,0 ,447.876 ,-233.973 ,25.993 ,0 
81.,LOGATEC,0 ,0 ,0 ,0 ,0 ,0 ,26.569 ,26.569 ,16.024 ,0 ,10.545 ,0 ,-19.859 ,-6.710 ,112.848 ,0 
82.,LOŠKA DOLINA,0 ,0 ,0 ,0 ,0 ,0 ,4.207 ,4.207 ,0 ,0 ,4.207 ,0 ,6.547 ,-5.472 ,26.118 ,0 
83.,LOŠKI POTOK,125.188 ,125.188 ,0 ,0 ,125.188 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,343.549 ,-218.361 ,89.526 ,0 
84.,LOVRENC NA POHORJU,0 ,0 ,0 ,0 ,0 ,0 ,2.508 ,2.508 ,0 ,0 ,2.508 ,0 ,-66.447 ,63.939 ,262.752 ,0 
85.,LUČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,158.867 ,-159.439 ,30.800 ,0 
86.,LUKOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-274.215 ,291.037 ,348.243 ,0 
87.,MAJŠPERK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,259.681 ,-264.134 ,837.669 ,0 
88.,MESTNA OBČINA MARIBOR,2.808.104 ,2.808.104 ,2.808.104 ,0 ,0 ,0 ,26.869 ,26.869 ,726 ,0 ,26.143 ,0 ,2.315.857 ,820.088 ,2.816.704 ,0 
89.,MARKOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,882.732 ,-882.732 ,598.786 ,0 
90.,MEDVODE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.331.172 ,1.343.361 ,533.004 ,0 
91.,MENGEŠ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-15.790 ,26.327 ,0 ,0 
92.,METLIKA,0 ,0 ,0 ,0 ,0 ,0 ,49.286 ,49.286 ,41.729 ,7.557 ,0 ,0 ,-441.003 ,391.299 ,946.799 ,0 
93.,MEŽICA,12.519 ,12.519 ,0 ,0 ,12.519 ,0 ,12.519 ,12.519 ,0 ,0 ,12.519 ,0 ,169.680 ,-169.680 ,530.567 ,0 
94.,MIKLAVŽ NA DRAVSKEM POLJU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,359.831 ,-359.831 ,0 ,0 
95.,MIREN - KOSTANJEVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-392 ,392 ,43.361 ,0 
96.,MIRNA PEČ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,60.823 ,-61.335 ,160.257 ,0 
97.,MISLINJA,0 ,0 ,0 ,0 ,0 ,0 ,576 ,576 ,0 ,0 ,576 ,0 ,205.500 ,-206.076 ,0 ,0 
98.,MORAVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,413.541 ,-406.393 ,278.084 ,0 
99.,MORAVSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,112.135 ,112.135 ,16.692 ,0 ,95.443 ,0 ,28.735 ,-103.322 ,89.910 ,1.878 
100.,MOZIRJE,50.075 ,50.075 ,0 ,0 ,50.075 ,0 ,55.291 ,55.291 ,55.291 ,0 ,0 ,0 ,16.266 ,3.505 ,11.680 ,0 
101.,MESTNA OBČINA MURSKA SOBOTA,0 ,0 ,0 ,0 ,0 ,0 ,232.315 ,232.315 ,158.826 ,0 ,73.489 ,0 ,-432.081 ,213.921 ,554.306 ,145.360 
102.,MUTA,0 ,0 ,0 ,0 ,0 ,0 ,11.822 ,11.822 ,1.264 ,0 ,10.558 ,0 ,-19.984 ,9.406 ,40.002 ,0 
103.,NAKLO,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,235.132 ,-218.369 ,299.541 ,0 
104.,NAZARJE,0 ,0 ,0 ,0 ,0 ,0 ,54.248 ,54.248 ,54.248 ,0 ,0 ,0 ,14.705 ,-81.602 ,15.815 ,0 
105.,MESTNA OBČINA NOVA GORICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,121.820 ,-503.409 ,283.984 ,0 
106.,MESTNA OBČINA NOVO MESTO,0 ,0 ,0 ,0 ,0 ,0 ,315.941 ,315.941 ,315.941 ,0 ,0 ,0 ,113.825 ,155.846 ,47.676 ,0 
107.,ODRANCI,0 ,0 ,0 ,0 ,0 ,0 ,10.577 ,10.577 ,10.577 ,0 ,0 ,0 ,191.928 ,-202.942 ,57.298 ,0 
108.,OPLOTNICA,41.729 ,41.729 ,41.729 ,0 ,0 ,0 ,76.506 ,76.506 ,76.506 ,0 ,0 ,0 ,21.774 ,-56.551 ,24.257 ,0 
109.,ORMOŽ,283.759 ,283.759 ,0 ,0 ,283.759 ,0 ,209.331 ,209.331 ,175.876 ,0 ,33.433 ,21 ,116.078 ,-112.210 ,0 ,0 
110.,OSILNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7.382 ,7.382 ,30.583 ,0 
111.,PESNICA,0 ,0 ,0 ,0 ,0 ,0 ,27.233 ,27.233 ,27.233 ,0 ,0 ,0 ,908.129 ,-935.361 ,0 ,0 
112.,PIRAN,0 ,0 ,0 ,0 ,0 ,0 ,144.938 ,144.938 ,0 ,0 ,144.938 ,0 ,-752.858 ,-3.907.991 ,0 ,0 
113.,PIVKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-11.488 ,10.445 ,50.472 ,0 
114.,PODČETRTEK,0 ,0 ,0 ,0 ,0 ,0 ,2.116 ,2.116 ,0 ,2.116 ,0 ,0 ,122.688 ,-123.185 ,0 ,0 
115.,PODLEHNIK,625.939 ,625.939 ,625.939 ,0 ,0 ,0 ,10.432 ,10.432 ,0 ,10.432 ,0 ,0 ,714.267 ,-98.761 ,0 ,0 
116.,PODVELKA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.970 ,4.198 ,0 ,0 
117.,POLZELA,0 ,0 ,0 ,0 ,0 ,0 ,2.804 ,2.804 ,0 ,0 ,2.804 ,0 ,9.377 ,-405 ,0 ,0 
