81.,LOGATEC,7.186.398 ,838.103 ,344.849 ,57.834 ,27.096 ,21.707 ,184 ,306 ,8.541 ,394.387 ,103.580 ,0 ,100.044 ,19.431 ,1.448 ,25.504 ,11.049 ,0 ,18.422 ,114.908 ,13.400 ,5.981 ,0 ,7.419 ,0 ,27.633 ,0 ,27.633 ,0 ,3.017.375 ,49.161 ,0 ,49.161 ,1.644.192 ,0 ,0 ,0 ,0 ,188 ,1.644.005 ,315.679 ,315.679 ,1.008.343 ,93.644 ,62.005 ,31.009 ,442.046 ,379.639 ,0 ,0 ,2.877.121 ,2.877.121 ,218.542 ,8.126 ,20.913 ,0 ,2.065.962 ,402.350 ,115.772 ,0 ,45.457 ,453.798 ,80.269 ,0 ,0 ,0 ,80.269 ,373.529 ,18.778 ,354.751 ,0 ,0 ,0 ,0 ,0 ,127.833 
82.,LOŠKA DOLINA,2.317.300 ,628.813 ,137.475 ,23.330 ,10.954 ,8.776 ,74 ,124 ,3.402 ,465.603 ,57.784 ,2.631 ,49.494 ,2.101 ,3.563 ,268.735 ,0 ,0 ,8.041 ,73.255 ,2.404 ,0 ,0 ,2.404 ,0 ,0 ,0 ,0 ,0 ,670.880 ,7.136 ,0 ,7.136 ,360.373 ,0 ,0 ,0 ,0 ,0 ,360.373 ,87.566 ,87.566 ,215.805 ,317 ,14.918 ,1.239 ,199.331 ,0 ,0 ,0 ,992.716 ,992.716 ,0 ,0 ,83.357 ,0 ,845.359 ,39.060 ,853 ,0 ,24.086 ,24.892 ,19.258 ,15.085 ,0 ,0 ,4.173 ,5.633 ,5.633 ,0 ,0 ,0 ,0 ,0 ,0 ,-5.463 
83.,LOŠKI POTOK,1.854.181 ,202.641 ,80.905 ,14.447 ,6.564 ,5.258 ,46 ,75 ,2.504 ,97.688 ,26.940 ,0 ,27.032 ,7.499 ,1.765 ,3.130 ,0 ,0 ,3.843 ,27.479 ,7.515 ,0 ,0 ,7.515 ,0 ,2.086 ,0 ,2.086 ,0 ,431.122 ,3.167 ,0 ,3.167 ,210.745 ,0 ,0 ,0 ,0 ,376 ,210.370 ,26.356 ,26.356 ,190.853 ,0 ,7.244 ,1.890 ,65.782 ,115.936 ,0 ,0 ,1.175.342 ,1.175.342 ,0 ,0 ,0 ,23.585 ,1.094.809 ,0 ,0 ,0 ,56.948 ,45.076 ,1.728 ,0 ,0 ,0 ,1.728 ,43.348 ,33.822 ,9.527 ,0 ,0 ,0 ,0 ,0 ,-523.552 
84.,LOVRENC NA POHORJU,2.087.857 ,669.926 ,204.048 ,33.342 ,16.174 ,12.924 ,109 ,184 ,3.952 ,422.096 ,86.179 ,209 ,40.240 ,3.777 ,8.809 ,243.428 ,430 ,0 ,8.216 ,30.809 ,2.929 ,0 ,0 ,2.929 ,0 ,7.511 ,0 ,7.511 ,0 ,663.449 ,18.449 ,0 ,18.449 ,336.488 ,0 ,0 ,0 ,0 ,0 ,336.488 ,75.075 ,75.075 ,233.438 ,0 ,33.100 ,438 ,194.621 ,5.279 ,0 ,0 ,666.057 ,666.057 ,9.811 ,0 ,25.880 ,0 ,476.911 ,64.338 ,17.071 ,0 ,72.046 ,88.424 ,13.562 ,0 ,0 ,0 ,13.562 ,74.862 ,14.814 ,60.048 ,0 ,0 ,0 ,0 ,0 ,225.125 
85.,LUČE,1.020.297 ,354.511 ,68.048 ,12.273 ,5.959 ,4.390 ,38 ,63 ,1.824 ,272.601 ,20.068 ,1.732 ,58.605 ,11.400 ,292 ,149.879 ,0 ,217 ,3.092 ,27.316 ,764 ,0 ,0 ,764 ,0 ,826 ,0 ,0 ,826 ,329.590 ,67.305 ,17.777 ,49.528 ,143.736 ,0 ,0 ,0 ,0 ,0 ,143.736 ,51.669 ,51.669 ,66.879 ,0 ,10.578 ,1.223 ,55.078 ,0 ,0 ,0 ,271.052 ,271.052 ,0 ,9.422 ,8.454 ,1.753 ,212.298 ,0 ,0 ,0 ,39.125 ,65.144 ,22.046 ,0 ,0 ,0 ,22.046 ,43.098 ,31.376 ,0 ,0 ,0 ,11.722 ,0 ,0 ,-42.547 
86.,LUKOVICA,2.469.538 ,927.262 ,310.078 ,52.996 ,24.850 ,19.909 ,167 ,280 ,7.791 ,560.791 ,77.228 ,68.265 ,85.587 ,45.105 ,4.064 ,174.666 ,0 ,793 ,15.953 ,89.130 ,0 ,0 ,0 ,0 ,0 ,3.397 ,3.397 ,0 ,0 ,1.071.082 ,16.834 ,0 ,16.834 ,624.708 ,0 ,14.902 ,7.703 ,0 ,11.546 ,590.557 ,96.762 ,96.762 ,332.778 ,61.980 ,41.562 ,2.954 ,225.075 ,0 ,1.206 ,0 ,368.211 ,368.211 ,0 ,0 ,35.891 ,0 ,244.938 ,10.950 ,542 ,0 ,75.889 ,102.984 ,24.086 ,2.086 ,0 ,0 ,22.000 ,78.898 ,30.379 ,0 ,0 ,0 ,0 ,48.519 ,0 ,183.037 
87.,MAJŠPERK,3.238.629 ,518.277 ,112.197 ,18.152 ,8.517 ,6.823 ,58 ,96 ,2.658 ,376.736 ,30.625 ,13.328 ,37.039 ,3.630 ,4.674 ,191.375 ,0 ,0 ,4.811 ,91.254 ,0 ,0 ,0 ,0 ,0 ,11.192 ,10.149 ,1.043 ,0 ,625.313 ,8.734 ,0 ,8.734 ,355.083 ,0 ,4.340 ,0 ,0 ,0 ,350.743 ,47.955 ,47.955 ,213.541 ,0 ,49.750 ,1.193 ,162.598 ,0 ,0 ,0 ,2.047.217 ,2.047.217 ,18.302 ,0 ,16.846 ,2.658 ,1.936.517 ,27.199 ,0 ,0 ,45.694 ,47.822 ,13.403 ,13.403 ,0 ,0 ,0 ,34.418 ,34.418 ,0 ,0 ,0 ,0 ,0 ,0 ,-529.357 
88.,MESTNA OBČINA MARIBOR,72.178.167 ,11.934.665 ,4.398.585 ,751.690 ,347.254 ,277.900 ,2.354 ,3.923 ,120.260 ,6.163.337 ,1.973.181 ,46.728 ,1.472.225 ,82.895 ,39.513 ,354.286 ,200.309 ,987.465 ,209.030 ,797.705 ,220.452 ,219.538 ,0 ,780 ,134 ,400.601 ,0 ,400.601 ,0 ,41.926.398 ,3.012.097 ,0 ,3.012.097 ,2.553.042 ,0 ,0 ,488 ,0 ,79.853 ,2.472.701 ,3.430.850 ,3.430.850 ,32.929.594 ,522.651 ,1.008.571 ,443.156 ,21.170.514 ,9.784.702 ,0 ,814 ,4.360.157 ,4.360.157 ,134.760 ,154.686 ,779.565 ,34.823 ,1.911.964 ,699.979 ,202.971 ,61.930 ,379.478 ,13.956.948 ,3.590.477 ,0 ,349.099 ,0 ,3.241.379 ,10.366.471 ,404.115 ,9.936.092 ,0 ,12.882 ,13.383 ,0 ,0 ,-3.717.952 
89.,MARKOVCI,2.566.892 ,692.643 ,102.742 ,46.753 ,25.764 ,17.184 ,221 ,230 ,3.355 ,540.928 ,38.412 ,4.273 ,55.483 ,6.660 ,968 ,214.689 ,2.199 ,0 ,5.383 ,212.861 ,0 ,0 ,0 ,0 ,0 ,2.220 ,1.256 ,964 ,0 ,953.468 ,22.509 ,0 ,22.509 ,284.143 ,0 ,0 ,3.777 ,0 ,88 ,280.279 ,412.177 ,412.177 ,234.639 ,2.086 ,47.897 ,0 ,184.656 ,0 ,0 ,0 ,832.904 ,832.904 ,0 ,0 ,11.517 ,14.701 ,789.497 ,8.204 ,534 ,0 ,8.450 ,87.878 ,87.878 ,11.259 ,0 ,53.731 ,22.889 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-34.681 
90.,MEDVODE,8.779.795 ,2.210.320 ,408.058 ,67.810 ,32.386 ,25.947 ,221 ,367 ,8.888 ,1.683.358 ,88.524 ,30.980 ,159.569 ,14.301 ,15.711 ,866.896 ,8.788 ,58 ,22.968 ,475.563 ,9.368 ,9.368 ,0 ,0 ,0 ,41.725 ,20.860 ,20.865 ,0 ,2.914.447 ,92.672 ,37.556 ,55.116 ,1.116.508 ,0 ,17.693 ,0 ,0 ,0 ,1.098.815 ,390.711 ,390.711 ,1.312.677 ,156.923 ,108.638 ,0 ,1.047.117 ,0 ,0 ,1.878 ,2.212.377 ,2.212.377 ,50.075 ,17.055 ,89.221 ,0 ,1.560.345 ,57.365 ,254.044 ,0 ,184.272 ,1.442.651 ,1.432.315 ,4.173 ,0 ,0 ,1.428.142 ,10.336 ,10.336 ,0 ,0 ,0 ,0 ,0 ,0 ,-194.329 
91.,MENGEŠ,3.742.122 ,970.547 ,226.714 ,38.671 ,19.200 ,13.910 ,118 ,251 ,5.193 ,705.161 ,148.754 ,15.013 ,85.253 ,3.517 ,4.877 ,313.313 ,5.438 ,0 ,0 ,128.995 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.432.867 ,4.750 ,166 ,4.584 ,869.164 ,760 ,10.182 ,0 ,0 ,11.784 ,846.438 ,482.199 ,482.199 ,76.754 ,1.660 ,39.275 ,2.459 ,33.361 ,0 ,0 ,0 ,1.296.503 ,1.296.503 ,0 ,0 ,75.037 ,20 ,772.749 ,331.519 ,9.192 ,0 ,107.986 ,42.205 ,42.205 ,0 ,0 ,0 ,42.205 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,569.637 
92.,METLIKA,4.777.650 ,1.137.377 ,222.813 ,38.721 ,17.852 ,14.301 ,121 ,200 ,6.247 ,834.940 ,204.160 ,1.577 ,247.634 ,7.411 ,10.946 ,227.220 ,2.516 ,0 ,9.777 ,123.698 ,11.693 ,7.077 ,4.603 ,13 ,0 ,29.210 ,0 ,29.210 ,0 ,1.710.587 ,64.847 ,0 ,64.847 ,769.730 ,0 ,0 ,164.267 ,0 ,1.531 ,603.931 ,212.907 ,212.907 ,663.103 ,131.698 ,65.715 ,0 ,465.690 ,0 ,0 ,0 ,1.599.316 ,1.599.316 ,0 ,3.418 ,310.424 ,12.519 ,1.148.131 ,83.922 ,2.591 ,0 ,38.312 ,330.371 ,191.441 ,148.318 ,0 ,0 ,43.123 ,138.929 ,41.971 ,86.526 ,0 ,0 ,10.432 ,0 ,0 ,-185.462 
93.,MEŽICA,2.000.013 ,628.489 ,124.391 ,21.678 ,10.032 ,8.037 ,67 ,113 ,3.430 ,476.160 ,45.184 ,38.266 ,62.114 ,2.771 ,1.502 ,231.827 ,12.732 ,6.677 ,5.780 ,69.308 ,0 ,0 ,0 ,0 ,0 ,6.259 ,2.086 ,4.173 ,0 ,839.914 ,39.797 ,0 ,39.797 ,351.127 ,0 ,0 ,4.311 ,1.953 ,0 ,344.863 ,164.205 ,164.205 ,284.786 ,0 ,29.448 ,580 ,254.757 ,0 ,0 ,0 ,46.733 ,46.733 ,0 ,0 ,3.088 ,0 ,11.359 ,0 ,26.936 ,985 ,4.365 ,484.877 ,69.846 ,12.540 ,0 ,0 ,57.307 ,415.031 ,0 ,415.031 ,0 ,0 ,0 ,0 ,0 ,-149.015 
94.,MIKLAVŽ NA DRAVSKEM POLJU,5.998.439 ,1.392.581 ,265.736 ,44.776 ,22.137 ,16.713 ,142 ,242 ,5.542 ,1.082.069 ,178.476 ,1.260 ,112.143 ,4.448 ,5.233 ,154.644 ,93.908 ,2.316 ,13.328 ,516.312 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,880.959 ,53.989 ,0 ,53.989 ,540.569 ,0 ,918 ,3.276 ,0 ,3.255 ,533.121 ,103.664 ,103.664 ,182.737 ,0 ,32.799 ,1.473 ,145.556 ,2.909 ,0 ,0 ,3.371.545 ,3.371.545 ,0 ,0 ,24.787 ,9.030 ,3.105.529 ,68.782 ,56.272 ,0 ,107.144 ,353.355 ,242.076 ,19.229 ,0 ,0 ,222.847 ,111.279 ,34.998 ,76.281 ,0 ,0 ,0 ,0 ,0 ,-296.094 
95.,MIREN - KOSTANJEVICA,3.103.251 ,536.467 ,159.539 ,26.248 ,12.164 ,9.698 ,79 ,138 ,4.169 ,336.989 ,35.754 ,221 ,59.873 ,9.652 ,1.540 ,110.825 ,2.687 ,0 ,6.109 ,110.328 ,0 ,0 ,0 ,0 ,0 ,13.691 ,0 ,13.691 ,0 ,986.855 ,21.499 ,0 ,21.499 ,580.988 ,0 ,11.517 ,14.380 ,0 ,0 ,555.091 ,113.374 ,113.374 ,270.994 ,36.780 ,29.615 ,47.029 ,157.570 ,0 ,0 ,0 ,1.339.142 ,1.339.142 ,0 ,0 ,15.982 ,0 ,1.291.905 ,1.068 ,0 ,0 ,30.187 ,240.786 ,150.651 ,85.637 ,0 ,0 ,65.014 ,90.135 ,90.135 ,0 ,0 ,0 ,0 ,0 ,0 ,23.218 
96.,MIRNA PEČ,1.220.681 ,298.932 ,77.045 ,11.693 ,5.475 ,4.357 ,38 ,88 ,1.736 ,208.108 ,14.434 ,0 ,22.517 ,2.011 ,1.744 ,87.243 ,8.625 ,0 ,3.025 ,68.507 ,0 ,0 ,0 ,0 ,0 ,2.086 ,0 ,2.086 ,0 ,617.067 ,45.739 ,0 ,45.739 ,396.595 ,0 ,0 ,0 ,0 ,0 ,396.595 ,50.538 ,50.538 ,124.195 ,0 ,11.033 ,0 ,112.085 ,1.077 ,0 ,0 ,178.505 ,178.505 ,0 ,0 ,4.836 ,0 ,81.819 ,52.725 ,7.674 ,0 ,31.451 ,126.177 ,30.433 ,13.725 ,0 ,0 ,16.708 ,95.744 ,11.476 ,84.268 ,0 ,0 ,0 ,0 ,0 ,207.232 
97.,MISLINJA,2.417.188 ,606.430 ,115.686 ,19.579 ,9.226 ,7.365 ,63 ,104 ,2.821 ,470.877 ,54.624 ,1.285 ,40.920 ,7.657 ,1.193 ,273.527 ,3.777 ,0 ,5.533 ,82.361 ,288 ,0 ,0 ,288 ,0 ,0 ,0 ,0 ,0 ,854.907 ,22.104 ,0 ,22.104 ,412.465 ,0 ,0 ,4.553 ,0 ,0 ,407.912 ,112.723 ,112.723 ,307.616 ,0 ,23.602 ,12.423 ,271.591 ,0 ,0 ,0 ,753.522 ,753.522 ,0 ,15.235 ,33.342 ,0 ,476.803 ,112.197 ,0 ,0 ,115.945 ,202.328 ,74.441 ,4.173 ,0 ,39.643 ,30.625 ,127.888 ,11.267 ,116.621 ,0 ,0 ,0 ,0 ,0 ,10.048 
98.,MORAVČE,3.036.012 ,630.767 ,179.261 ,30.696 ,13.904 ,11.138 ,96 ,159 ,5.400 ,412.465 ,72.275 ,26.118 ,54.219 ,6.948 ,1.473 ,176.669 ,4.970 ,0 ,7.766 ,62.026 ,0 ,0 ,0 ,0 ,0 ,8.346 ,0 ,8.346 ,0 ,752.742 ,53.163 ,0 ,53.163 ,377.550 ,0 ,0 ,6.551 ,0 ,0 ,370.998 ,75.697 ,75.697 ,246.332 ,3.872 ,26.577 ,267 ,215.615 ,0 ,0 ,0 ,1.480.521 ,1.480.521 ,0 ,0 ,29.928 ,0 ,1.325.572 ,17.351 ,3.973 ,0 ,103.697 ,171.983 ,34.414 ,0 ,0 ,0 ,34.414 ,137.569 ,42.188 ,56.347 ,0 ,14.188 ,24.846 ,0 ,0 ,-609.126 
99.,MORAVSKE TOPLICE,4.848.548 ,1.060.512 ,204.327 ,34.356 ,16.145 ,12.936 ,109 ,179 ,4.987 ,776.494 ,183.137 ,9.752 ,117.138 ,6.718 ,4.778 ,333.880 ,3.109 ,0 ,10.570 ,107.411 ,25.396 ,0 ,647 ,24.750 ,0 ,19.938 ,6.460 ,13.479 ,0 ,1.384.260 ,21.319 ,10.119 ,11.200 ,442.810 ,0 ,0 ,0 ,0 ,0 ,442.810 ,183.150 ,183.150 ,736.980 ,27.187 ,79.586 ,3.313 ,626.895 ,0 ,0 ,0 ,2.163.587 ,2.163.587 ,113.754 ,20.447 ,16.763 ,7.411 ,1.787.031 ,4.824 ,47.684 ,0 ,165.674 ,240.189 ,164.851 ,51.615 ,88.020 ,0 ,25.217 ,75.338 ,75.338 ,0 ,0 ,0 ,0 ,0 ,0 ,153.547 
100.,MOZIRJE,3.532.586 ,795.731 ,192.339 ,33.646 ,15.427 ,12.360 ,104 ,175 ,5.579 ,527.387 ,72.626 ,14.192 ,60.382 ,2.070 ,1.557 ,238.629 ,7.011 ,2.746 ,10.825 ,117.351 ,24.549 ,5.012 ,14.989 ,4.548 ,0 ,17.810 ,17.268 ,0 ,542 ,1.369.746 ,80.475 ,192 ,80.283 ,221.983 ,0 ,6.030 ,0 ,0 ,0 ,215.953 ,150.951 ,150.951 ,916.337 ,80.688 ,32.716 ,5.400 ,797.534 ,0 ,0 ,0 ,1.146.061 ,1.146.061 ,0 ,0 ,4.957 ,8.379 ,964.301 ,115.820 ,21.023 ,0 ,31.581 ,221.048 ,154.557 ,52.996 ,0 ,0 ,101.561 ,66.491 ,27.149 ,15.077 ,0 ,18.841 ,5.425 ,0 ,0 ,-165.636 
101.,MESTNA OBČINA MURSKA SOBOTA,10.010.808 ,2.765.002 ,821.086 ,148.360 ,68.949 ,55.237 ,467 ,780 ,22.926 ,1.684.510 ,173.886 ,4.832 ,313.349 ,35.023 ,11.980 ,788.562 ,29.219 ,555 ,41.704 ,285.399 ,88.808 ,79.653 ,0 ,9.155 ,0 ,22.238 ,22.238 ,0 ,0 ,4.909.614 ,44.663 ,0 ,44.663 ,1.747.029 ,0 ,0 ,0 ,0 ,77.157 ,1.669.871 ,944.513 ,944.513 ,2.173.410 ,0 ,268.582 ,0 ,1.904.828 ,0 ,0 ,0 ,1.522.530 ,1.522.530 ,0 ,0 ,85.336 ,0 ,963.675 ,186.496 ,152.575 ,0 ,134.448 ,813.662 ,245.322 ,0 ,0 ,0 ,245.322 ,568.340 ,17.631 ,550.709 ,0 ,0 ,0 ,0 ,0 ,458.634 
102.,MUTA,1.895.393 ,329.999 ,86.651 ,15.106 ,6.952 ,5.567 ,46 ,79 ,2.462 ,191.274 ,50.213 ,21.194 ,22.705 ,3.088 ,359 ,43.962 ,71 ,0 ,4.411 ,45.272 ,7.920 ,92 ,0 ,7.828 ,0 ,29.048 ,4.010 ,25.038 ,0 ,922.505 ,21.486 ,0 ,21.486 ,219.750 ,0 ,0 ,0 ,0 ,7.866 ,211.884 ,83.025 ,83.025 ,598.243 ,3.751 ,32.173 ,0 ,340.728 ,217.255 ,4.336 ,0 ,600.822 ,600.822 ,8.350 ,4.306 ,5.971 ,2.896 ,452.658 ,12.193 ,23.239 ,0 ,91.208 ,42.067 ,15.769 ,0 ,0 ,0 ,15.769 ,26.298 ,7.707 ,0 ,0 ,0 ,18.590 ,0 ,0 ,4.528 
103.,NAKLO,3.649.995 ,737.934 ,119.477 ,20.196 ,9.424 ,7.550 ,64 ,107 ,3.051 ,587.830 ,100.444 ,42.108 ,34.316 ,2.082 ,4.288 ,256.579 ,23.912 ,0 ,6.289 ,117.811 ,0 ,0 ,0 ,0 ,0 ,10.432 ,0 ,10.432 ,0 ,787.072 ,20.457 ,0 ,20.457 ,334.073 ,1.461 ,5.258 ,0 ,0 ,1.669 ,325.686 ,141.205 ,141.205 ,291.337 ,0 ,20.725 ,0 ,270.611 ,0 ,0 ,0 ,1.687.523 ,1.687.523 ,10.067 ,0 ,31.218 ,0 ,1.367.608 ,22.343 ,111.723 ,0 ,144.564 ,437.466 ,30.329 ,0 ,0 ,0 ,30.329 ,407.136 ,36.636 ,370.500 ,0 ,0 ,0 ,0 ,0 ,597.795 
104.,NAZARJE,1.403.209 ,415.381 ,79.194 ,13.762 ,6.351 ,5.091 ,42 ,71 ,2.207 ,304.131 ,36.647 ,0 ,38.412 ,1.402 ,300 ,139.438 ,15.824 ,0 ,4.064 ,68.044 ,14.589 ,14.589 ,0 ,0 ,0 ,3.706 ,2.742 ,0 ,964 ,445.685 ,9.193 ,0 ,9.193 ,216.621 ,0 ,2.086 ,1.874 ,0 ,0 ,212.661 ,34.806 ,34.806 ,185.065 ,92 ,12.873 ,1.406 ,170.694 ,0 ,0 ,0 ,300.238 ,300.238 ,66.767 ,0 ,5.967 ,0 ,176.365 ,8.559 ,41.729 ,0 ,851 ,241.905 ,2.429 ,0 ,0 ,0 ,2.429 ,239.476 ,13.562 ,222.087 ,0 ,0 ,0 ,3.827 ,0 ,50.538 
105.,MESTNA OBČINA NOVA GORICA,26.604.110 ,6.978.259 ,1.706.618 ,280.613 ,134.990 ,113.374 ,935 ,1.557 ,29.757 ,4.857.495 ,544.350 ,92.514 ,1.446.077 ,58.125 ,14.004 ,822.876 ,78.601 ,592.739 ,101.644 ,1.106.564 ,0 ,0 ,0 ,0 ,0 ,133.534 ,0 ,133.534 ,0 ,9.634.756 ,396.699 ,184.251 ,212.448 ,3.159.535 ,0 ,0 ,0 ,0 ,30.734 ,3.128.802 ,1.360.870 ,1.360.870 ,4.717.651 ,396.069 ,209.514 ,223.176 ,3.888.892 ,0 ,0 ,0 ,6.267.460 ,6.267.460 ,450.184 ,0 ,118.056 ,164.309 ,3.846.720 ,85.261 ,730.170 ,0 ,872.759 ,3.723.635 ,2.305.425 ,757.211 ,0 ,0 ,1.548.214 ,1.418.211 ,153.251 ,1.097.467 ,0 ,106.560 ,60.933 ,0 ,0 ,143.895 
106.,MESTNA OBČINA NOVO MESTO,25.327.299 ,5.263.687 ,1.614.372 ,269.851 ,125.922 ,104.603 ,885 ,1.473 ,36.968 ,3.014.259 ,522.901 ,21.232 ,879.110 ,24.053 ,17.944 ,402.758 ,34.176 ,44.609 ,83.759 ,983.717 ,344.342 ,319.529 ,0 ,24.812 ,0 ,20.865 ,0 ,20.865 ,0 ,9.956.314 ,776.773 ,418.136 ,358.638 ,1.054.382 ,922 ,0 ,33.863 ,0 ,9.456 ,1.010.140 ,309.239 ,309.239 ,7.815.920 ,107.323 ,251.031 ,210.804 ,7.246.762 ,0 ,0 ,0 ,8.979.724 ,8.979.724 ,75.113 ,6.143 ,281.577 ,0 ,6.522.087 ,1.545.723 ,85.983 ,0 ,463.099 ,1.127.575 ,1.127.575 ,0 ,0 ,0 ,1.127.575 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,457.941 
107.,ODRANCI,1.245.464 ,175.549 ,53.042 ,9.424 ,4.543 ,3.369 ,29 ,49 ,1.434 ,108.727 ,19.770 ,2.022 ,33.510 ,2.948 ,3.151 ,18.162 ,0 ,4.804 ,1.601 ,22.761 ,1.685 ,1.685 ,0 ,0 ,0 ,2.671 ,0 ,2.671 ,0 ,271.710 ,16.067 ,0 ,16.067 ,98.736 ,0 ,0 ,0 ,0 ,0 ,98.736 ,26.534 ,26.534 ,130.374 ,13.153 ,22.637 ,308 ,94.276 ,0 ,0 ,0 ,718.836 ,718.836 ,0 ,0 ,1.019 ,0 ,702.938 ,0 ,14.879 ,0 ,0 ,79.368 ,79.368 ,19.866 ,0 ,0 ,59.502 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-205.481 
108.,OPLOTNICA,1.712.656 ,516.237 ,134.706 ,18.536 ,8.588 ,6.881 ,58 ,96 ,2.913 ,349.562 ,64.522 ,16.692 ,60.311 ,0 ,5.216 ,165.148 ,7.895 ,0 ,2.904 ,26.874 ,5.124 ,5.124 ,0 ,0 ,0 ,8.308 ,0 ,8.308 ,0 ,639.067 ,30.354 ,0 ,30.354 ,275.651 ,0 ,0 ,0 ,0 ,7.674 ,267.977 ,108.183 ,108.183 ,224.879 ,10.236 ,28.960 ,12.778 ,172.905 ,0 ,0 ,0 ,462.047 ,462.047 ,0 ,0 ,38.504 ,0 ,378.238 ,22.592 ,0 ,0 ,22.713 ,95.305 ,95.305 ,0 ,0 ,76.206 ,19.099 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-46.399 
109.,ORMOŽ,10.936.997 ,2.523.172 ,572.233 ,97.066 ,43.895 ,35.140 ,300 ,492 ,17.238 ,1.433.079 ,227.608 ,0 ,151.799 ,19.074 ,6.397 ,608.609 ,30.558 ,17.501 ,22.722 ,348.811 ,30.362 ,3.543 ,0 ,26.819 ,0 ,390.431 ,0 ,90.273 ,300.159 ,5.096.036 ,1.159.068 ,1.088.625 ,70.443 ,1.964.534 ,5.008 ,0 ,0 ,0 ,45.944 ,1.913.583 ,468.749 ,468.749 ,1.503.685 ,315.327 ,162.264 ,0 ,978.706 ,47.388 ,0 ,0 ,2.981.314 ,2.981.314 ,0 ,5.216 ,125.734 ,0 ,2.323.861 ,231.105 ,59.372 ,0 ,236.025 ,336.476 ,90.598 ,0 ,0 ,0 ,90.598 ,245.877 ,58.054 ,0 ,0 ,0 ,0 ,187.823 ,0 ,376.135 
110.,OSILNICA,334.624 ,212.098 ,70.096 ,11.205 ,5.268 ,4.220 ,36 ,60 ,1.622 ,130.379 ,17.265 ,29.559 ,18.290 ,13.414 ,2.410 ,24.158 ,669 ,0 ,2.169 ,22.446 ,0 ,0 ,0 ,0 ,0 ,417 ,0 ,417 ,0 ,2.747 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,692 ,692 ,2.055 ,0 ,2.055 ,0 ,0 ,0 ,0 ,0 ,119.779 ,119.779 ,0 ,0 ,11.074 ,0 ,0 ,74.830 ,21.689 ,0 ,12.186 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,165.826 
111.,PESNICA,4.851.189 ,1.034.982 ,225.384 ,37.439 ,17.034 ,13.675 ,117 ,192 ,6.422 ,763.562 ,49.841 ,11.225 ,72.559 ,115.661 ,5.275 ,339.755 ,534 ,0 ,10.274 ,158.438 ,250 ,250 ,0 ,0 ,0 ,8.346 ,0 ,8.346 ,0 ,1.341.763 ,72.171 ,0 ,72.171 ,621.257 ,0 ,6.831 ,3.793 ,0 ,0 ,610.633 ,36.889 ,36.889 ,611.446 ,116.842 ,118.348 ,67 ,376.189 ,0 ,0 ,0 ,2.349.633 ,2.349.633 ,0 ,0 ,106.856 ,0 ,1.876.602 ,269.350 ,42.042 ,0 ,54.782 ,124.812 ,124.812 ,0 ,0 ,98.794 ,26.018 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-717.155 
112.,PIRAN,17.199.495 ,7.003.497 ,1.348.022 ,228.797 ,107.849 ,86.400 ,730 ,1.223 ,32.595 ,4.295.068 ,395.268 ,56.330 ,1.095.760 ,29.473 ,18.570 ,344.079 ,22.893 ,1.331.243 ,71.090 ,930.362 ,0 ,0 ,0 ,0 ,0 ,1.131.610 ,0 ,83.459 ,1.048.151 ,6.036.417 ,270.660 ,58.755 ,211.905 ,2.512.352 ,209 ,0 ,186.008 ,0 ,5.867 ,2.320.268 ,1.146.399 ,1.146.399 ,2.107.006 ,5.613 ,184.527 ,17.409 ,1.888.161 ,2.295 ,9.001 ,0 ,2.520.664 ,2.520.664 ,85.491 ,24.833 ,102.804 ,32.069 ,1.443.749 ,183.417 ,515.244 ,0 ,133.058 ,1.638.917 ,323.448 ,0 ,0 ,49.587 ,273.861 ,1.315.469 ,57.332 ,1.198.247 ,0 ,16.082 ,43.807 ,0 ,0 ,1.161.188 
113.,PIVKA,3.965.962 ,1.275.020 ,245.573 ,40.945 ,20.201 ,15.588 ,136 ,219 ,4.801 ,968.990 ,90.737 ,16.408 ,94.670 ,10.636 ,6.263 ,440.297 ,0 ,13.515 ,10.756 ,285.708 ,1.430 ,1.430 ,0 ,0 ,0 ,18.081 ,0 ,18.081 ,0 ,1.285.083 ,77.544 ,0 ,77.544 ,519.333 ,1.881 ,11.267 ,250 ,0 ,0 ,505.934 ,140.139 ,140.139 ,548.067 ,27.145 ,35.156 ,36.496 ,449.270 ,0 ,0 ,0 ,1.155.777 ,1.155.777 ,11.337 ,9.180 ,20.331 ,0 ,902.812 ,90.277 ,12.859 ,0 ,108.980 ,250.083 ,77.106 ,5.749 ,0 ,0 ,71.357 ,172.976 ,58.112 ,114.864 ,0 ,0 ,0 ,0 ,0 ,75.862 
