127,RADLJE OB DRAVI,2.369.692 ,1.471.908 ,1.304.081 ,743.232 ,743.232 ,475.868 ,463.149 ,0 ,2.896 ,9.823 ,84.982 ,9.185 ,0 ,680 ,75.117 ,0 ,0 ,167.827 ,31.481 ,0 ,1.511 ,1.995 ,27.975 ,714 ,714 ,175 ,175 ,50.083 ,50.083 ,85.374 ,85.374 ,4.962 ,2.408 ,0 ,2.408 ,0 ,0 ,0 ,0 ,0 ,2.554 ,0 ,2.554 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,892.823 ,892.823 ,892.823 ,0 ,0 ,0 
128,RADOVLJICA,6.490.782 ,4.811.229 ,4.209.514 ,3.145.865 ,3.145.865 ,893.640 ,638.487 ,0 ,9.840 ,245.314 ,170.009 ,49.825 ,0 ,0 ,120.184 ,0 ,0 ,601.715 ,467.505 ,0 ,8.087 ,54.749 ,404.670 ,0 ,0 ,20.460 ,20.460 ,23.644 ,23.644 ,90.106 ,90.106 ,742.681 ,514.584 ,513.758 ,0 ,826 ,0 ,0 ,0 ,0 ,228.096 ,0 ,228.096 ,0 ,29.586 ,29.586 ,0 ,29.586 ,0 ,0 ,0 ,907.286 ,907.286 ,639.989 ,133.763 ,0 ,133.534 
129,RAVNE NA KOROŠKEM,3.980.738 ,2.781.593 ,2.446.495 ,1.811.004 ,1.811.004 ,529.945 ,413.395 ,392 ,1.748 ,114.409 ,105.546 ,40.081 ,0 ,1.306 ,64.159 ,0 ,0 ,335.098 ,234.264 ,0 ,1.260 ,6.176 ,226.828 ,0 ,0 ,113 ,113 ,6.080 ,6.080 ,94.642 ,94.642 ,165.386 ,72.914 ,72.914 ,0 ,0 ,0 ,0 ,0 ,0 ,92.472 ,9.310 ,83.162 ,0 ,13.015 ,13.015 ,13.015 ,0 ,0 ,0 ,0 ,1.020.744 ,1.020.744 ,959.193 ,61.551 ,0 ,0 
130,RAZKRIŽJE,333.421 ,127.508 ,95.255 ,88.996 ,88.996 ,4.966 ,2.667 ,0 ,0 ,2.299 ,1.294 ,0 ,0 ,0 ,1.294 ,0 ,0 ,32.253 ,3.284 ,0 ,0 ,46 ,3.238 ,159 ,159 ,0 ,0 ,18.319 ,18.319 ,10.491 ,10.491 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,205.913 ,205.913 ,205.913 ,0 ,0 ,0 
131,RIBNICA,3.307.248 ,1.485.524 ,1.240.615 ,1.102.591 ,1.102.591 ,78.418 ,35.966 ,0 ,5.458 ,36.993 ,59.606 ,6.835 ,0 ,0 ,52.771 ,0 ,0 ,244.909 ,117.631 ,0 ,0 ,2.424 ,115.206 ,3.368 ,3.368 ,1.035 ,1.035 ,42.539 ,42.539 ,80.337 ,80.337 ,57.319 ,34.114 ,34.114 ,0 ,0 ,0 ,0 ,0 ,0 ,23.206 ,0 ,23.206 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.764.405 ,1.764.405 ,1.764.405 ,0 ,0 ,0 
132,RIBNICA NA POHORJU,480.834 ,168.795 ,128.551 ,84.110 ,84.110 ,22.488 ,20.197 ,0 ,793 ,1.498 ,21.954 ,0 ,0 ,188 ,21.766 ,0 ,0 ,40.244 ,18.286 ,0 ,0 ,230 ,18.056 ,0 ,0 ,0 ,0 ,0 ,0 ,21.958 ,21.958 ,288 ,288 ,288 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,311.751 ,311.751 ,296.683 ,0 ,0 ,15.068 
133,ROGAŠKA SLATINA,3.381.881 ,2.133.104 ,2.001.686 ,1.304.094 ,1.304.094 ,554.695 ,345.205 ,0 ,11.271 ,198.218 ,142.898 ,16.003 ,0 ,0 ,126.895 ,0 ,0 ,131.418 ,12.615 ,0 ,2.696 ,9.919 ,0 ,0 ,0 ,1.248 ,1.248 ,0 ,0 ,117.556 ,117.556 ,55.696 ,27.541 ,27.541 ,0 ,0 ,0 ,0 ,0 ,0 ,28.155 ,0 ,28.155 ,0 ,176.373 ,176.373 ,4.089 ,172.283 ,0 ,0 ,0 ,1.016.708 ,1.016.708 ,879.002 ,0 ,0 ,137.707 
134,ROGAŠOVCI,1.096.975 ,253.451 ,183.041 ,171.945 ,171.945 ,2.771 ,8 ,0 ,430 ,2.333 ,8.325 ,2.554 ,0 ,0 ,5.771 ,0 ,0 ,70.410 ,2.112 ,0 ,0 ,1.415 ,697 ,0 ,0 ,38 ,38 ,0 ,0 ,68.261 ,68.261 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.519 ,4.519 ,0 ,4.519 ,0 ,0 ,0 ,839.004 ,839.004 ,839.004 ,0 ,0 ,0 
135,ROGATEC,1.192.914 ,506.264 ,425.463 ,265.674 ,265.674 ,107.732 ,97.717 ,67 ,2.637 ,7.311 ,52.057 ,906 ,0 ,0 ,51.152 ,0 ,0 ,80.800 ,20.414 ,0 ,0 ,3.046 ,17.368 ,0 ,0 ,388 ,388 ,20.760 ,20.760 ,39.238 ,39.238 ,1.565 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.565 ,0 ,618 ,947 ,7.540 ,7.540 ,3.672 ,3.868 ,0 ,0 ,0 ,677.545 ,677.545 ,670.952 ,6.447 ,0 ,146 
136,RUŠE,2.835.228 ,1.961.859 ,1.796.319 ,918.240 ,918.240 ,801.252 ,744.346 ,0 ,2.758 ,54.148 ,76.828 ,2.875 ,0 ,17 ,73.936 ,0 ,0 ,165.540 ,97.121 ,0 ,8.596 ,1.899 ,86.626 ,0 ,0 ,1.014 ,1.014 ,49.796 ,49.796 ,17.610 ,17.610 ,161.476 ,53.906 ,53.906 ,0 ,0 ,0 ,0 ,0 ,0 ,107.570 ,0 ,107.570 ,0 ,2.086 ,2.086 ,0 ,2.086 ,0 ,0 ,0 ,709.806 ,709.806 ,709.806 ,0 ,0 ,0 
137,SELNICA OB DRAVI,1.674.215 ,963.904 ,902.287 ,533.429 ,533.429 ,326.093 ,313.449 ,0 ,605 ,12.039 ,42.764 ,313 ,0 ,0 ,42.451 ,0 ,0 ,61.617 ,11.676 ,0 ,5.492 ,1.331 ,4.853 ,9.347 ,9.347 ,0 ,0 ,33.993 ,33.993 ,6.602 ,6.602 ,1.824 ,1.824 ,1.824 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,708.488 ,708.488 ,708.488 ,0 ,0 ,0 
138,SEMIČ,1.612.974 ,525.309 ,494.296 ,402.817 ,402.817 ,59.335 ,37.114 ,0 ,3.839 ,18.382 ,32.144 ,175 ,0 ,113 ,31.856 ,0 ,0 ,31.013 ,7.954 ,2.508 ,0 ,434 ,5.012 ,0 ,0 ,67 ,67 ,4.486 ,4.486 ,18.507 ,18.507 ,85.908 ,30.467 ,30.467 ,0 ,0 ,0 ,0 ,0 ,0 ,55.442 ,0 ,55.442 ,0 ,12.673 ,12.673 ,4.657 ,8.016 ,0 ,0 ,0 ,989.084 ,989.084 ,989.084 ,0 ,0 ,0 
139,SEVNICA,6.726.736 ,3.226.828 ,2.607.115 ,2.149.850 ,2.149.850 ,361.655 ,245.844 ,0 ,5.875 ,109.936 ,95.610 ,15.214 ,0 ,0 ,80.396 ,0 ,0 ,619.713 ,104.194 ,0 ,1.285 ,18.803 ,84.105 ,517 ,517 ,125 ,125 ,426.235 ,426.235 ,88.641 ,88.641 ,117.960 ,107.390 ,95.931 ,9.681 ,359 ,1.419 ,0 ,0 ,0 ,10.570 ,2.562 ,8.008 ,0 ,447.580 ,447.580 ,0 ,447.580 ,0 ,0 ,0 ,2.934.368 ,2.934.368 ,2.934.368 ,0 ,0 ,0 
140,SEŽANA,4.616.688 ,4.228.764 ,3.827.370 ,2.620.823 ,2.620.823 ,445.343 ,336.955 ,0 ,18.841 ,89.547 ,761.204 ,437.314 ,0 ,0 ,323.890 ,0 ,0 ,401.394 ,190.648 ,15.916 ,0 ,23.619 ,151.114 ,0 ,0 ,209 ,209 ,9.948 ,9.948 ,200.588 ,200.588 ,149.758 ,92.080 ,92.080 ,0 ,0 ,0 ,0 ,0 ,0 ,57.678 ,0 ,57.678 ,0 ,7.557 ,6.656 ,0 ,6.656 ,901 ,901 ,0 ,230.608 ,230.608 ,230.608 ,0 ,0 ,0 
141,SLOVENJ GRADEC (M),6.917.964 ,4.849.579 ,3.305.750 ,2.577.934 ,2.577.934 ,614.422 ,458.859 ,0 ,6.777 ,148.786 ,113.395 ,33.271 ,0 ,0 ,80.124 ,0 ,0 ,1.543.828 ,1.054.156 ,0 ,6.589 ,26.607 ,1.020.961 ,0 ,0 ,3.226 ,3.226 ,15.845 ,15.845 ,470.602 ,470.602 ,303.835 ,113.040 ,113.040 ,0 ,0 ,0 ,0 ,0 ,0 ,190.795 ,0 ,190.795 ,0 ,41.458 ,41.458 ,41.458 ,0 ,0 ,0 ,0 ,1.723.093 ,1.723.093 ,1.680.291 ,42.802 ,0 ,0 
142,SLOVENSKA BISTRICA,9.554.144 ,4.900.597 ,4.534.665 ,3.372.175 ,3.372.175 ,833.513 ,663.821 ,0 ,13.675 ,156.017 ,328.977 ,48.919 ,0 ,0 ,280.058 ,0 ,0 ,365.932 ,254.761 ,0 ,0 ,17.777 ,236.985 ,0 ,0 ,726 ,726 ,0 ,0 ,110.445 ,110.445 ,122.605 ,114.100 ,114.100 ,0 ,0 ,0 ,0 ,0 ,0 ,8.504 ,0 ,8.504 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.530.942 ,4.530.942 ,4.179.578 ,297.288 ,0 ,54.077 
143,SLOVENSKE KONJICE,4.597.066 ,2.268.069 ,1.866.971 ,1.583.358 ,1.583.358 ,152.095 ,53.071 ,0 ,1.665 ,97.359 ,131.518 ,10.136 ,0 ,0 ,121.382 ,0 ,0 ,401.097 ,187.502 ,0 ,1.911 ,1.728 ,183.863 ,0 ,0 ,793 ,793 ,24.178 ,24.178 ,188.625 ,188.625 ,140.469 ,90.586 ,88.587 ,0 ,0 ,1.999 ,0 ,0 ,0 ,49.883 ,0 ,49.883 ,0 ,4.532 ,4.532 ,2.237 ,2.295 ,0 ,0 ,0 ,2.183.997 ,2.183.997 ,2.183.997 ,0 ,0 ,0 
144,SODRAŽICA,674.303 ,256.910 ,240.448 ,220.301 ,220.301 ,8.596 ,4.119 ,0 ,263 ,4.215 ,11.551 ,346 ,0 ,0 ,11.204 ,0 ,0 ,16.462 ,21 ,0 ,0 ,21 ,0 ,21 ,21 ,0 ,0 ,0 ,0 ,16.420 ,16.420 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,417.393 ,417.393 ,417.393 ,0 ,0 ,0 
145,SOLČAVA,401.502 ,72.212 ,54.089 ,34.510 ,34.510 ,1.782 ,1.698 ,0 ,83 ,0 ,17.798 ,0 ,0 ,0 ,17.798 ,0 ,0 ,18.123 ,7.419 ,0 ,0 ,125 ,7.294 ,0 ,0 ,0 ,0 ,7.716 ,7.716 ,2.988 ,2.988 ,2.091 ,255 ,255 ,0 ,0 ,0 ,0 ,0 ,0 ,1.836 ,0 ,250 ,1.586 ,455 ,455 ,455 ,0 ,0 ,0 ,0 ,326.744 ,326.744 ,313.942 ,8.208 ,0 ,4.594 
146,STARŠE,1.592.551 ,1.549.533 ,1.484.848 ,446.758 ,446.758 ,1.032.695 ,1.022.826 ,0 ,509 ,9.360 ,5.396 ,1.761 ,0 ,88 ,3.547 ,0 ,0 ,64.685 ,33.947 ,0 ,13.245 ,12.018 ,8.684 ,96 ,96 ,880 ,880 ,1.168 ,1.168 ,28.593 ,28.593 ,1.953 ,1.953 ,1.953 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.002 ,1.002 ,1.002 ,0 ,0 ,0 ,0 ,40.064 ,40.064 ,20.414 ,19.650 ,0 ,0 
147,SVETA ANA,768.532 ,217.772 ,137.022 ,113.015 ,113.015 ,3.255 ,697 ,0 ,125 ,2.433 ,20.752 ,1.006 ,0 ,0 ,19.746 ,0 ,0 ,80.750 ,8.976 ,0 ,0 ,2.833 ,6.143 ,0 ,0 ,0 ,0 ,29.052 ,29.052 ,42.722 ,42.722 ,17.147 ,3.497 ,3.497 ,0 ,0 ,0 ,0 ,0 ,0 ,13.650 ,0 ,13.650 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,533.613 ,533.613 ,533.613 ,0 ,0 ,0 
148,SVETI ANDRAŽ V SLOV. GORICAH,494.621 ,118.282 ,50.013 ,46.670 ,46.670 ,989 ,13 ,0 ,54 ,922 ,2.354 ,447 ,0 ,855 ,1.052 ,0 ,0 ,68.269 ,1.757 ,0 ,0 ,401 ,1.356 ,184 ,184 ,0 ,0 ,0 ,0 ,66.329 ,66.329 ,951 ,951 ,0 ,951 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.297 ,3.297 ,3.297 ,0 ,0 ,0 ,0 ,372.091 ,372.091 ,372.091 ,0 ,0 ,0 
149,SVETI JURIJ,1.088.983 ,255.583 ,179.912 ,157.870 ,157.870 ,6.518 ,330 ,0 ,2.324 ,3.864 ,15.523 ,0 ,0 ,7.828 ,7.695 ,0 ,0 ,75.672 ,28.643 ,0 ,0 ,230 ,28.413 ,92 ,92 ,175 ,175 ,0 ,0 ,46.762 ,46.762 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30.905 ,30.905 ,159 ,30.746 ,0 ,0 ,0 ,802.495 ,802.495 ,792.472 ,0 ,0 ,10.023 
150,ŠALOVCI,1.005.813 ,234.639 ,112.435 ,87.665 ,87.665 ,3.898 ,3.080 ,0 ,818 ,0 ,20.873 ,0 ,0 ,10.512 ,10.361 ,0 ,0 ,122.204 ,21.440 ,0 ,0 ,910 ,20.531 ,238 ,238 ,46 ,46 ,0 ,0 ,100.480 ,100.480 ,6.259 ,6.259 ,0 ,6.259 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.843 ,3.843 ,3.843 ,0 ,0 ,0 ,0 ,761.071 ,761.071 ,748.318 ,0 ,0 ,12.752 
151,ŠEMPETER - VRTOJBA,3.434.028 ,3.433.381 ,3.342.317 ,1.660.786 ,1.660.786 ,714.445 ,642.096 ,0 ,3.194 ,69.154 ,967.086 ,345.164 ,0 ,6 ,621.916 ,0 ,0 ,91.064 ,45.609 ,0 ,0 ,16.605 ,29.004 ,4 ,4 ,213 ,213 ,569 ,569 ,44.669 ,44.669 ,647 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,647 ,647 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
152,ŠENČUR,2.334.648 ,1.815.240 ,1.560.136 ,1.403.893 ,1.403.893 ,138.913 ,88.433 ,0 ,8.112 ,42.368 ,17.330 ,2.441 ,0 ,0 ,14.889 ,0 ,0 ,255.103 ,100.179 ,0 ,3.518 ,55.788 ,40.874 ,2.583 ,2.583 ,4.707 ,4.707 ,13.466 ,13.466 ,134.168 ,134.168 ,734 ,401 ,0 ,401 ,0 ,0 ,0 ,0 ,0 ,334 ,0 ,334 ,0 ,459 ,459 ,0 ,459 ,0 ,0 ,0 ,518.215 ,518.215 ,518.215 ,0 ,0 ,0 
153,ŠENTILJ,3.246.929 ,2.170.827 ,1.921.440 ,911.609 ,911.609 ,344.483 ,327.199 ,0 ,2.658 ,14.626 ,665.348 ,16.070 ,0 ,0 ,649.278 ,0 ,0 ,249.387 ,121.678 ,0 ,7.286 ,5.149 ,109.243 ,0 ,0 ,58 ,58 ,0 ,0 ,127.650 ,127.650 ,5.788 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.788 ,0 ,5.788 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.070.314 ,1.070.314 ,972.630 ,0 ,0 ,97.684 
154,ŠENTJERNEJ,2.432.061 ,1.131.652 ,879.907 ,645.426 ,645.426 ,71.975 ,43.611 ,0 ,4.135 ,24.228 ,162.506 ,63 ,0 ,0 ,162.444 ,0 ,0 ,251.744 ,64.430 ,0 ,0 ,1.744 ,62.686 ,0 ,0 ,434 ,434 ,0 ,0 ,186.880 ,186.880 ,163.257 ,5.016 ,0 ,5.016 ,0 ,0 ,0 ,0 ,0 ,158.242 ,0 ,158.242 ,0 ,23.907 ,23.907 ,21.920 ,1.986 ,0 ,0 ,0 ,1.113.245 ,1.113.245 ,1.112.515 ,0 ,0 ,730 
155,ŠENTJUR PRI CELJU,6.149.996 ,2.756.205 ,2.405.379 ,1.964.017 ,1.964.017 ,233.166 ,170.326 ,0 ,9.731 ,53.109 ,207.265 ,5.521 ,0 ,0 ,201.744 ,931 ,931 ,350.826 ,222.041 ,3.910 ,388 ,2.174 ,215.569 ,29 ,29 ,780 ,780 ,0 ,0 ,127.975 ,127.975 ,272.809 ,49.382 ,49.382 ,0 ,0 ,0 ,0 ,0 ,0 ,223.427 ,0 ,223.427 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.120.981 ,3.120.981 ,2.983.045 ,0 ,0 ,137.936 
156,ŠKOCJAN,967.610 ,338.608 ,301.277 ,276.840 ,276.840 ,17.539 ,7.511 ,0 ,3.213 ,6.814 ,6.898 ,0 ,0 ,0 ,6.898 ,0 ,0 ,37.331 ,9.360 ,0 ,0 ,7.136 ,2.224 ,0 ,0 ,42 ,42 ,19.283 ,19.283 ,8.646 ,8.646 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,629.002 ,629.002 ,629.002 ,0 ,0 ,0 
157,ŠKOFJA LOKA,7.744.488 ,6.660.061 ,5.609.940 ,4.010.057 ,4.010.057 ,1.409.652 ,1.144.049 ,0 ,13.862 ,251.740 ,190.231 ,33.358 ,0 ,0 ,156.873 ,0 ,0 ,1.050.121 ,924.003 ,4.569 ,4.231 ,18.361 ,896.841 ,0 ,0 ,6.698 ,6.698 ,64.150 ,64.150 ,55.270 ,55.270 ,120.610 ,120.610 ,113.466 ,0 ,0 ,7.144 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14.605 ,14.605 ,0 ,14.605 ,0 ,0 ,0 ,949.211 ,949.211 ,901.419 ,47.793 ,0 ,0 
158,ŠKOFLJICA,2.145.268 ,2.041.516 ,1.481.017 ,1.251.982 ,1.251.982 ,166.262 ,4.298 ,83 ,4.945 ,156.935 ,62.773 ,36.392 ,0 ,0 ,26.381 ,0 ,0 ,560.499 ,59.952 ,0 ,0 ,31.001 ,28.952 ,0 ,0 ,739 ,739 ,1.302 ,1.302 ,498.506 ,498.506 ,250 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,250 ,250 ,0 ,0 ,37.556 ,37.556 ,0 ,37.556 ,0 ,0 ,0 ,65.945 ,65.945 ,53.092 ,1.778 ,0 ,11.075 
159,ŠMARJE PRI JELŠAH,3.572.396 ,1.444.629 ,1.248.565 ,927.712 ,927.712 ,181.869 ,114.009 ,0 ,4.941 ,62.919 ,138.983 ,26.857 ,0 ,13 ,112.114 ,0 ,0 ,196.065 ,62.644 ,0 ,2.858 ,2.057 ,57.728 ,459 ,459 ,2.466 ,2.466 ,0 ,0 ,130.496 ,130.496 ,51.498 ,44.859 ,44.859 ,0 ,0 ,0 ,0 ,0 ,0 ,6.639 ,6.639 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.076.269 ,2.076.269 ,2.076.269 ,0 ,0 ,0 
160,ŠMARTNO OB PAKI,944.300 ,673.243 ,510.220 ,414.409 ,414.409 ,62.231 ,52.575 ,0 ,1.173 ,8.484 ,31.301 ,1.369 ,0 ,0 ,29.932 ,2.278 ,2.278 ,163.024 ,17.005 ,0 ,0 ,2.170 ,14.835 ,0 ,0 ,413 ,413 ,0 ,0 ,145.606 ,145.606 ,3.096 ,3.096 ,3.096 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.918 ,8.918 ,8.918 ,0 ,0 ,0 ,0 ,259.043 ,259.043 ,259.043 ,0 ,0 ,0 
161,ŠOŠTANJ,3.581.430 ,2.828.009 ,2.464.221 ,1.142.217 ,1.142.217 ,677.324 ,609.569 ,0 ,5.066 ,62.690 ,644.680 ,3.013 ,0 ,0 ,641.667 ,0 ,0 ,363.787 ,60.324 ,0 ,13 ,1.018 ,59.293 ,5.225 ,5.225 ,730 ,730 ,0 ,0 ,297.509 ,297.509 ,71.966 ,14.847 ,14.847 ,0 ,0 ,0 ,0 ,0 ,0 ,57.119 ,0 ,57.119 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,681.456 ,681.456 ,681.456 ,0 ,0 ,0 
162,ŠTORE,1.702.437 ,857.248 ,752.404 ,392.956 ,392.956 ,266.767 ,132.036 ,0 ,3.956 ,130.775 ,92.681 ,822 ,0 ,154 ,91.704 ,0 ,0 ,104.845 ,14.380 ,4.757 ,0 ,213 ,9.410 ,0 ,0 ,154 ,154 ,13.174 ,13.174 ,77.137 ,77.137 ,89.593 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,89.593 ,89.593 ,0 ,0 ,1.314 ,1.314 ,1.314 ,0 ,0 ,0 ,0 ,754.281 ,754.281 ,754.281 ,0 ,0 ,0 
163,TABOR,460.616 ,168.215 ,152.166 ,129.982 ,129.982 ,11.012 ,6.059 ,0 ,488 ,4.465 ,11.171 ,926 ,0 ,0 ,10.245 ,0 ,0 ,16.049 ,1.786 ,0 ,0 ,104 ,1.682 ,8 ,8 ,0 ,0 ,9.039 ,9.039 ,5.216 ,5.216 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,292.401 ,292.401 ,284.393 ,8.008 ,0 ,0 
164,TIŠINA,1.668.119 ,730.679 ,427.750 ,407.828 ,407.828 ,4.724 ,29 ,0 ,271 ,4.423 ,15.198 ,2.612 ,0 ,0 ,12.586 ,0 ,0 ,302.929 ,26.740 ,0 ,0 ,5.971 ,20.769 ,0 ,0 ,613 ,613 ,0 ,0 ,275.576 ,275.576 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,937.439 ,937.439 ,775.764 ,141.516 ,0 ,20.159 
165,TOLMIN,5.183.943 ,2.691.750 ,2.422.513 ,1.909.306 ,1.909.306 ,349.921 ,305.938 ,0 ,14.434 ,29.548 ,163.287 ,126.210 ,0 ,0 ,37.076 ,0 ,0 ,269.237 ,132.707 ,0 ,1.123 ,12.172 ,119.412 ,0 ,0 ,2.596 ,2.596 ,0 ,0 ,133.934 ,133.934 ,52.888 ,49.591 ,49.591 ,0 ,0 ,0 ,0 ,0 ,0 ,3.297 ,0 ,3.297 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.439.305 ,2.439.305 ,2.268.524 ,10.946 ,0 ,159.836 
166,TRBOVLJE,6.468.423 ,4.759.022 ,4.148.331 ,3.072.588 ,3.072.588 ,829.861 ,718.156 ,0 ,14.063 ,97.642 ,245.881 ,57.269 ,0 ,0 ,188.612 ,0 ,0 ,610.691 ,448.765 ,0 ,0 ,18.211 ,430.554 ,18.586 ,18.586 ,259 ,259 ,8.625 ,8.625 ,134.456 ,134.456 ,226.995 ,193.753 ,193.753 ,0 ,0 ,0 ,0 ,0 ,0 ,33.242 ,0 ,33.242 ,0 ,370.739 ,370.739 ,11.580 ,359.160 ,0 ,0 ,0 ,1.111.668 ,1.111.668 ,1.111.668 ,0 ,0 ,0 
167,TREBNJE,6.043.165 ,3.156.572 ,2.748.356 ,2.146.407 ,2.146.407 ,511.321 ,380.437 ,0 ,12.615 ,118.269 ,90.628 ,8.742 ,0 ,0 ,81.885 ,0 ,0 ,408.216 ,130.446 ,0 ,0 ,34.765 ,95.681 ,33.191 ,33.191 ,2.721 ,2.721 ,48.381 ,48.381 ,193.478 ,193.478 ,146.866 ,37.039 ,36.709 ,330 ,0 ,0 ,0 ,0 ,0 ,109.827 ,56.768 ,292 ,52.767 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.739.726 ,2.739.726 ,2.311.476 ,362.740 ,0 ,65.511 
168,TRNOVSKA VAS,527.950 ,162.798 ,69.796 ,61.246 ,61.246 ,722 ,13 ,0 ,0 ,709 ,7.828 ,438 ,0 ,1.652 ,5.738 ,0 ,0 ,93.002 ,4.173 ,0 ,0 ,1.986 ,2.187 ,29 ,29 ,0 ,0 ,0 ,0 ,88.800 ,88.800 ,951 ,951 ,0 ,951 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,364.200 ,364.200 ,364.200 ,0 ,0 ,0 
169,TRZIN,1.326.427 ,1.289.630 ,1.110.466 ,1.012.356 ,1.012.356 ,79.928 ,60.432 ,0 ,0 ,19.496 ,18.181 ,6.180 ,0 ,0 ,12.001 ,0 ,0 ,179.165 ,31.931 ,3.338 ,0 ,15.640 ,12.953 ,230 ,230 ,0 ,0 ,10.453 ,10.453 ,136.551 ,136.551 ,6.159 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.159 ,6.159 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30.638 ,30.638 ,6.852 ,0 ,0 ,23.786 
170,TRŽIČ,4.889.924 ,3.169.673 ,2.725.225 ,2.198.085 ,2.198.085 ,458.730 ,306.301 ,0 ,14.897 ,137.531 ,68.411 ,25.947 ,0 ,0 ,42.464 ,0 ,0 ,444.448 ,342.361 ,0 ,3.747 ,2.416 ,336.198 ,0 ,0 ,1.753 ,1.753 ,19.471 ,19.471 ,80.863 ,80.863 ,313.149 ,204.640 ,203.676 ,526 ,438 ,0 ,0 ,0 ,0 ,108.509 ,31.635 ,76.874 ,0 ,53.059 ,35.265 ,11.204 ,24.061 ,17.793 ,17.793 ,0 ,1.354.044 ,1.354.044 ,1.312.022 ,13.145 ,0 ,28.877 
171,TURNIŠČE,1.298.105 ,619.346 ,306.810 ,274.103 ,274.103 ,13.913 ,10.712 ,0 ,1.515 ,1.686 ,18.795 ,814 ,0 ,0 ,17.981 ,0 ,0 ,312.535 ,13.416 ,0 ,0 ,5.295 ,8.121 ,0 ,0 ,246 ,246 ,0 ,0 ,298.873 ,298.873 ,830 ,830 ,0 ,0 ,0 ,830 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,677.929 ,677.929 ,677.929 ,0 ,0 ,0 
172,VELENJE (M),10.842.722 ,9.890.244 ,9.038.625 ,6.476.239 ,6.476.239 ,1.663.766 ,1.422.692 ,0 ,8.004 ,233.070 ,898.619 ,46.770 ,0 ,0 ,851.849 ,0 ,0 ,851.619 ,522.663 ,0 ,0 ,72.542 ,450.121 ,0 ,0 ,18.232 ,18.232 ,19.404 ,19.404 ,291.320 ,291.320 ,369.237 ,160.620 ,160.620 ,0 ,0 ,0 ,0 ,0 ,0 ,208.617 ,1.707 ,206.910 ,0 ,19.984 ,19.984 ,18.194 ,1.790 ,0 ,0 ,0 ,563.257 ,563.257 ,496.770 ,48.569 ,0 ,17.919 
