25,DOBJE,346.507 ,112.210 ,69.246 ,65.978 ,65.978 ,1.185 ,0 ,0 ,0 ,1.185 ,2.082 ,438 ,0 ,434 ,1.210 ,0 ,0 ,42.964 ,1.181 ,0 ,0 ,346 ,835 ,0 ,0 ,0 ,0 ,12.811 ,12.811 ,28.973 ,28.973 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.415 ,7.415 ,33 ,7.382 ,0 ,0 ,0 ,226.882 ,226.882 ,210.190 ,0 ,0 ,16.692 
26,DOBREPOLJE,1.847.884 ,798.076 ,456.426 ,403.050 ,403.050 ,16.742 ,8.354 ,0 ,455 ,7.933 ,36.634 ,3.226 ,0 ,0 ,33.408 ,0 ,0 ,341.650 ,104.519 ,0 ,0 ,36.346 ,68.173 ,33 ,33 ,238 ,238 ,13.061 ,13.061 ,223.798 ,223.798 ,810 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,810 ,0 ,810 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.048.999 ,1.048.999 ,921.236 ,127.762 ,0 ,0 
27,DOBRNA,620.556 ,325.104 ,280.996 ,219.992 ,219.992 ,12.043 ,2.913 ,0 ,305 ,8.826 ,48.961 ,447 ,0 ,868 ,47.646 ,0 ,0 ,44.108 ,10.804 ,1.285 ,0 ,113 ,9.406 ,0 ,0 ,0 ,0 ,24.261 ,24.261 ,9.043 ,9.043 ,209 ,209 ,0 ,0 ,209 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.093 ,1.093 ,1.093 ,0 ,0 ,0 ,0 ,294.150 ,294.150 ,294.150 ,0 ,0 ,0 
28,DOBROVA - POLHOV GRADEC,1.753.230 ,1.142.626 ,1.074.954 ,937.469 ,937.469 ,123.990 ,17.689 ,0 ,9.139 ,97.162 ,13.495 ,759 ,0 ,0 ,12.736 ,0 ,0 ,67.672 ,9.193 ,0 ,0 ,2.954 ,6.239 ,0 ,0 ,1.077 ,1.077 ,0 ,0 ,57.403 ,57.403 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,610.603 ,610.603 ,610.603 ,0 ,0 ,0 
29,DOBROVNIK,470.531 ,187.748 ,134.014 ,123.715 ,123.715 ,8.909 ,2.704 ,0 ,893 ,5.312 ,1.390 ,0 ,0 ,0 ,1.390 ,0 ,0 ,53.735 ,801 ,0 ,0 ,714 ,88 ,0 ,0 ,79 ,79 ,0 ,0 ,52.854 ,52.854 ,972 ,972 ,972 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,217 ,217 ,217 ,0 ,0 ,0 ,0 ,281.593 ,281.593 ,281.585 ,0 ,8 ,0 
30,DOL PRI LJUBLJANI,1.312.076 ,1.116.612 ,972.471 ,786.505 ,786.505 ,174.149 ,142.510 ,0 ,2.767 ,28.872 ,11.818 ,626 ,0 ,0 ,11.192 ,0 ,0 ,144.141 ,34.548 ,0 ,0 ,6.485 ,28.063 ,380 ,380 ,38 ,38 ,0 ,0 ,109.176 ,109.176 ,3.505 ,3.505 ,3.505 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,191.959 ,191.959 ,191.959 ,0 ,0 ,0 
31,DOLENJSKE TOPLICE,954.507 ,598.335 ,587.160 ,477.212 ,477.212 ,52.099 ,31.372 ,0 ,142 ,20.585 ,57.849 ,889 ,0 ,0 ,56.960 ,0 ,0 ,11.175 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.175 ,11.175 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.840 ,1.840 ,1.840 ,0 ,0 ,0 ,0 ,354.332 ,354.332 ,354.332 ,0 ,0 ,0 
32,DOMŽALE,10.381.042 ,9.954.035 ,8.331.280 ,6.025.684 ,6.025.684 ,1.839.843 ,1.103.927 ,13 ,36.451 ,699.453 ,465.753 ,99.967 ,0 ,0 ,365.786 ,0 ,0 ,1.622.755 ,187.348 ,0 ,30.003 ,151.335 ,6.009 ,2.788 ,2.788 ,6.873 ,6.873 ,100.497 ,100.497 ,1.325.250 ,1.325.250 ,168.699 ,426 ,0 ,0 ,426 ,0 ,0 ,0 ,0 ,168.273 ,0 ,168.273 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,258.308 ,258.308 ,232.720 ,0 ,0 ,25.588 
33,DORNAVA,994.938 ,414.376 ,224.962 ,218.490 ,218.490 ,1.352 ,288 ,0 ,325 ,739 ,5.120 ,739 ,0 ,1.469 ,2.913 ,0 ,0 ,189.413 ,20.201 ,0 ,0 ,5.241 ,14.960 ,0 ,0 ,213 ,213 ,0 ,0 ,168.999 ,168.999 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,580.563 ,580.563 ,580.563 ,0 ,0 ,0 
34,DRAVOGRAD,3.402.671 ,2.043.841 ,1.483.776 ,1.115.565 ,1.115.565 ,283.880 ,249.946 ,0 ,1.865 ,32.069 ,84.331 ,30.012 ,0 ,0 ,54.319 ,0 ,0 ,560.065 ,209.059 ,0 ,0 ,3.993 ,205.066 ,392 ,392 ,79 ,79 ,868 ,868 ,349.666 ,349.666 ,46.720 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,46.720 ,0 ,46.720 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.312.110 ,1.312.110 ,1.280.496 ,0 ,0 ,31.614 
