102.,MUTA,2.567.706 ,1.271.240 ,828.672 ,648.214 ,648.214 ,90.986 ,51.590 ,0 ,993 ,38.403 ,89.472 ,718 ,0 ,88.754 ,0 ,0 ,442.568 ,388.474 ,1.152 ,513 ,386.809 ,5.759 ,5.759 ,830 ,830 ,11.668 ,11.668 ,35.837 ,35.837 ,260.691 ,252.500 ,238.312 ,0 ,14.188 ,0 ,0 ,8.191 ,0 ,8.191 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.035.775 ,1.035.775 ,1.013.862 ,20.739 ,0 ,1.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
103.,NAKLO,4.040.573 ,2.891.076 ,2.242.350 ,1.547.868 ,1.547.868 ,533.984 ,445.327 ,0 ,1.201 ,87.456 ,160.498 ,1.186 ,0 ,159.312 ,0 ,0 ,648.726 ,91.711 ,31.089 ,18.272 ,42.349 ,10.967 ,10.967 ,2.152 ,2.152 ,10.910 ,10.910 ,532.987 ,532.987 ,181.748 ,0 ,0 ,0 ,0 ,0 ,0 ,181.748 ,0 ,181.748 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,967.749 ,967.749 ,967.749 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
104.,NAZARJE,1.513.120 ,855.003 ,773.464 ,505.191 ,505.191 ,210.925 ,183.050 ,0 ,3.948 ,23.928 ,57.349 ,618 ,0 ,56.731 ,0 ,0 ,81.539 ,37.611 ,0 ,505 ,37.106 ,3.639 ,3.639 ,179 ,179 ,0 ,0 ,40.110 ,40.110 ,69.742 ,32.528 ,32.528 ,0 ,0 ,0 ,0 ,37.214 ,9.685 ,27.529 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,588.374 ,588.374 ,588.374 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
105.,MESTNA OBČINA NOVA GORICA,32.643.799 ,28.731.088 ,18.538.979 ,13.224.353 ,13.224.353 ,3.853.572 ,3.070.977 ,0 ,96.395 ,686.200 ,1.461.054 ,32.248 ,0 ,1.428.806 ,0 ,0 ,10.192.109 ,8.447.655 ,138.616 ,136.146 ,8.172.893 ,44.880 ,44.880 ,153.255 ,153.255 ,26.352 ,26.352 ,1.519.967 ,1.519.967 ,1.915.194 ,191.158 ,189.601 ,1.114 ,442 ,0 ,0 ,1.724.036 ,3.822 ,1.720.214 ,0 ,8.784 ,8.784 ,8.776 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.988.733 ,1.788.633 ,1.651.728 ,136.905 ,0 ,0 ,0 ,200.100 ,200.100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106.,MESTNA OBČINA NOVO MESTO,27.953.451 ,22.904.882 ,21.089.722 ,14.888.136 ,14.888.136 ,4.673.072 ,3.587.886 ,376 ,230.229 ,854.582 ,1.528.514 ,78.614 ,0 ,1.449.900 ,0 ,0 ,1.815.160 ,452.575 ,60.549 ,21.082 ,370.944 ,34.055 ,34.055 ,191.450 ,191.450 ,332.528 ,332.528 ,804.553 ,804.553 ,2.256.118 ,54.594 ,54.594 ,0 ,0 ,0 ,0 ,2.201.523 ,0 ,2.201.523 ,0 ,2.921 ,2.921 ,2.921 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.789.530 ,2.789.530 ,2.789.530 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
107.,ODRANCI,1.465.114 ,278.708 ,219.635 ,172.434 ,172.434 ,33.925 ,27.299 ,0 ,3.572 ,3.054 ,13.276 ,294 ,0 ,12.982 ,0 ,0 ,59.073 ,4.876 ,0 ,4.650 ,226 ,1.543 ,1.543 ,0 ,0 ,0 ,0 ,52.655 ,52.655 ,35.262 ,35.262 ,35.262 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.151.144 ,1.151.144 ,1.151.144 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
108.,OPLOTNICA,2.034.443 ,915.402 ,836.158 ,674.745 ,674.745 ,103.885 ,97.242 ,0 ,284 ,6.360 ,57.528 ,730 ,0 ,56.798 ,0 ,0 ,79.244 ,53.084 ,171 ,1.097 ,51.815 ,2.633 ,2.633 ,714 ,714 ,246 ,246 ,22.567 ,22.567 ,151.131 ,25.943 ,25.943 ,0 ,0 ,0 ,0 ,125.188 ,0 ,125.188 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,967.910 ,967.910 ,934.965 ,0 ,0 ,32.945 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
109.,ORMOŽ,12.205.391 ,6.847.868 ,4.392.076 ,2.878.898 ,2.878.898 ,1.036.797 ,904.023 ,46 ,21.966 ,110.762 ,476.381 ,8.613 ,0 ,467.768 ,0 ,0 ,2.455.792 ,617.660 ,69.888 ,81.785 ,465.986 ,35.879 ,35.879 ,19.517 ,19.517 ,63.825 ,63.825 ,1.718.912 ,1.718.912 ,1.075.985 ,26.494 ,18.232 ,0 ,0 ,8.262 ,0 ,1.049.491 ,0 ,1.049.491 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.281.539 ,4.074.887 ,3.939.789 ,0 ,0 ,135.098 ,0 ,206.652 ,126.590 ,0 ,0 ,0 ,0 ,0 ,80.062 ,0 
110.,OSILNICA,657.435 ,125.755 ,92.322 ,67.474 ,67.474 ,19.824 ,12.847 ,0 ,5.137 ,1.839 ,5.024 ,0 ,0 ,5.024 ,0 ,0 ,33.434 ,8.887 ,0 ,6.104 ,2.783 ,433 ,433 ,139 ,139 ,23.671 ,23.671 ,303 ,303 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,1.000 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,530.680 ,530.680 ,528.658 ,0 ,0 ,2.022 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
111.,PESNICA,5.485.078 ,2.509.840 ,1.974.812 ,1.350.058 ,1.350.058 ,114.522 ,12.218 ,0 ,3.943 ,98.360 ,510.232 ,1.778 ,0 ,508.454 ,0 ,0 ,535.028 ,111.663 ,4.528 ,43.206 ,63.929 ,7.595 ,7.595 ,4.240 ,4.240 ,0 ,0 ,411.530 ,411.530 ,937.477 ,1.202 ,1.202 ,0 ,0 ,0 ,0 ,936.275 ,522 ,935.754 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.037.761 ,2.037.761 ,1.945.931 ,0 ,0 ,49.921 ,41.909 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
112.,PIRAN,17.826.461 ,15.394.629 ,10.925.388 ,6.242.798 ,6.242.798 ,2.656.405 ,1.556.885 ,2.036 ,147.868 ,949.616 ,2.026.185 ,20.702 ,0 ,2.005.483 ,0 ,0 ,4.469.241 ,1.631.264 ,17 ,94.400 ,1.536.847 ,59.214 ,59.214 ,148.523 ,148.523 ,21.107 ,21.107 ,2.609.135 ,2.609.135 ,1.718.152 ,352.591 ,351.410 ,1.181 ,0 ,0 ,0 ,1.365.561 ,16.692 ,1.348.869 ,0 ,4.152 ,4.152 ,4.152 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,709.527 ,709.527 ,707.465 ,2.061 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
113.,PIVKA,4.635.551 ,2.828.863 ,2.256.527 ,1.422.724 ,1.422.724 ,557.412 ,481.140 ,0 ,14.555 ,61.717 ,276.391 ,949 ,0 ,275.442 ,0 ,0 ,572.336 ,143.857 ,95 ,4.886 ,138.876 ,12.561 ,12.561 ,1.864 ,1.864 ,14.650 ,14.650 ,399.404 ,399.404 ,533.738 ,219.035 ,219.035 ,0 ,0 ,0 ,0 ,314.703 ,0 ,314.703 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.272.950 ,1.197.944 ,1.180.291 ,11.684 ,0 ,5.969 ,0 ,75.006 ,75.006 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
114.,PODČETRTEK,2.782.720 ,1.376.715 ,978.184 ,486.158 ,486.158 ,158.959 ,131.706 ,0 ,1.602 ,25.651 ,333.066 ,455 ,0 ,332.611 ,0 ,0 ,398.531 ,68.949 ,0 ,21.624 ,47.325 ,11.279 ,11.279 ,3.597 ,3.597 ,0 ,0 ,314.705 ,314.705 ,16.546 ,0 ,0 ,0 ,0 ,0 ,0 ,16.546 ,0 ,16.546 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.389.459 ,1.389.459 ,1.252.942 ,0 ,0 ,136.517 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
115.,PODLEHNIK,1.889.644 ,924.295 ,870.461 ,234.718 ,234.718 ,37.358 ,24.881 ,0 ,907 ,11.569 ,598.385 ,430 ,0 ,597.955 ,0 ,0 ,53.834 ,11.922 ,0 ,3.952 ,7.970 ,4.813 ,4.813 ,0 ,0 ,0 ,0 ,37.099 ,37.099 ,36.026 ,36.026 ,36.026 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,929.323 ,929.323 ,920.314 ,9.010 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
116.,PODVELKA,1.750.125 ,1.321.165 ,693.482 ,376.014 ,376.014 ,263.771 ,208.308 ,0 ,20.656 ,34.806 ,53.697 ,2.767 ,0 ,50.931 ,0 ,0 ,627.683 ,605.759 ,7.632 ,11.459 ,586.668 ,2.508 ,2.508 ,1.744 ,1.744 ,0 ,0 ,17.672 ,17.672 ,2.604 ,0 ,0 ,0 ,0 ,0 ,0 ,2.604 ,0 ,2.604 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,426.356 ,426.356 ,306.756 ,0 ,0 ,119.600 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
117.,POLZELA,2.895.923 ,1.948.731 ,1.692.130 ,1.295.848 ,1.295.848 ,232.211 ,161.672 ,83 ,1.035 ,69.421 ,164.071 ,847 ,0 ,163.224 ,0 ,0 ,256.602 ,85.733 ,6.798 ,4.553 ,74.382 ,8.634 ,8.634 ,547 ,547 ,1.452 ,1.452 ,160.236 ,160.236 ,248.156 ,133.592 ,133.592 ,0 ,0 ,0 ,0 ,114.564 ,0 ,114.564 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,699.036 ,699.036 ,699.036 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
118.,POSTOJNA,9.135.695 ,7.250.113 ,5.966.984 ,4.484.435 ,4.484.435 ,849.921 ,551.427 ,0 ,19.346 ,279.148 ,632.628 ,17.447 ,0 ,615.181 ,0 ,0 ,1.283.129 ,893.457 ,0 ,2.533 ,890.924 ,13.195 ,13.195 ,3.797 ,3.797 ,6.347 ,6.347 ,366.333 ,366.333 ,1.042.827 ,785.854 ,785.245 ,209 ,401 ,0 ,0 ,256.973 ,7.899 ,249.074 ,0 ,1.168 ,1.168 ,1.168 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,841.587 ,841.587 ,795.614 ,3.902 ,0 ,42.071 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
119.,PREBOLD,2.644.780 ,1.612.181 ,1.440.402 ,1.037.506 ,1.037.506 ,202.733 ,89.843 ,0 ,4.861 ,108.029 ,200.163 ,701 ,0 ,199.462 ,0 ,0 ,171.779 ,123.018 ,6.614 ,985 ,115.419 ,3.847 ,3.847 ,484 ,484 ,14.284 ,14.284 ,30.145 ,30.145 ,294.646 ,51.456 ,51.456 ,0 ,0 ,0 ,0 ,243.190 ,0 ,243.190 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,737.953 ,737.953 ,681.547 ,56.405 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
120.,PREDDVOR,2.035.875 ,1.211.663 ,1.145.201 ,900.234 ,900.234 ,115.102 ,85.178 ,0 ,2.687 ,27.237 ,129.866 ,509 ,0 ,129.357 ,0 ,0 ,66.462 ,44.062 ,22.642 ,8.822 ,12.598 ,7.081 ,7.081 ,935 ,935 ,10.136 ,10.136 ,4.248 ,4.248 ,24.094 ,3.601 ,3.217 ,384 ,0 ,0 ,0 ,20.493 ,16.320 ,4.173 ,0 ,5.112 ,5.112 ,5.112 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,795.005 ,795.005 ,795.005 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
121.,PREVALJE,3.972.329 ,2.447.175 ,2.118.044 ,1.550.751 ,1.550.751 ,331.643 ,279.674 ,0 ,1.402 ,50.568 ,235.649 ,2.979 ,0 ,232.670 ,0 ,0 ,329.131 ,245.514 ,1.511 ,7.845 ,236.158 ,13.395 ,13.395 ,618 ,618 ,0 ,0 ,69.604 ,69.604 ,225.313 ,119.951 ,119.951 ,0 ,0 ,0 ,0 ,105.362 ,0 ,105.362 ,0 ,2.545 ,2.545 ,417 ,2.128 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.297.296 ,1.257.257 ,1.236.451 ,20.806 ,0 ,0 ,0 ,40.039 ,40.039 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
122.,MESTNA OBČINA PTUJ,18.798.268 ,13.284.335 ,9.178.176 ,6.728.380 ,6.728.380 ,1.783.876 ,1.323.786 ,242 ,14.092 ,445.756 ,665.920 ,14.952 ,0 ,650.968 ,0 ,0 ,4.106.159 ,2.272.734 ,66.387 ,50.388 ,2.155.959 ,48.761 ,48.761 ,60.295 ,60.295 ,3.100 ,3.100 ,1.721.269 ,1.721.269 ,1.671.641 ,417.122 ,417.122 ,0 ,0 ,0 ,0 ,1.254.519 ,19.650 ,1.234.869 ,0 ,501 ,501 ,501 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.841.792 ,3.805.195 ,3.423.982 ,381.213 ,0 ,0 ,0 ,36.597 ,36.597 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
123.,PUCONCI,5.889.909 ,1.787.540 ,1.472.884 ,893.311 ,893.311 ,178.543 ,136.180 ,32 ,5.730 ,36.600 ,401.030 ,6.635 ,0 ,394.395 ,0 ,0 ,314.656 ,41.506 ,2.813 ,6.563 ,32.129 ,16.096 ,16.096 ,142 ,142 ,31.899 ,31.899 ,225.014 ,225.014 ,73.983 ,10.585 ,10.568 ,0 ,17 ,0 ,0 ,63.398 ,18.715 ,44.684 ,0 ,76.782 ,76.782 ,10.015 ,66.767 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.951.604 ,3.764.865 ,2.570.518 ,994.179 ,0 ,200.168 ,0 ,186.738 ,186.738 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
124.,RAČE - FRAM,3.755.700 ,2.902.917 ,2.158.333 ,1.452.137 ,1.452.137 ,507.198 ,411.580 ,104 ,9.322 ,86.192 ,198.999 ,37.235 ,0 ,161.763 ,0 ,0 ,744.584 ,122.229 ,18.044 ,38.658 ,65.527 ,4.836 ,4.836 ,3.509 ,3.509 ,366.763 ,366.763 ,247.246 ,247.246 ,81.205 ,0 ,0 ,0 ,0 ,0 ,0 ,81.205 ,0 ,81.205 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,771.578 ,771.578 ,769.492 ,2.086 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
125.,RADEČE,2.764.305 ,1.631.201 ,1.323.105 ,1.078.426 ,1.078.426 ,119.500 ,87.139 ,0 ,747 ,31.614 ,125.179 ,1.594 ,0 ,123.585 ,0 ,0 ,308.095 ,262.293 ,167 ,2.153 ,259.973 ,5.888 ,5.888 ,113 ,113 ,2.529 ,2.529 ,37.273 ,37.273 ,52.863 ,50.559 ,50.559 ,0 ,0 ,0 ,0 ,2.303 ,2.303 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.080.241 ,1.080.241 ,1.071.895 ,0 ,0 ,8.346 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
126.,RADENCI,2.893.062 ,2.314.526 ,2.000.663 ,1.336.815 ,1.336.815 ,284.057 ,246.551 ,0 ,803 ,36.703 ,379.792 ,81.731 ,0 ,298.061 ,0 ,0 ,313.863 ,201.007 ,0 ,10.300 ,190.707 ,3.668 ,3.668 ,961 ,961 ,0 ,0 ,108.227 ,108.227 ,17.581 ,16.248 ,16.248 ,0 ,0 ,0 ,0 ,1.333 ,0 ,1.333 ,0 ,20.865 ,20.865 ,20.865 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,540.090 ,540.090 ,535.764 ,0 ,0 ,4.326 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
127.,RADLJE OB DRAVI,3.721.169 ,2.317.414 ,1.736.884 ,1.179.937 ,1.179.937 ,386.997 ,268.336 ,146 ,9.952 ,108.563 ,169.951 ,2.525 ,0 ,167.426 ,0 ,0 ,580.529 ,511.313 ,2.049 ,5.742 ,503.522 ,4.674 ,4.674 ,2.420 ,2.420 ,36.254 ,36.254 ,25.868 ,25.868 ,110.436 ,27.888 ,27.124 ,764 ,0 ,0 ,0 ,82.549 ,0 ,82.549 ,0 ,16.128 ,16.128 ,16.128 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.277.191 ,1.277.191 ,1.275.939 ,1.252 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
128.,RADOVLJICA,11.657.161 ,9.181.685 ,8.300.334 ,5.712.231 ,5.712.231 ,1.561.350 ,1.222.989 ,1.836 ,22.488 ,314.038 ,1.026.753 ,129.369 ,0 ,897.384 ,0 ,0 ,881.351 ,466.529 ,27.312 ,14.000 ,425.217 ,14.568 ,14.568 ,41.345 ,41.345 ,39.643 ,39.643 ,319.266 ,319.266 ,686.221 ,188.232 ,188.036 ,38 ,159 ,0 ,0 ,497.989 ,86.242 ,411.747 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.789.255 ,1.708.826 ,1.692.134 ,16.692 ,0 ,0 ,0 ,80.429 ,26.515 ,0 ,0 ,53.914 ,0 ,0 ,0 ,0 
129.,RAVNE NA KOROŠKEM,7.358.154 ,5.043.261 ,4.488.583 ,3.053.059 ,3.053.059 ,964.004 ,866.788 ,0 ,6.180 ,91.037 ,471.520 ,9.097 ,0 ,462.423 ,0 ,0 ,554.678 ,461.622 ,3.126 ,15.260 ,443.236 ,16.191 ,16.191 ,2.345 ,2.345 ,0 ,0 ,74.520 ,74.520 ,804.231 ,496.854 ,496.854 ,0 ,0 ,0 ,0 ,307.378 ,0 ,307.378 ,0 ,97.463 ,97.463 ,91.291 ,6.172 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.413.199 ,1.413.199 ,1.339.526 ,40.290 ,0 ,33.383 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
130.,RAZKRIŽJE,678.454 ,286.274 ,223.402 ,162.626 ,162.626 ,33.602 ,28.944 ,0 ,1.277 ,3.381 ,27.174 ,292 ,0 ,26.882 ,0 ,0 ,62.872 ,6.886 ,0 ,644 ,6.242 ,1.856 ,1.856 ,0 ,0 ,4.887 ,4.887 ,49.244 ,49.244 ,34.781 ,32.219 ,32.219 ,0 ,0 ,0 ,0 ,2.562 ,0 ,2.562 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,357.399 ,357.399 ,355.688 ,1.711 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
131.,RIBNICA,5.143.578 ,3.070.669 ,2.673.469 ,2.132.653 ,2.132.653 ,305.429 ,189.355 ,0 ,20.214 ,95.860 ,235.386 ,2.817 ,0 ,232.570 ,0 ,0 ,397.200 ,256.059 ,1.473 ,12.335 ,242.251 ,15.498 ,15.498 ,542 ,542 ,40.231 ,40.231 ,84.869 ,84.869 ,210.324 ,88.954 ,88.954 ,0 ,0 ,0 ,0 ,121.370 ,0 ,121.370 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.862.586 ,1.862.586 ,1.855.838 ,6.748 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
132.,RIBNICA NA POHORJU,832.816 ,305.354 ,227.587 ,164.359 ,164.359 ,28.084 ,17.464 ,0 ,3.167 ,7.453 ,35.144 ,551 ,0 ,34.594 ,0 ,0 ,77.767 ,61.563 ,2.750 ,3.142 ,55.671 ,1.565 ,1.565 ,993 ,993 ,622 ,622 ,13.024 ,13.024 ,25.897 ,25.897 ,25.897 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.800 ,2.800 ,2.800 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,498.765 ,498.765 ,491.871 ,0 ,0 ,6.894 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
133.,ROGAŠKA SLATINA,6.307.858 ,4.075.664 ,3.649.837 ,2.101.498 ,2.101.498 ,874.700 ,555.408 ,0 ,5.521 ,313.771 ,673.640 ,11.367 ,0 ,662.273 ,0 ,0 ,425.826 ,200.555 ,217 ,23.022 ,177.316 ,15.778 ,15.778 ,9.301 ,9.301 ,0 ,0 ,200.192 ,200.192 ,39.259 ,15.811 ,15.811 ,0 ,0 ,0 ,0 ,23.448 ,0 ,23.448 ,0 ,2.771 ,2.771 ,0 ,2.771 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.190.164 ,2.190.164 ,2.138.449 ,0 ,0 ,51.715 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
134.,ROGAŠOVCI,1.574.794 ,397.848 ,359.546 ,301.038 ,301.038 ,8.054 ,2 ,0 ,2.454 ,5.598 ,50.453 ,38.484 ,0 ,11.968 ,0 ,0 ,38.303 ,9.813 ,1.722 ,3.755 ,4.336 ,4.696 ,4.696 ,0 ,0 ,287 ,287 ,23.508 ,23.508 ,484 ,0 ,0 ,0 ,0 ,0 ,0 ,484 ,484 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.176.462 ,1.176.462 ,1.119.838 ,0 ,0 ,56.624 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
135.,ROGATEC,2.284.548 ,1.046.536 ,784.018 ,471.165 ,471.165 ,174.341 ,154.586 ,0 ,4.160 ,15.594 ,138.512 ,33 ,0 ,138.479 ,0 ,0 ,262.519 ,98.193 ,0 ,2.612 ,95.581 ,4.937 ,4.937 ,1.206 ,1.206 ,689 ,689 ,157.495 ,157.495 ,106.673 ,106.673 ,106.673 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.131.339 ,1.131.339 ,1.125.509 ,0 ,0 ,5.830 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
136.,RUŠE,5.098.181 ,3.733.250 ,2.826.235 ,1.683.392 ,1.683.392 ,833.484 ,765.507 ,476 ,5.934 ,61.567 ,309.360 ,2.541 ,0 ,306.819 ,0 ,0 ,907.015 ,483.392 ,12.619 ,9.364 ,461.409 ,7.962 ,7.962 ,931 ,931 ,371.703 ,371.703 ,43.027 ,43.027 ,80.850 ,25.309 ,25.309 ,0 ,0 ,0 ,0 ,55.542 ,0 ,55.542 ,0 ,3.647 ,3.647 ,3.438 ,209 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.280.433 ,1.280.433 ,1.016.658 ,2.842 ,260.933 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
137.,SELNICA OB DRAVI,2.400.492 ,1.836.054 ,1.374.620 ,976.940 ,976.940 ,198.176 ,168.060 ,0 ,939 ,29.177 ,199.503 ,1.123 ,0 ,198.381 ,0 ,0 ,461.434 ,425.593 ,7.912 ,3.726 ,413.954 ,7.052 ,7.052 ,6.856 ,6.856 ,3.572 ,3.572 ,18.361 ,18.361 ,3.192 ,351 ,351 ,0 ,0 ,0 ,0 ,2.842 ,0 ,2.842 ,0 ,309 ,309 ,0 ,309 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,560.937 ,560.937 ,513.871 ,0 ,0 ,47.066 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
138.,SEMIČ,2.063.040 ,920.030 ,875.200 ,716.842 ,716.842 ,105.709 ,75.981 ,0 ,2.829 ,26.899 ,52.650 ,305 ,0 ,52.345 ,0 ,0 ,44.830 ,24.403 ,0 ,2.153 ,22.250 ,3.468 ,3.468 ,2.274 ,2.274 ,209 ,209 ,14.476 ,14.476 ,27.842 ,5.583 ,3.827 ,1.757 ,0 ,0 ,0 ,22.258 ,6.201 ,16.057 ,0 ,10.641 ,10.641 ,755 ,9.886 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.104.528 ,1.104.528 ,1.104.528 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
139.,SEVNICA,10.638.136 ,5.624.687 ,4.567.042 ,3.634.944 ,3.634.944 ,462.899 ,335.236 ,29 ,18.323 ,109.310 ,469.200 ,2.141 ,0 ,467.059 ,0 ,0 ,1.057.645 ,205.066 ,0 ,12.252 ,192.814 ,13.366 ,13.366 ,5.884 ,5.884 ,28.689 ,28.689 ,804.640 ,804.640 ,221.995 ,98.360 ,98.360 ,0 ,0 ,0 ,0 ,123.635 ,3.672 ,119.963 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.791.454 ,4.733.033 ,4.733.033 ,0 ,0 ,0 ,0 ,58.421 ,0 ,58.421 ,0 ,0 ,0 ,0 ,0 ,0 
140.,SEŽANA,10.596.829 ,8.601.335 ,5.581.543 ,4.060.558 ,4.060.558 ,1.028.764 ,661.572 ,772 ,62.189 ,304.231 ,492.222 ,51.218 ,0 ,441.003 ,0 ,0 ,3.019.792 ,2.133.650 ,19.112 ,35.341 ,2.079.198 ,17.343 ,17.343 ,1.068 ,1.068 ,2.383 ,2.383 ,865.348 ,865.348 ,1.506.556 ,919.805 ,919.805 ,0 ,0 ,0 ,0 ,586.751 ,2.166 ,584.585 ,0 ,1.264 ,609 ,609 ,0 ,655 ,655 ,0 ,0 ,0 ,0 ,0 ,487.673 ,487.673 ,487.673 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
