38.,GORNJA RADGONA,70.326 ,70.326 ,70.326 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,16.692 ,16.692 ,0 ,0 ,0 ,0 ,0 ,4.173 ,2.086 ,0 ,2.086 ,0 ,0 ,49.462 ,426.707 
39.,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.043 
40.,GORNJI PETROVCI,83.459 ,83.459 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83.459 ,83.459 ,0 ,0 ,0 ,83.459 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.013 
41.,GRAD,37.427 ,37.427 ,6.259 ,0 ,31.168 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.443 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.443 ,0 ,0 ,0 ,3.443 ,0 ,33.984 ,71.829 
42.,GROSUPLJE,61.438 ,61.438 ,34.180 ,0 ,0 ,27.258 ,0 ,0 ,0 ,0 ,0 ,0 ,109.539 ,46.945 ,46.945 ,0 ,0 ,0 ,0 ,0 ,62.594 ,0 ,0 ,0 ,62.594 ,0 ,-48.101 ,-315.970 
43.,HAJDINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,91.099 
44.,HOČE - SLIVNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-532.891 
45.,HODOŠ,121.015 ,121.015 ,0 ,0 ,121.015 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,121.015 ,123.865 
46.,HORJUL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,264.810 
47.,HRASTNIK,5.245 ,5.245 ,0 ,0 ,0 ,5.245 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.245 ,31.693 
48.,HRPELJE - KOZINA,58.421 ,58.421 ,0 ,0 ,58.421 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,58.421 ,312.352 
49.,IDRIJA,7.002 ,7.002 ,376 ,2.216 ,0 ,0 ,4.411 ,0 ,0 ,0 ,0 ,0 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,2.829 ,407.941 
50.,IG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,396.616 
51.,ILIRSKA BISTRICA,17.330 ,17.330 ,17.330 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17.330 ,-146.516 
52.,IVANČNA GORICA,669.304 ,27.867 ,25.684 ,0 ,0 ,2.182 ,0 ,0 ,641.437 ,0 ,641.437 ,0 ,1.682.061 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.682.061 ,0 ,0 ,0 ,1.682.061 ,0 ,-1.012.757 ,-465.369 
53.,IZOLA,313.875 ,313.875 ,269.492 ,0 ,0 ,44.383 ,0 ,0 ,0 ,0 ,0 ,0 ,22.534 ,22.534 ,0 ,0 ,0 ,0 ,22.534 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,291.341 ,-75.242 
54.,JESENICE,24.950 ,24.950 ,0 ,0 ,0 ,23.698 ,1.252 ,0 ,0 ,0 ,0 ,0 ,245.669 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,245.669 ,245.669 ,0 ,0 ,0 ,0 ,-220.719 ,239.109 
55.,JEZERSKO,6.360 ,6.360 ,2.187 ,0 ,0 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.187 ,38.963 
56.,JURŠINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 
57.,KAMNIK,4.569 ,4.569 ,4.569 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.569 ,672.642 
