35.,DUPLEK,3.099.942 ,1.455.187 ,1.283.150 ,928.998 ,928.998 ,77.487 ,48.005 ,0 ,1.110 ,28.372 ,276.665 ,2.216 ,0 ,0 ,274.449 ,0 ,0 ,172.037 ,34.610 ,8.045 ,0 ,17.001 ,9.564 ,8.200 ,8.200 ,1.536 ,1.536 ,100 ,100 ,127.591 ,127.591 ,115.290 ,0 ,0 ,0 ,0 ,0 ,0 ,115.290 ,0 ,115.290 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.529.465 ,1.529.465 ,1.458.525 ,0 ,0 ,70.940 
36.,GORENJA VAS - POLJANE,3.965.907 ,1.759.948 ,1.410.253 ,1.105.926 ,1.105.926 ,194.813 ,165.198 ,0 ,9.210 ,20.406 ,109.514 ,1.461 ,0 ,0 ,108.054 ,0 ,0 ,349.695 ,114.067 ,58 ,3.993 ,44.667 ,65.348 ,11.242 ,11.242 ,409 ,409 ,162.068 ,162.068 ,61.910 ,61.910 ,64.351 ,29 ,0 ,0 ,29 ,0 ,0 ,64.321 ,0 ,64.321 ,0 ,212.085 ,212.085 ,835 ,211.250 ,0 ,0 ,0 ,1.929.523 ,1.929.523 ,1.908.563 ,20.961 ,0 ,0 
37.,GORIŠNICA,3.062.402 ,1.878.105 ,1.054.202 ,780.442 ,780.442 ,165.553 ,142.526 ,0 ,1.782 ,21.244 ,108.208 ,2.320 ,0 ,0 ,105.888 ,0 ,0 ,823.903 ,633.984 ,0 ,0 ,6.994 ,626.990 ,12.899 ,12.899 ,3.055 ,3.055 ,0 ,0 ,173.965 ,173.965 ,7.874 ,0 ,0 ,0 ,0 ,0 ,0 ,7.874 ,0 ,7.874 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.176.423 ,1.176.423 ,1.163.412 ,13.011 ,0 ,0 
38.,GORNJA RADGONA,6.923.314 ,4.010.436 ,2.549.103 ,1.804.861 ,1.804.861 ,365.060 ,294.517 ,0 ,8.938 ,61.605 ,379.181 ,29.185 ,0 ,0 ,349.996 ,0 ,0 ,1.461.334 ,366.704 ,0 ,0 ,21.027 ,345.677 ,20.681 ,20.681 ,91.867 ,91.867 ,25.689 ,25.689 ,956.393 ,956.393 ,135.036 ,21.524 ,21.524 ,0 ,0 ,0 ,0 ,113.512 ,0 ,113.512 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.777.842 ,2.777.842 ,2.662.577 ,0 ,0 ,115.265 
39.,GORNJI GRAD,1.371.491 ,514.993 ,461.413 ,341.992 ,341.992 ,54.340 ,35.933 ,0 ,8.504 ,9.902 ,65.081 ,317 ,0 ,0 ,64.764 ,0 ,0 ,53.580 ,33.271 ,0 ,0 ,121 ,33.150 ,4.394 ,4.394 ,0 ,0 ,0 ,0 ,15.916 ,15.916 ,58.580 ,58.580 ,58.580 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,797.918 ,797.918 ,796.378 ,1.540 ,0 ,0 
40.,GORNJI PETROVCI,1.347.784 ,344.734 ,240.799 ,221.286 ,221.286 ,9.122 ,138 ,0 ,768 ,8.216 ,10.391 ,376 ,0 ,0 ,10.015 ,0 ,0 ,103.935 ,13.996 ,0 ,0 ,509 ,13.487 ,7.052 ,7.052 ,50 ,50 ,451 ,451 ,82.386 ,82.386 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32.515 ,32.515 ,8.346 ,24.170 ,0 ,0 ,0 ,970.535 ,970.535 ,843.820 ,4.173 ,0 ,122.542 
41.,GRAD,1.550.951 ,714.739 ,204.632 ,148.560 ,148.560 ,44.997 ,43.348 ,0 ,517 ,1.131 ,11.075 ,672 ,0 ,0 ,10.403 ,0 ,0 ,510.107 ,215.532 ,0 ,939 ,1.903 ,212.690 ,6.230 ,6.230 ,0 ,0 ,167.409 ,167.409 ,120.936 ,120.936 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.473 ,1.473 ,0 ,1.473 ,0 ,0 ,0 ,834.740 ,834.740 ,801.252 ,8 ,0 ,33.479 
42.,GROSUPLJE,9.757.144 ,8.403.505 ,6.187.189 ,4.471.153 ,4.471.153 ,818.603 ,526.277 ,0 ,32.202 ,260.124 ,897.434 ,6.092 ,0 ,0 ,891.341 ,0 ,0 ,2.216.316 ,162.398 ,0 ,2.408 ,30.842 ,129.148 ,38.353 ,38.353 ,3.222 ,3.222 ,50.451 ,50.451 ,1.961.893 ,1.961.893 ,571.332 ,283.379 ,283.379 ,0 ,0 ,0 ,0 ,287.953 ,580 ,287.373 ,0 ,1.002 ,1.002 ,167 ,835 ,0 ,0 ,0 ,781.305 ,781.305 ,777.583 ,2.053 ,0 ,1.669 
43.,HAJDINA,1.889.209 ,1.799.758 ,1.707.649 ,673.665 ,673.665 ,931.092 ,921.311 ,0 ,363 ,9.418 ,102.892 ,684 ,0 ,0 ,102.207 ,0 ,0 ,92.109 ,26.060 ,0 ,0 ,21.662 ,4.398 ,6.935 ,6.935 ,1.435 ,1.435 ,200 ,200 ,57.478 ,57.478 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.519 ,12.519 ,0 ,12.519 ,0 ,0 ,0 ,76.932 ,76.932 ,76.932 ,0 ,0 ,0 
44.,HOČE - SLIVNICA,5.313.237 ,3.583.592 ,2.926.127 ,2.027.700 ,2.027.700 ,549.015 ,437.719 ,0 ,2.333 ,108.963 ,349.412 ,4.619 ,0 ,0 ,344.792 ,0 ,0 ,657.465 ,132.949 ,0 ,26.160 ,4.715 ,102.074 ,14.280 ,14.280 ,2.137 ,2.137 ,101.014 ,101.014 ,407.086 ,407.086 ,595.030 ,0 ,0 ,0 ,0 ,0 ,0 ,595.030 ,0 ,441.667 ,153.363 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.134.614 ,1.134.614 ,1.134.614 ,0 ,0 ,0 
45.,HODOŠ,344.746 ,48.352 ,38.061 ,19.596 ,19.596 ,9.001 ,5.817 ,0 ,296 ,2.888 ,9.464 ,0 ,0 ,0 ,9.464 ,0 ,0 ,10.290 ,939 ,0 ,0 ,438 ,501 ,1.331 ,1.331 ,0 ,0 ,0 ,0 ,8.020 ,8.020 ,1.707 ,1.707 ,1.707 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.715 ,9.715 ,835 ,8.880 ,0 ,0 ,0 ,284.973 ,284.973 ,224.796 ,60.178 ,0 ,0 
46.,HORJUL,1.153.351 ,742.293 ,656.510 ,549.353 ,549.353 ,59.869 ,44.191 ,0 ,2.041 ,13.637 ,47.288 ,117 ,0 ,0 ,47.171 ,0 ,0 ,85.783 ,39.284 ,0 ,0 ,9.260 ,30.024 ,4.528 ,4.528 ,3.313 ,3.313 ,0 ,0 ,38.658 ,38.658 ,7.386 ,0 ,0 ,0 ,0 ,0 ,0 ,7.386 ,0 ,4.661 ,2.725 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,403.672 ,403.672 ,378.134 ,25.538 ,0 ,0 
47.,HRASTNIK,5.890.068 ,3.987.848 ,3.495.331 ,2.158.717 ,2.158.717 ,839.806 ,786.985 ,0 ,6.652 ,46.169 ,496.808 ,23.786 ,0 ,0 ,473.022 ,0 ,0 ,492.518 ,385.462 ,0 ,1.640 ,21.595 ,362.227 ,16.162 ,16.162 ,0 ,0 ,2.095 ,2.095 ,88.800 ,88.800 ,69.383 ,47.334 ,47.334 ,0 ,0 ,0 ,0 ,22.050 ,0 ,22.050 ,0 ,70.815 ,70.815 ,0 ,70.815 ,0 ,0 ,0 ,1.762.022 ,1.762.022 ,1.598.894 ,163.128 ,0 ,0 
48.,HRPELJE - KOZINA,2.215.982 ,1.813.195 ,1.353.706 ,997.083 ,997.083 ,201.490 ,168.127 ,129 ,8.638 ,24.595 ,155.133 ,14.175 ,0 ,0 ,140.957 ,0 ,0 ,459.489 ,431.380 ,3.630 ,46 ,17.677 ,410.028 ,6.743 ,6.743 ,626 ,626 ,0 ,0 ,20.739 ,20.739 ,133.909 ,9.164 ,9.164 ,0 ,0 ,0 ,0 ,124.745 ,0 ,124.745 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,268.878 ,268.878 ,220.915 ,47.964 ,0 ,0 
49.,IDRIJA,6.155.408 ,5.378.184 ,4.621.895 ,3.773.243 ,3.773.243 ,506.347 ,426.945 ,0 ,24.620 ,54.782 ,342.305 ,14.050 ,0 ,0 ,328.255 ,0 ,0 ,756.289 ,680.729 ,0 ,309 ,70.318 ,610.103 ,21.970 ,21.970 ,8.934 ,8.934 ,9.089 ,9.089 ,35.566 ,35.566 ,210.649 ,57.207 ,56.372 ,522 ,313 ,0 ,0 ,153.443 ,0 ,153.443 ,0 ,20.881 ,20.881 ,0 ,20.881 ,0 ,0 ,0 ,545.694 ,545.694 ,521.632 ,24.061 ,0 ,0 
50.,IG,4.611.605 ,4.200.722 ,1.904.882 ,1.466.483 ,1.466.483 ,351.289 ,245.923 ,0 ,7.065 ,98.302 ,87.110 ,3.864 ,0 ,0 ,83.246 ,0 ,0 ,2.295.840 ,242.347 ,0 ,0 ,194.980 ,47.367 ,12.523 ,12.523 ,9.464 ,9.464 ,22.759 ,22.759 ,2.008.746 ,2.008.746 ,10.908 ,10.908 ,0 ,10.908 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,709 ,709 ,709 ,0 ,0 ,0 ,0 ,399.266 ,399.266 ,399.266 ,0 ,0 ,0 
51.,ILIRSKA BISTRICA,6.949.478 ,4.515.119 ,3.979.089 ,2.924.199 ,2.924.199 ,481.998 ,374.074 ,29 ,42.351 ,65.544 ,572.893 ,95.798 ,0 ,0 ,477.095 ,0 ,0 ,536.029 ,387.410 ,0 ,113 ,138.174 ,249.124 ,28.793 ,28.793 ,4.060 ,4.060 ,1.748 ,1.748 ,114.017 ,114.017 ,53.209 ,43.845 ,43.845 ,0 ,0 ,0 ,0 ,9.364 ,0 ,9.364 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.381.151 ,2.381.151 ,2.381.151 ,0 ,0 ,0 
52.,IVANČNA GORICA,7.988.967 ,4.289.593 ,3.695.084 ,2.882.941 ,2.882.941 ,320.477 ,124.236 ,0 ,12.114 ,184.126 ,491.667 ,62.644 ,0 ,0 ,429.023 ,0 ,0 ,594.508 ,156.702 ,0 ,0 ,120.335 ,36.367 ,18.770 ,18.770 ,2.224 ,2.224 ,19.792 ,19.792 ,397.021 ,397.021 ,1.356.606 ,1.353.793 ,1.352.003 ,1.790 ,0 ,0 ,0 ,2.813 ,2.813 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.342.768 ,2.342.768 ,2.342.768 ,0 ,0 ,0 
53.,IZOLA,11.678.597 ,8.956.877 ,6.453.430 ,4.112.656 ,4.112.656 ,1.256.606 ,665.227 ,1.665 ,21.265 ,568.449 ,1.084.168 ,17.576 ,0 ,0 ,1.066.592 ,0 ,0 ,2.503.447 ,998.740 ,221 ,0 ,165.966 ,832.553 ,37.227 ,37.227 ,91.400 ,91.400 ,200.880 ,200.880 ,1.175.200 ,1.175.200 ,2.086.642 ,389.267 ,389.267 ,0 ,0 ,0 ,0 ,1.697.375 ,0 ,1.697.375 ,0 ,8.346 ,8.346 ,8.346 ,0 ,0 ,0 ,0 ,626.732 ,626.732 ,625.968 ,0 ,0 ,764 
54.,JESENICE,12.751.143 ,8.613.892 ,5.775.292 ,4.386.042 ,4.386.042 ,950.447 ,695.552 ,13 ,27.996 ,226.886 ,438.804 ,36.171 ,0 ,0 ,402.633 ,0 ,0 ,2.838.600 ,1.992.631 ,0 ,11.208 ,69.225 ,1.912.197 ,34.498 ,34.498 ,5.375 ,5.375 ,34.468 ,34.468 ,771.628 ,771.628 ,1.152.863 ,964.426 ,964.038 ,0 ,388 ,0 ,0 ,188.437 ,0 ,188.437 ,0 ,13.395 ,13.395 ,459 ,12.936 ,0 ,0 ,0 ,2.970.994 ,2.970.994 ,2.894.897 ,64.342 ,0 ,11.755 
55.,JEZERSKO,417.301 ,240.010 ,208.408 ,148.556 ,148.556 ,29.899 ,25.100 ,0 ,1.410 ,3.388 ,29.953 ,0 ,0 ,0 ,29.953 ,0 ,0 ,31.602 ,22.525 ,0 ,572 ,4.398 ,17.556 ,1.519 ,1.519 ,0 ,0 ,209 ,209 ,7.349 ,7.349 ,2.433 ,2.433 ,0 ,2.433 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,626 ,626 ,0 ,626 ,0 ,0 ,0 ,174.232 ,174.232 ,174.232 ,0 ,0 ,0 
56.,JURŠINCI,1.219.221 ,296.007 ,244.312 ,165.578 ,165.578 ,36.647 ,33.225 ,0 ,568 ,2.854 ,42.088 ,0 ,0 ,0 ,42.088 ,0 ,0 ,51.694 ,3.605 ,88 ,0 ,430 ,3.088 ,4.281 ,4.281 ,772 ,772 ,0 ,0 ,43.035 ,43.035 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,835 ,835 ,0 ,835 ,0 ,0 ,0 ,922.379 ,922.379 ,920.472 ,1.907 ,0 ,0 
57.,KAMNIK,12.640.719 ,10.040.298 ,8.761.000 ,6.425.605 ,6.425.605 ,1.302.116 ,833.246 ,0 ,101.903 ,366.967 ,1.033.279 ,14.226 ,0 ,0 ,1.019.054 ,0 ,0 ,1.279.298 ,381.335 ,0 ,3.418 ,76.114 ,301.803 ,48.126 ,48.126 ,26.319 ,26.319 ,88.458 ,88.458 ,735.061 ,735.061 ,209.101 ,88.003 ,87.786 ,125 ,92 ,0 ,0 ,121.098 ,7.140 ,113.958 ,0 ,89.839 ,85.587 ,1.920 ,83.667 ,4.252 ,4.252 ,0 ,2.301.481 ,2.301.481 ,2.242.464 ,59.018 ,0 ,0 
58.,KANAL,3.758.587 ,2.930.553 ,1.976.201 ,1.380.342 ,1.380.342 ,448.617 ,402.372 ,0 ,19.200 ,27.045 ,147.242 ,484 ,0 ,0 ,146.758 ,0 ,0 ,954.352 ,863.446 ,15.062 ,0 ,19.674 ,828.710 ,10.233 ,10.233 ,967 ,967 ,64.421 ,64.421 ,15.285 ,15.285 ,33.183 ,348 ,0 ,348 ,0 ,0 ,0 ,32.836 ,2.130 ,30.705 ,0 ,282.185 ,282.185 ,5.800 ,276.385 ,0 ,0 ,0 ,512.666 ,512.666 ,509.587 ,0 ,0 ,3.079 
59.,KIDRIČEVO,3.214.647 ,1.869.091 ,1.516.846 ,1.114.180 ,1.114.180 ,200.392 ,166.216 ,0 ,3.280 ,30.896 ,202.274 ,8.638 ,0 ,0 ,193.636 ,0 ,0 ,352.245 ,110.845 ,0 ,0 ,53.005 ,57.841 ,12.068 ,12.068 ,472 ,472 ,0 ,0 ,228.860 ,228.860 ,39.747 ,0 ,0 ,0 ,0 ,0 ,0 ,39.747 ,3.931 ,35.816 ,0 ,209 ,209 ,209 ,0 ,0 ,0 ,0 ,1.305.600 ,1.305.600 ,1.257.682 ,47.918 ,0 ,0 
60.,KOBARID,3.675.747 ,1.587.177 ,1.192.355 ,925.901 ,925.901 ,75.509 ,34.606 ,0 ,11.100 ,29.803 ,190.945 ,305 ,0 ,0 ,190.640 ,0 ,0 ,394.821 ,370.848 ,0 ,0 ,1.310 ,369.538 ,10.695 ,10.695 ,1.273 ,1.273 ,0 ,0 ,12.006 ,12.006 ,240.986 ,114.597 ,114.597 ,0 ,0 ,0 ,0 ,126.390 ,0 ,126.390 ,0 ,4.173 ,4.173 ,0 ,4.173 ,0 ,0 ,0 ,1.843.411 ,1.843.411 ,1.834.994 ,0 ,0 ,8.417 
61.,KOBILJE,495.116 ,104.383 ,76.181 ,66.025 ,66.025 ,7.457 ,3.266 ,0 ,1.540 ,2.651 ,2.699 ,155 ,0 ,0 ,2.544 ,0 ,0 ,28.202 ,7.539 ,0 ,0 ,313 ,7.226 ,1.498 ,1.498 ,31 ,31 ,0 ,0 ,19.134 ,19.134 ,2.499 ,0 ,0 ,0 ,0 ,0 ,0 ,2.499 ,413 ,2.086 ,0 ,28.325 ,28.325 ,2.283 ,26.041 ,0 ,0 ,0 ,359.910 ,359.910 ,340.364 ,0 ,0 ,19.545 
62.,KOČEVJE,9.580.750 ,5.090.148 ,4.383.146 ,3.203.777 ,3.203.777 ,513.408 ,336.705 ,75 ,12.682 ,163.946 ,665.961 ,73.535 ,0 ,0 ,592.426 ,0 ,0 ,707.002 ,449.257 ,92 ,0 ,19.342 ,429.824 ,29.628 ,29.628 ,1.118 ,1.118 ,45.885 ,45.885 ,181.113 ,181.113 ,469.934 ,311.484 ,311.484 ,0 ,0 ,0 ,0 ,158.450 ,0 ,158.450 ,0 ,6.447 ,6.447 ,6.447 ,0 ,0 ,0 ,0 ,4.014.221 ,4.014.221 ,3.994.237 ,3.847 ,0 ,16.137 
63.,KOMEN,2.763.224 ,1.617.860 ,1.191.099 ,981.092 ,981.092 ,95.426 ,41.237 ,0 ,15.214 ,38.975 ,114.580 ,847 ,0 ,0 ,113.733 ,0 ,0 ,426.761 ,391.541 ,0 ,2.921 ,5.333 ,383.287 ,8.137 ,8.137 ,209 ,209 ,18.131 ,18.131 ,8.742 ,8.742 ,1.047.471 ,980.041 ,980.041 ,0 ,0 ,0 ,0 ,67.430 ,0 ,67.430 ,0 ,19.062 ,3.234 ,3.234 ,0 ,15.828 ,15.828 ,0 ,78.831 ,78.831 ,78.831 ,0 ,0 ,0 
64.,KOMENDA,2.187.903 ,1.619.888 ,1.450.292 ,1.079.102 ,1.079.102 ,149.432 ,73.523 ,0 ,19.600 ,56.309 ,221.758 ,2.174 ,0 ,0 ,219.584 ,0 ,0 ,169.596 ,44.204 ,20.556 ,0 ,722 ,22.926 ,12.790 ,12.790 ,3.814 ,3.814 ,2.633 ,2.633 ,106.155 ,106.155 ,255.512 ,0 ,0 ,0 ,0 ,0 ,0 ,255.512 ,0 ,255.512 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,312.502 ,312.502 ,310.032 ,0 ,0 ,2.470 
65.,MESTNA OBČINA KOPER,35.172.087 ,30.855.078 ,23.556.168 ,14.651.431 ,14.651.431 ,6.603.635 ,5.317.677 ,0 ,96.582 ,1.189.376 ,2.301.102 ,168.415 ,0 ,0 ,2.132.687 ,0 ,0 ,7.298.911 ,2.867.530 ,90.544 ,872.304 ,217.543 ,1.687.139 ,128.297 ,128.297 ,67.889 ,67.889 ,2.746 ,2.746 ,4.232.449 ,4.232.449 ,3.925.743 ,421.532 ,405.462 ,16.070 ,0 ,0 ,0 ,3.504.210 ,0 ,3.504.210 ,0 ,19.951 ,501 ,501 ,0 ,19.450 ,19.450 ,0 ,371.315 ,371.315 ,344.316 ,0 ,0 ,26.999 
66.,KOSTEL,554.707 ,203.100 ,163.996 ,125.860 ,125.860 ,17.856 ,9.685 ,0 ,4.807 ,3.363 ,20.280 ,0 ,0 ,0 ,20.280 ,0 ,0 ,39.104 ,4.135 ,0 ,0 ,134 ,4.002 ,1.769 ,1.769 ,50 ,50 ,880 ,880 ,32.269 ,32.269 ,6.652 ,0 ,0 ,0 ,0 ,0 ,0 ,6.652 ,0 ,6.652 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,344.955 ,344.955 ,344.955 ,0 ,0 ,0 
67.,KOZJE,1.796.628 ,678.384 ,586.108 ,429.165 ,429.165 ,47.133 ,37.807 ,0 ,2.266 ,7.061 ,109.811 ,238 ,0 ,0 ,109.573 ,0 ,0 ,92.276 ,43.607 ,0 ,0 ,1.139 ,42.468 ,6.493 ,6.493 ,1.356 ,1.356 ,0 ,0 ,40.820 ,40.820 ,29.724 ,16.738 ,16.738 ,0 ,0 ,0 ,0 ,12.986 ,0 ,9.773 ,3.213 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.088.520 ,1.088.520 ,1.076.965 ,11.555 ,0 ,0 
68.,MESTNA OBČINA KRANJ,29.459.422 ,26.038.462 ,21.366.784 ,15.901.782 ,15.901.782 ,3.830.813 ,2.807.027 ,805 ,172.830 ,850.150 ,1.634.189 ,129.816 ,0 ,0 ,1.504.373 ,0 ,0 ,4.671.678 ,1.683.842 ,0 ,25.163 ,325.088 ,1.333.592 ,103.847 ,103.847 ,123.473 ,123.473 ,144.066 ,144.066 ,2.616.450 ,2.616.450 ,3.080.959 ,1.240.006 ,997.254 ,0 ,242.752 ,0 ,0 ,1.840.953 ,7.482 ,1.833.471 ,0 ,41.729 ,41.729 ,0 ,41.729 ,0 ,0 ,0 ,298.272 ,298.272 ,244.546 ,53.726 ,0 ,0 
69.,KRANJSKA GORA,5.824.871 ,5.259.055 ,2.681.460 ,1.585.637 ,1.585.637 ,695.694 ,473.235 ,63 ,46.591 ,175.805 ,400.129 ,3.952 ,0 ,0 ,396.178 ,0 ,0 ,2.577.596 ,1.995.593 ,0 ,30.083 ,62.648 ,1.902.863 ,21.870 ,21.870 ,1.644 ,1.644 ,236.425 ,236.425 ,322.062 ,322.062 ,356.113 ,79.244 ,78.409 ,835 ,0 ,0 ,0 ,276.869 ,0 ,276.869 ,0 ,54.453 ,54.453 ,0 ,54.453 ,0 ,0 ,0 ,155.250 ,155.250 ,155.250 ,0 ,0 ,0 
70.,KRIŽEVCI,1.580.413 ,782.366 ,650.463 ,500.864 ,500.864 ,34.356 ,17.337 ,0 ,7.453 ,9.566 ,115.243 ,1.116 ,0 ,0 ,114.127 ,0 ,0 ,131.903 ,62.364 ,868 ,0 ,28.594 ,32.903 ,7.398 ,7.398 ,287 ,287 ,4.509 ,4.509 ,57.346 ,57.346 ,2.168 ,1.553 ,1.553 ,0 ,0 ,0 ,0 ,615 ,0 ,615 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,795.879 ,795.879 ,713.488 ,26.056 ,0 ,56.335 
71.,KRŠKO,18.493.453 ,13.697.217 ,8.570.351 ,5.824.670 ,5.824.670 ,1.698.043 ,1.477.128 ,25 ,27.399 ,193.490 ,987.573 ,32.349 ,0 ,0 ,955.225 ,60.065 ,60.065 ,5.126.865 ,556.138 ,0 ,8.742 ,14.209 ,533.187 ,58.421 ,58.421 ,5.241 ,5.241 ,21.966 ,21.966 ,4.485.098 ,4.485.098 ,841.191 ,650.300 ,191.379 ,0 ,0 ,458.922 ,0 ,190.891 ,50.192 ,140.699 ,0 ,2.462 ,0 ,0 ,0 ,2.462 ,2.462 ,0 ,3.952.583 ,3.952.583 ,3.952.583 ,0 ,0 ,0 
72.,KUNGOTA,2.421.829 ,1.059.869 ,951.168 ,701.907 ,701.907 ,75.684 ,50.705 ,71 ,588 ,24.320 ,173.577 ,1.523 ,0 ,0 ,172.054 ,0 ,0 ,108.701 ,47.434 ,2.099 ,0 ,776 ,44.559 ,6.802 ,6.802 ,1.590 ,1.590 ,0 ,0 ,52.875 ,52.875 ,185.679 ,32.019 ,28.430 ,3.589 ,0 ,0 ,0 ,153.660 ,0 ,153.660 ,0 ,163.716 ,163.716 ,143.311 ,20.406 ,0 ,0 ,0 ,1.012.565 ,1.012.565 ,1.012.565 ,0 ,0 ,0 
73.,KUZMA,1.048.535 ,392.664 ,155.437 ,113.992 ,113.992 ,34.393 ,32.949 ,0 ,13 ,1.431 ,7.052 ,405 ,0 ,0 ,6.647 ,0 ,0 ,237.227 ,102.979 ,751 ,0 ,1.448 ,100.780 ,11.046 ,11.046 ,217 ,217 ,0 ,0 ,122.984 ,122.984 ,24.662 ,24.662 ,24.662 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22.066 ,22.066 ,19.992 ,2.074 ,0 ,0 ,0 ,609.143 ,609.143 ,592.076 ,0 ,0 ,17.067 
74.,LAŠKO,6.914.576 ,4.483.584 ,3.792.226 ,2.988.675 ,2.988.675 ,351.248 ,259.372 ,8 ,11.960 ,79.907 ,413.938 ,3.188 ,0 ,0 ,410.749 ,38.366 ,38.366 ,691.358 ,137.477 ,0 ,451 ,4.056 ,132.970 ,19.425 ,19.425 ,10.866 ,10.866 ,360.487 ,360.487 ,163.103 ,163.103 ,21.687 ,209 ,209 ,0 ,0 ,0 ,0 ,21.478 ,0 ,21.478 ,0 ,275 ,275 ,275 ,0 ,0 ,0 ,0 ,2.409.030 ,2.409.030 ,2.383.959 ,24.253 ,0 ,818 
75.,LENART,6.213.270 ,3.596.632 ,3.010.224 ,1.955.483 ,1.955.483 ,663.015 ,570.164 ,0 ,2.416 ,90.436 ,391.725 ,15.490 ,0 ,0 ,376.235 ,0 ,0 ,586.409 ,143.845 ,8.354 ,0 ,2.571 ,132.920 ,18.031 ,18.031 ,3.050 ,3.050 ,0 ,0 ,421.482 ,421.482 ,294.842 ,200.709 ,200.709 ,0 ,0 ,0 ,0 ,94.133 ,0 ,94.133 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.321.795 ,2.321.795 ,2.321.795 ,0 ,0 ,0 
76.,LENDAVA,8.583.995 ,4.238.999 ,3.613.572 ,2.138.086 ,2.138.086 ,318.295 ,244.872 ,173 ,7.487 ,65.763 ,1.157.191 ,18.405 ,0 ,0 ,1.138.787 ,0 ,0 ,625.426 ,188.395 ,0 ,2.622 ,86.340 ,99.432 ,17.937 ,17.937 ,14.186 ,14.186 ,16.812 ,16.812 ,388.096 ,388.096 ,244.342 ,183.695 ,181.571 ,2.124 ,0 ,0 ,0 ,60.647 ,4.355 ,56.292 ,0 ,983.680 ,53.875 ,0 ,53.875 ,929.805 ,0 ,929.805 ,3.116.975 ,3.116.975 ,3.116.975 ,0 ,0 ,0 
77.,LITIJA,6.766.435 ,4.044.356 ,3.887.014 ,3.070.177 ,3.070.177 ,439.315 ,311.307 ,203 ,25.848 ,101.957 ,377.522 ,6.492 ,0 ,0 ,371.030 ,0 ,0 ,157.343 ,56.256 ,0 ,2.682 ,18.329 ,35.245 ,23.327 ,23.327 ,2.357 ,2.357 ,1.270 ,1.270 ,74.133 ,74.133 ,187.841 ,141.068 ,141.068 ,0 ,0 ,0 ,0 ,46.773 ,0 ,46.773 ,0 ,107.326 ,107.326 ,0 ,107.326 ,0 ,0 ,0 ,2.426.912 ,2.426.912 ,2.389.481 ,6.259 ,0 ,31.172 
78.,MESTNA OBČINA LJUBLJANA,191.217.885 ,187.299.821 ,166.181.172 ,114.536.905 ,114.536.905 ,36.692.706 ,25.434.998 ,9.677 ,1.030.667 ,10.217.364 ,14.951.561 ,1.054.019 ,0 ,0 ,13.897.542 ,0 ,0 ,21.118.649 ,7.029.624 ,190.540 ,57.461 ,254.177 ,6.527.445 ,1.080.112 ,1.080.112 ,831.447 ,831.447 ,1.003.038 ,1.003.038 ,11.174.428 ,11.174.428 ,2.898.331 ,67.088 ,59.139 ,7.949 ,0 ,0 ,0 ,2.831.243 ,0 ,2.831.243 ,0 ,137.890 ,44.654 ,44.654 ,0 ,93.236 ,93.236 ,0 ,881.844 ,881.844 ,819.208 ,62.636 ,0 ,0 
79.,LJUBNO,1.473.711 ,524.161 ,469.538 ,361.075 ,361.075 ,50.584 ,29.757 ,0 ,7.787 ,13.040 ,57.878 ,71 ,0 ,0 ,57.808 ,0 ,0 ,54.624 ,34.760 ,0 ,0 ,4.970 ,29.791 ,7.031 ,7.031 ,0 ,0 ,3.781 ,3.781 ,9.051 ,9.051 ,3.476 ,3.476 ,3.476 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7.211 ,7.211 ,0 ,7.211 ,0 ,0 ,0 ,938.862 ,938.862 ,938.862 ,0 ,0 ,0 
